tokens,publish_at_values,created_at_values,titles,ratings,brand
br_eua7fqh6et,1706558400000,1706144225000,Always a hot seller for our boutique! Love the new styles ,5,Latico Leathers
br_2hdkffdrux,1705694400000,1705518634000,Always one of our best selling leather lines.  Customers like the good value of the product.  ,5,Latico Leathers
br_5xdcv869cx,1704830400000,1704521813000,got here super fast! Love them!,5,Latico Leathers
br_22nu9hf97p,1704830400000,1704427918000,Absolutely beautiful ,5,Latico Leathers
br_zn9633sjrk,1702497600000,1702338147000,👍,5,Latico Leathers
br_ywkrpdpaqm,1701892800000,1701696077000,They ship SO fast,5,Latico Leathers
br_3xre533kke,1701201600000,1700858227000,Our shop has order many times from this company! Every time we’ve been happy! Customers love it! ,5,Latico Leathers
br_kbf2td62qb,1700596800000,1700427120000,Quick Delivery appreciated,5,Latico Leathers
br_hzggrnj8fp,1700596800000,1700427091000,Quick Delivery appreciated,5,Latico Leathers
br_fjvfeesv9g,1700164800000,1699985080000,Very fast response and great product.  ,5,Latico Leathers
br_wbp5927vr2,1697050800000,1696715024000,dried out leather,3,Latico Leathers
br_drseprtzfg,1696273200000,1695935826000,High quality beautiful leather bags. Fulfillment is super fast. ,5,Latico Leathers
br_5vnwffavqx,1695668400000,1695297553000,Super,5,Latico Leathers
br_htezatbs4z,1695409200000,1695234476000,Beautiful Leather Bags! They sell out as fast as they arrive!,5,Latico Leathers
br_gphepvv6jq,1693508400000,1693324911000,Beautiful items I plan on ordering again. ,5,Latico Leathers
br_wh5vqts9pv,1693249200000,1692891583000,Amazing Bags!l Absolutely beautiful! ,5,Latico Leathers
br_mpwdeng2ka,1692039600000,1691683158000,Awesome leather products,5,Latico Leathers
br_3dbyt8vqaf,1691607600000,1691448337000,"Great value, beautiful as always!",5,Latico Leathers
br_mymkzr2zxh,1691607600000,1691422179000,Love their bags! ,5,Latico Leathers
br_434nt3c5bn,1690916400000,1690729801000,Beautiful leather products.,5,Latico Leathers
br_vgexfp7u7s,1690398000000,1690223686000,great,5,Latico Leathers
br_eangt6w8np,1689361200000,1689191235000,Absolutely Beautiful Bags,5,Latico Leathers
br_hmnk2nf9mm,1689015600000,1688660504000,One bag was sent in the wrong color. Another bag was delivered to us twice with marks on them.,1,Latico Leathers
br_fapnhsyqc7,1687806000000,1687456948000,"Beautiful, thoughtfully designed bags!",5,Latico Leathers
br_n7udy7nngt,1685559600000,1685115310000,Love this brand! ,5,Latico Leathers
br_kvhq7uh2uz,1685473200000,1685048468000,"Gorgeous, soft and the inside is packed full of compartments!!",5,Latico Leathers
br_x8vmvje5vt,1683658800000,1683321739000,Have carried their items for a couple years now!,5,Latico Leathers
br_t23ups66qt,1683658800000,1683302021000,We love Latico with our whole hearts!,5,Latico Leathers
br_fandjdpbbq,1683140400000,1682984630000,Always dependable to get my order to me fast,5,Latico Leathers
br_erarhas6h7,1681844400000,1681670717000,Beautiful Bags,5,Latico Leathers
br_u9rb7zkcsz,1681239600000,1681006452000,Always happy! ,5,Latico Leathers
br_97xq8subhv,1680894000000,1680708794000,Love the product and always meets expectation.,5,Latico Leathers
br_5atxym2vza,1680807600000,1680614501000,LOVE,5,Latico Leathers
br_byn4akyaky,1680721200000,1680537180000,Staple brand!!,5,Latico Leathers
br_abxtmb2urb,1679425200000,1679165409000,One word. Phenomenal! ,5,Latico Leathers
br_cqgwmxp25r,1679338800000,1678987927000,Great!,5,Latico Leathers
