token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_yy8hmqs9t4,o_39eya2zd8j,p_ekqknce749,bo_syk7tpeq5w,Ambrose Handcrafted Leather Shoulder Bag/Crossbody,Black,23000,8900,8900,1,8900,8900,0,#SYK7TPEQ5W,
oi_c7h54ajg8e,o_39eya2zd8j,p_5bmctfnknz,bo_syk7tpeq5w,Bowie Handcrafted Wide Leather Embroidered Shoulder Strap,Oat,7900,2900,2900,1,2900,2900,0,#SYK7TPEQ5W,
oi_p6yfgkbdt5,o_39eya2zd8j,p_etaj46gga4,bo_syk7tpeq5w,Bonnie Handcrafted Leather Tote/Crossbody Bags,default,35500,13900,13900,1,13900,13900,0,#SYK7TPEQ5W,
oi_5mgze83tcr,o_39eya2zd8j,p_fqxkxrnrc6,bo_syk7tpeq5w,Callie Handcrafted Leather Sling/Crossbody Bags,Red,23000,8900,8900,1,8900,8900,0,#SYK7TPEQ5W,
oi_u8762tas9r,o_39eya2zd8j,p_wzkk889tna,bo_syk7tpeq5w,Basil Handcrafted Leather Crossbody Bags,Oxblood,18500,6900,6900,1,6900,6900,0,#SYK7TPEQ5W,
oi_9fhcw7xrdm,o_39eya2zd8j,p_2tzwazfa96,bo_syk7tpeq5w,Archer Handcrafted Wide Leather Embroidered Shoulder Strap,Cognac,7900,2900,2900,1,2900,2900,0,#SYK7TPEQ5W,
oi_7sngh3hehs,o_39eya2zd8j,p_mkycmg36q8,bo_syk7tpeq5w,Noble Handcrafted Leather Crossbody Bags,Olive,23000,8900,8900,1,8900,8900,0,#SYK7TPEQ5W,
oi_293u7sqh3v,o_3qv2asnss9,p_mgb8wszddm,bo_86wmz52pvc,Nash Handcrafted Leather Tote/Crossbody Bags,Cognac,23000,8900,8900,1,8900,8900,0,#86WMZ52PVC,
oi_wduyazssxh,o_3qv2asnss9,p_57bnz59b66,bo_86wmz52pvc,Lilly Leather Crossbody Bags - Select Colors on Sale Now!,Black,12250,4400,4400,1,4400,4400,0,#86WMZ52PVC,
oi_ydhxha64na,o_3qv2asnss9,p_7snopycy48,bo_86wmz52pvc,Athena Handcrafted Leather Crossbody Bags,Black,15000,5500,5500,1,5500,5500,0,#86WMZ52PVC,
oi_qwyn3nzvg5,o_3qv2asnss9,p_c3qtxkfjdd,bo_86wmz52pvc,West Side Handcrafted Leather Travel Kit,Natural,6000,2000,2000,1,2000,2000,0,#86WMZ52PVC,
