tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_c83hgmkxwq,9 Fresh Spring Colors In Stock Now!,ONE_TIME,COMPLETED,1707229836000.0,3822.0,3287.0,1300.0,23.0,3.0,2392.0,0.0,0.0
bmc_qwufhaezxv,Untitled campaign 1,ONE_TIME,DRAFT,,,,,,,,,
bmc_4b9zrsdgyj,Untitled campaign,ONE_TIME,DRAFT,,,,,,,,,
bmc_4rzpp4bzv9,Conley Convertible Backpack/Shoulderbag - On Sale Now!,ONE_TIME,COMPLETED,1706117448000.0,3762.0,2720.0,1270.0,13.0,4.0,1903.0,1.0,356.0
bmc_efwnj3db5h,Valentine's Day ❤️,ONE_TIME,COMPLETED,1705759200000.0,3788.0,3098.0,1346.0,18.0,4.0,3379.0,0.0,0.0
bmc_bacww4f4dg,Limited Time Offer - Overstock Tote (Copy 1),ONE_TIME,DRAFT,,,,,,,,,
bmc_7y2uwdaaa7,Meet Archer + Bowie Our New Embroidered Double Width Leather Straps!,ONE_TIME,SENDING,1705413600000.0,537.0,345.0,223.0,3.0,6.0,3655.0,0.0,0.0
bmc_4b9gkc5uzg,Limited Edition Upcycled Shearling Bags,ONE_TIME,COMPLETED,1704895200000.0,4333.0,3103.0,1438.0,26.0,11.0,4495.0,1.0,223.0
bmc_b2ppk4zke5,You'll Love These Card Holders 😍,ONE_TIME,COMPLETED,1704740431000.0,4333.0,3011.0,1460.0,12.0,7.0,2488.0,0.0,0.0
bmc_tzjduytpc6,Your First Order on Faire Could Be Free!,ONE_TIME,COMPLETED,1703023254000.0,2712.0,1503.0,477.0,3.0,0.0,0.0,0.0,0.0
bmc_dbaw2vjry5,Limited Time Savings - While Supplies Last!,ONE_TIME,COMPLETED,1703799021000.0,4334.0,3045.0,1474.0,8.0,6.0,3482.0,0.0,0.0
bmc_saxkwhbw6g,Holiday Wallet Wishlist 2023,ONE_TIME,COMPLETED,1701876647000.0,4269.0,3067.0,1089.0,8.0,9.0,2992.0,0.0,0.0
bmc_kxg8u8wxu8,"Just-In, Holiday Texture!",ONE_TIME,COMPLETED,1699797600000.0,4272.0,3163.0,1345.0,40.0,14.0,7659.7,3.0,996.7
bmc_fekdfba4vt,You forgot to checkout your Latico Leathers cart! 11.1,ONE_TIME,COMPLETED,1698944402000.0,26.0,17.0,13.0,0.0,2.0,704.0,0.0,0.0
bmc_hxdcsujr3f,Ready for Red?,ONE_TIME,COMPLETED,1697216404000.0,3176.0,3109.0,1184.0,13.0,8.0,7425.0,2.0,1115.0
bmc_666pn7tsvq,Fall Fringe,ONE_TIME,COMPLETED,1698843600000.0,4271.0,3748.0,1539.0,12.0,11.0,10784.0,1.0,1700.0
bmc_jzhmtpxy4a,Stocking Stuffer Spotlight!,ONE_TIME,COMPLETED,1702483215000.0,4329.0,3126.0,1362.0,21.0,2.0,539.0,0.0,0.0
bmc_2ptkvrvgpd,"Frankie + Marge, A Perfect Pair!",ONE_TIME,COMPLETED,1696683600000.0,4261.0,3759.0,1511.0,19.0,13.0,6816.0,1.0,534.0
bmc_czentf2j3b,Winter Travel Essentials (Copy 1),ONE_TIME,COMPLETED,1701439200000.0,4272.0,3115.0,1205.0,10.0,14.0,7032.0,0.0,0.0
bmc_frswdhpf6z,Not So Basic Black,ONE_TIME,COMPLETED,1697988627000.0,4273.0,3754.0,1327.0,9.0,14.0,12137.0,1.0,829.0
bmc_dfk66y265t,Modern backpacking! (Copy 1),ONE_TIME,COMPLETED,1699482618000.0,4272.0,2869.0,1222.0,13.0,8.0,5659.0,2.0,882.0
bmc_5g89m42sff,December Gifting,ONE_TIME,COMPLETED,1701108021000.0,4273.0,2913.0,1229.0,26.0,10.0,3401.0,4.0,1437.0
bmc_njhy2tzeeh,Just In!,ONE_TIME,COMPLETED,1696165200000.0,4261.0,3768.0,1559.0,32.0,25.0,16136.0,7.0,4009.0
bmc_zus2jkdu8b,Fall Crossbodies – It’s in the Details.  ,ONE_TIME,COMPLETED,1694876452000.0,4242.0,3764.0,1527.0,26.0,21.0,11551.0,2.0,1085.0
bmc_kbsz8vtguk,Best Sellers Reinvented!,ONE_TIME,COMPLETED,1694350800000.0,4243.0,3771.0,1555.0,31.0,9.0,5599.0,0.0,0.0
bmc_fnrj6abjb7,Subtle Southwestern Style ❤,ONE_TIME,COMPLETED,1693514739000.0,3207.0,3200.0,1540.0,18.0,9.0,9247.0,1.0,1472.0
bmc_snnm5qps3k,"Smart Looks, A+ Backpacks",ONE_TIME,COMPLETED,1693314000000.0,2579.0,2002.0,948.0,17.0,13.0,12967.0,1.0,988.0
bmc_sv7425ed44,Limited Time Offer - Overstock Tote,ONE_TIME,COMPLETED,1691157629000.0,5245.0,4293.0,1481.0,39.0,20.0,16383.0,2.0,2329.0
bmc_tv27gdccqd,You forgot to checkout your Latico Leathers cart!2,ONE_TIME,COMPLETED,1690390858000.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bmc_uutfskdyrn,Influencer Picks for Summer! (Copy 1),ONE_TIME,COMPLETED,1689267607000.0,1967.0,1873.0,850.0,21.0,6.0,2547.7,0.0,0.0
bmc_8252y62pte,You forgot to checkout your Latico Leathers cart! 2,ONE_TIME,COMPLETED,1688670022000.0,12.0,10.0,6.0,0.0,4.0,1766.0,0.0,0.0
bmc_p7em9aghtn,You forgot to checkout your Latico Leathers cart!,ONE_TIME,COMPLETED,1688670047000.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
bmc_85yfwajtpn,Trends to Watch: Balletcore,ONE_TIME,COMPLETED,1688144417000.0,3261.0,2992.0,1253.0,25.0,8.0,4239.0,1.0,619.0
