tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_hnnghhv82c,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1707325957000,False,False,r_8jl2yesf,30119
bo_ezfeu5f2w8,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1707321157000,False,False,r_1fa6sjbo,61068
bo_t8aaeg7p8b,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1707272303000,False,False,r_7e8fvg26,115693
bo_668ugsdqyu,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1707254003000,False,False,r_2xpfr4fgg7,17977
bo_egvg2xd8gj,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1707225161000,True,True,r_akillfz8,56955
bo_dacv6tcxsw,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1707174161000,False,False,r_bsoxbji8,22875
bo_776uqtdyat,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1707169361000,True,True,r_2d2mzf0svz,41344
bo_372nzgsy4h,REPLACE_DAMAGED_OR_MISSING_ITEMS,SHIPPED,FULFILLED,MARKETPLACE,1707151411000,False,False,r_165m086fnb,6518
bo_r4vcgce7gp,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1707068630000,False,False,r_c4kfakmtks,23112
bo_ggxchetx2p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706894169000,False,False,r_88pxjjl92f,41207
bo_9qvv76u2vc,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1706850069000,True,True,r_31tvf2jpmp,54615
bo_vsr4b9sfzv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706831769000,False,False,r_9d10zxea,100635
bo_aar6cqstca,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1706831469000,False,False,r_bsoxbji8,50862
bo_2j7f8pva9z,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1706749720000,False,False,r_bphd26fm,204471
bo_a9ddjycabn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706746420000,False,False,r_bfcthzf9r4,20644
bo_wckk9rtwns,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1706737420000,False,False,r_xd94w4u5be,148002
bo_658gzbs22a,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706658307000,True,True,r_23zjzcmucw,0
bo_na6u59b7ca,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706637076000,False,False,r_165m086fnb,21912
bo_6pq4d6z33e,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706634376000,False,False,r_25o17vo6,91183
bo_25ct8tzqmz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706561823000,False,False,r_33tctivvpb,66653
bo_ndqth7493k,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706539473000,False,False,r_88pxjjl92f,28644
bo_h8n2abgwxu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706462973000,False,False,r_1fa6sjbo,69318
bo_mmm6gjagdc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706449473000,False,False,r_13x3fprsfr,24718
bo_gh3vbt6u29,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706411373000,True,True,r_7y9anxqfnt,45787
bo_5raguqje8u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706309373000,False,False,r_6mvpy6bigl,22197
bo_922cu6ktur,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706242173000,True,True,r_dd4dvegwhz,72186
bo_eeb6ryre93,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706205923000,True,True,r_1873umeh46,121146
bo_3d4jtukdjb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706128223000,False,False,r_dq5n1wg7,22510
