tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_ju8fv59jcg,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1721033069000,True,True,r_498bini4da,74927,tulips little pop up shop,https://maps.google.com/?cid=16287623285115625495,Clothing Boutique,False
bo_6r6a8eh5np,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1721010869000,False,False,r_5abnp4lg6k,96695,Neuflora,http://www.neuflora.com,Clothing Boutique,True
bo_98z4b773jc,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1720992269000,False,False,r_caxwie32w5,21052,Aurora's Cottage,https://www.iloveaurorascottage.com/,General or Mercantile Store,True
bo_qt68xft82k,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1720975169000,True,True,r_g5loje7rmy,48117,Favorite,,Clothing Boutique,False
bo_agn7vzk2ua,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1720926569000,False,False,r_31tvf2jpmp,22223,"Goose & the Goat - Clothing, Shoes, Accessories",http://www.gooseandthegoat.com/,Clothing Boutique,False
bo_pg7zyxyt9h,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1720891469000,False,False,r_bealy4irjl,47630,Magnolia House,http://www.magnoliahouse.com/,Home Decor Store,True
bo_agme5emepz,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1720889969000,True,True,r_29udwc5vux,42087,Tijeras Hair Co. (Salon),http://tijerashairco.com/,Spa or Beauty Store,False
bo_v2usgksae4,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1720885769000,False,False,r_2i7lqmtk5o,48184,Una,,Gift Store,True
bo_w4nacc3hx7,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1720883369000,False,False,r_18aa3e99,29445,Sarasota Art Museum Store,http://sarasotaartmuseum.org,,False
bo_yd32xvk64t,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1720818869000,False,False,r_dw6rmao6,32666,SheShe Boutique,http://sheshemontrose.com/,Clothing Boutique,True
bo_pnnqrbkk4e,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720763526000,False,False,r_4491978c,205847,Horseshoe,http://www.shophorseshoe.com/,,False
bo_6cdu598946,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720750026000,False,False,r_2vrvd5ue92,43372,Flirt Boutique,http://www.flirtboutiquerochester.com,Clothing Boutique,False
bo_nqbuxkgrtc,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720747026000,False,False,r_el7jmg6ohr,42119,Fika Boutique,https://www.fikaboutique.com,Clothing Boutique,False
bo_33ku66ak9h,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1720744626000,True,True,r_7e4xen0qd9,69593,House,,Home Decor Store,True
bo_34x3r23dty,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720737726000,False,False,r_2x9y4hq2yn,107825,Twig & Willow,http://www.twigandwillow.com/,Clothing Boutique,True
bo_scuxgmktwv,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,MARKETPLACE,1720720991000,False,False,r_cdjz4rajtn,0,Anna Balkan Designer Jewelry Gallery,https://annabalkan.com/,,True
bo_xr692etusw,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720707288000,False,False,r_d7hp6umemp,95681,Beach Daisy Marco Island,http://beachdaisy.net/,Clothing Boutique,False
bo_5xpsened2c,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1720679388000,True,True,r_1icc4enitg,47275,Erin Mavis,,Clothing Boutique,False
bo_tdvhj99dzw,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720668588000,False,False,r_4rzk2e1g,67336,Unfurl,,,True
bo_npv387quey,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720660788000,False,False,r_czsgvcrw,73865,Seagrass Boutique,http://seagrassboutique.com,Clothing Boutique,False
bo_av8chdmqve,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720592118000,True,True,r_60e813e2,55777,Gold Leaf,http://www.goldleafsouthpark.com/,Home Decor Store,False
bo_eh9c3mcu4e,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720569618000,False,False,r_mvu29e4u5y,42871,Southern Gray LLC,http://southerngraycollection.com,Clothing Boutique,False
bo_xacdxfbnsu,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720548618000,False,False,r_5sjhs1gt,60763,Stefanie Wolf Designs,http://stefaniewolf.com/,Gift Store,True
bo_akb857hjve,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720544418000,False,False,r_1xdva0xi6g,87388,Reynolds Garden Shop,https://www.reynoldslandscaping.com/,Gift Store,False
bo_tt7k6m4way,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720472314000,False,False,r_9d10zxea,109863,nest,,Gift Store,True
bo_sz7yx84bu8,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720469014000,False,False,r_dedc6xwqgm,118372,The Popinjay,http://thepopinjay.com/,,True
bo_vvpe6e7ns2,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720468114000,False,False,r_f3ukewnhdp,198033,Hat Six Travel Center,http://www.hatsixtravel.com/,Gift Store,False
bo_7pch6r56br,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720466614000,False,False,r_b5szt10n,49413,Soel Boutique,http://www.soelboutique.com/,Clothing Boutique,True
bo_477vrpfhdv,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720418315000,False,False,r_2moteynykv,45017,Market in the Mountains,,,True
bo_hm3qgnpk8e,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720397615000,False,False,r_1yttxifjuq,129545,Shoes t' Boot,http://shoestboot.ca/,Clothing Boutique,False
bo_2awdtbp4j4,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720385615000,False,False,r_7m6re9px,58728,Jacque Michelle,http://www.jacquemichelle.com/?utm_source=LOCAL&utm_medium=ORGANIC&utm_campaign=GMB,,True
bo_u72ypsgufc,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720320215000,False,False,r_e0dmym6s,40009,SoLo,http://www.solocedros.com/,Home Decor Store,False
bo_7ggxn3c6vd,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720318115000,False,False,r_53likuas,113704,Jenny Oosterwyk,,,True
bo_vvubfqhxba,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720301315000,False,False,r_c9r92kw2,43575,The Tumbleweed,,,False
bo_78cv4rty93,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720232615000,False,False,r_bdrx8c7rme,37267,La Bella Vita Salon,http://www.labellavitapoulsbo.com/,Spa or Beauty Store,True
bo_huyzv5gf32,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720225715000,False,False,r_bjqontigm2,88177,Damselfly Clothing Co.,http://shopdamselfly.com/,Clothing Boutique,False
bo_dxj3kxtqrk,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720212815000,True,True,r_dn8gmnme5s,52352,Élevé Clothier Contemporaine,,Clothing Boutique,True
bo_3usgpfsfzz,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720209215000,False,False,r_e1ozx8d7,65858,embellish chicago,,Gift Store,True
bo_2kzct78urm,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720196315000,True,True,r_3tnc3z3v,52438,Dawn's Style,,,True
bo_zj44tjh54y,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720193015000,False,False,r_bbcd5jk9bd,27730,Nicholas Harrison Gallery,http://www.thenicholasharrisongallery.com/,Clothing Boutique,True
bo_rbt2hnjz5r,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720058463000,False,False,r_2a23s0wx,349390,Pam's Final Touch,https://maps.google.com/?cid=5493177699399737779,,False
bo_caj293redm,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720011196000,False,False,r_v2rnq1tidi,125496,Accents,https://maps.google.com/?cid=6010024522497179925,Clothing Boutique,False
bo_nt2wcax9ek,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719954496000,False,False,r_xd94w4u5be,29413,Tulipe,,Clothing Boutique,False
bo_dexungtd8n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719950596000,False,False,r_dvw5v1av3r,42580,The Toggery,http://www.toggerymontana.com,Clothing Boutique,False
bo_ymcz3faqgp,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719942196000,False,False,r_3sa3q1dh5y,30575,One Fine Day,https://maps.google.com/?cid=15046831028924469703,,True
bo_pc3pb9kk5n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719866743000,False,False,r_mcvgckuy8p,25643,"you, alter'd",http://youalterd.com,Clothing Boutique,False
bo_8vftkszgdf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719856459000,False,False,r_bphd26fm,80392,Rockin Rudy's,https://www.rockinrudys.com/,Gift Store,True
bo_zhkqjdvfq2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719799459000,False,False,r_pkdvshytfm,20581,CITRINE design shop,http://citrinedesignshop.com,Gift Store,False
bo_cvuee7sa5t,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719788059000,False,False,r_dvw5v1av3r,334768,The Toggery,http://www.toggerymontana.com,Clothing Boutique,False
bo_d9aajq7qr4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719743659000,True,True,r_afpoawtm,88558,Beaver Island Gift Shoppe,https://maps.google.com/?cid=11838271413049339705,Clothing Boutique,True
bo_6twkvpcjxe,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1719690559000,False,False,r_cdjz4rajtn,32989,Anna Balkan Designer Jewelry Gallery,https://annabalkan.com/,,True
bo_6maxmn9ze3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719615859000,False,False,r_5sjhs1gt,60568,Stefanie Wolf Designs,http://stefaniewolf.com/,Gift Store,True
bo_yt6xeqska5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719614659000,False,False,r_ckqykptijg,74213,Draper Mercantile & Trading Co LLC,http://www.drapermerc.com,,True
bo_tuh6a723qr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719606259000,False,False,r_4oyvexbw,50846,ar•tee•sian,https://maps.google.com/?cid=3909210370065231142,Clothing Boutique,False
