product_token,name,category,sales_count,order_count,visit_count,date
p_4macv0jjcp,Eloise Handcrafted Leather Wallet,Clutches,28,9,111,2023-01-01
p_6v1gc2fd7p,Terry Handcrafted Leather Wallet - Select Colors on Sale!,Wallets,66,24,183,2023-01-01
p_68zhffcchk,Andi Handcrafted Leather Wallet - Select Colors on Sale Now!,Wallets,11,7,78,2023-01-01
p_4vlzbqg9ol,Sunny Handcrafted Leather Crossbody Bags,Crossbody Bags,9,5,110,2023-01-01
p_7snopycy48,Athena Handcrafted Leather Crossbody Bags,Crossbody Bags,1,1,36,2023-01-01
p_8u9zdn2hcq,Lidia Handcrafted Leather Crossbody Bags,Crossbody Bags,1,1,21,2023-01-01
p_9siyhq44jy,Pippa Handcrafted Leather Crossbody Bags,Crossbody Bags,19,10,98,2023-01-01
p_bnt4qq8zt0,Margie Handcrafted Leather Tote Bag - Select Colors on Sale!,Tote Bag,20,7,125,2023-01-01
p_f2hz3z47jo,Harbor Leather Crossbody Bags - Select Colors on Sale Now!,Crossbody Bags,26,13,87,2023-01-01
p_bplt9lebud,Mar Leather Tote/Shoulder Bags - Select Colors on Sale Now!,Tote Bag,2,2,29,2023-01-01
p_emal20dyaa,Marcus Handcrafted Leather Crossbody Bags,Crossbody Bags,15,7,65,2023-01-01
p_c8e29cxf33,Bianca Handcrafted Leather Tote/Crossbody Bags,Tote Bag,44,19,218,2023-01-01
p_8rm9f2pnmk,Morgan Handcrafted Leather Tote/Crossbody Bags,Tote Bag,0,0,6,2023-01-01
p_84elqar97x,Turner Handcrafted Leather Crossbody Bags,Crossbody Bags,0,0,3,2023-01-01
p_coymyue47q,Colin Handcrafted Leather Tote/Crossbody Bags,Tote Bag,6,4,58,2023-01-01
p_th7b8e4m14,Frankie Handcrafted Leather Tote/Crossbody Bags,Tote Bag,0,0,38,2023-01-01
p_e12cmd8u75,Greta Handcrafted Leather Tote Bags,Tote Bag,0,0,16,2023-01-01
p_auszb3lyrd,Dalton Handcrafted Leather Tote Bag - Select Colors on Sale!,Crossbody Bags,14,11,140,2023-01-01
p_asz7hx0vh7,Janina Leather Tote/Crossbody,Tote Bag,2,2,23,2023-01-01
p_c5gxifsark,Leora Handcrafted Leather Crossbody Bags,Crossbody Bags,6,5,34,2023-01-01
p_8c9unvg972,Ezra Handcrafted Leather Crossbody Bags,Crossbody Bags,8,2,22,2023-01-01
p_901oilf46k,Luca Handcrafted Leather Crossbody Bags,Crossbody Bags,3,2,34,2023-01-01
p_5dz2zck6k8,Soleil Handcrafted Leather Tote Bags,Crossbody Bags,5,2,21,2023-01-01
p_93r9ocrm1p,Willow Handcrafted Leather Tote Bags,Tote Bag,4,1,21,2023-01-01
p_7i9jq5nhjq,Leonard Handcrafted Tote - Special Pricing 70% off,Tote Bag,10,4,47,2023-01-01
p_2gbei0fd1f,Sanchez Handcrafted Leather Backpack/Crossbody Bag,Backpack,0,0,16,2023-01-01
p_640yy1jlj8,Marcel Handcrafted Leather Tote/Crossbody Bags,Tote Bag,1,1,20,2023-01-01
p_50elmzr9cj,Gita Handcrafted Leather Crossbody Bags,Crossbody Bags,2,2,18,2023-01-01
p_7vfzilqu5e,Iris Handcrafted Leather Crossbody Bags,Tote Bag,0,0,6,2023-01-01
p_k6j1bgpw28,Janna Handcrafted Leather Crossbody Bags,Crossbody Bags,14,5,85,2023-01-01
p_b5dkq5ziqj,Zella Handcrafted Leather Wallet,Wallets,12,4,40,2023-01-01
p_dd4msfuaqm,Van Handcrafted Leather Tote/Crossbody Bags,Shoulder Bags,3,2,68,2023-01-01
p_cnbnmuregx,Mason Handcrafted Leather Tote/Crossbody Bags,Crossbody Bags,5,4,58,2023-01-01
p_1h6m186ntt,Sommers Handcrafted Leather Tote/Crossbody Bags,Tote Bag,1,1,35,2023-01-01
p_8qfrteqxam,Paloma Handcrafted Leather Tote Bags,Crossbody Bags,3,1,39,2023-01-01
p_al007n9qll,Lezli Handcrafted Leather Tote/Crossbody Bags,Tote Bag,2,2,23,2023-01-01
p_7mbpykbk3d,Gabriel Handcrafted Leather Crossbody Bags,Crossbody Bags,10,6,53,2023-01-01
p_d1lyz6jep3,Miller Handcrafted Leather Crossbody Bags,Crossbody Bags,38,12,63,2023-01-01
p_bnybi1wcjw,Kaye Handcrafted Leather Crossbody Bags,Crossbody Bags,1,1,43,2023-01-01
p_5m4a1niojt,Wallace Handcrafted Leather Crossbody Bags,Crossbody Bags,1,1,23,2023-01-01
p_ck1nnejyco,Malabar Handcrafted Leather Crossbody Bags,Crossbody Bags,26,10,113,2023-01-01
p_96inph84ca,Aleks Handcrafted Leather Backpack/Crossbody Bags,Backpack,4,4,39,2023-01-01
p_cs0hvlnmx0,Baxter Handcrafted Leather Backpack,Backpack,2,2,55,2023-01-01
p_ejflxhl3pl,Sheldon Handcrafted Leather Backpack,Backpack,0,0,13,2023-01-01
p_slrm2ipgsf,Salem Handcrafted Leather Wallet,Wallets,1,1,36,2023-01-01
p_azcrrycp12,Amber Handcrafted Leather Wallet,Wallets,1,1,31,2023-01-01
p_8xcmiasai2,Laurent Handcrafted Leather Crossbody Bags,Crossbody Bags,0,0,21,2023-01-01
p_3wgakj1x0q,Ash Handcrafted Leather Wallet,Wallets,13,6,47,2023-01-01
p_5hs2kmgqe7,Franca Handcrafted Leather Wallet,Wallets,1,1,32,2023-01-01
p_1wf1fn58cv,Brodie Handcrafted Leather Tote Bags,Tote Bag,0,0,22,2023-01-01
p_bcmsjyyng9,Brigitte Handcrafted Leather Tote Bags,Tote Bag,0,0,15,2023-01-01
p_dkh40v38vp,Anise Handcrafted Leather Wallet,Wallets,0,0,14,2023-01-01
p_bkdyc61sje,Devon Handcrafted Leather Tote/Crossbody Bags,Crossbody Bags,4,2,28,2023-01-01
p_1712la567e,Noah Handcrafted Leather Crossbody Bag,Crossbody Bags,1,1,9,2023-01-01
p_aowgt1yvul,Henley Handcrafted Leather Backpack/Crossbody Bags,Backpack,1,1,13,2023-01-01
p_etaj46gga4,Bonnie Handcrafted Leather Tote/Crossbody Bags,Tote Bag,2,1,21,2023-01-01
p_esvis2tmgt,Skye Handcrafted Leather Tote/Crossbody Bags,Tote Bag,0,0,6,2023-01-01
p_fcx3gedbdg,Colin Handcrafted Leather Tote/Crossbody Bubble Black,Tote Bag,1,1,37,2023-01-01
p_477a5mtmfa,Bianca Handcrafted Leather Tote/Crossbody Bubble Black,Tote Bag,1,1,18,2023-01-01
p_7zgktkem69,Fabian Handcrafted Leather Crossbody Bags,Crossbody Bags,2,2,31,2023-01-01
p_fnkumrk6aw,Nala Handcrafted Leather Tote/Crossbody Bags,Tote Bag,6,4,96,2023-01-01
p_n4hfc9b29r,Margie Handcrafted Leather Tote Bubble Black,Tote Bag,0,0,17,2023-01-01
p_qkgdr3hb7s,Harbor Handcrafted Leather Crossbody Bubble Black,Crossbody Bags,0,0,10,2023-01-01
p_8ujxnxb89p,Gita Handcrafted Leather Crossbody Bubble Black,Crossbody Bags,0,0,11,2023-01-01
p_57bnz59b66,Lilly Leather Crossbody Bags - Select Colors on Sale Now!,Crossbody Bags,10,7,107,2023-01-01
p_ev8zaf3uu2,Leon Handcrafted Leather Tote Bags,Tote Bag,22,14,120,2023-01-01
