Product name,SKU,Type,Page views,Orders,Units sold,Date
Eloise Leather Wallet,Multiple,Clutches,157,17,56,2023-03-01
Bianca Leather Tote/Crossbody,Multiple,Tote Bag,110,18,52,2023-03-01
Terry Leather Wallet,Multiple,Wallets,136,20,49,2023-03-01
Pippa Leather Crossbody,Multiple,Crossbody Bags,122,12,36,2023-03-01
Harbor Leather Crossbody,Multiple,Crossbody Bags,97,15,33,2023-03-01
Patch Leather Wallet,Multiple,Wallets,113,13,32,2023-03-01
Leon Leather Tote,Multiple,Tote Bag,93,11,27,2023-03-01
Sunny Leather Crossbody,Multiple,Crossbody Bags,103,13,25,2023-03-01
Margie Leather Tote - Select Colors on Sale Now!,Multiple,Tote Bag,123,9,24,2023-03-01
Hayes Leather Fanny Pack,Multiple,Belt Bags,99,13,23,2023-03-01
Nelly Leather Shoulder Bag/Crossbody,Multiple,Crossbody Bags,121,13,23,2023-03-01
Mick Leather Crossbody,Multiple,Crossbody Bags,43,8,22,2023-03-01
Miller Leather Crossbody,Multiple,Crossbody Bags,86,9,22,2023-03-01
Smith Leather Wallet,Multiple,Wallets,39,6,21,2023-03-01
Marcus Leather Crossbody,Multiple,Crossbody Bags,72,9,20,2023-03-01
Nash Leather Tote/Crossbody,Multiple,Crossbody Bags,99,12,20,2023-03-01
Annie Leather Fanny Pack,Multiple,Belt Bags,81,9,19,2023-03-01
Lilly Leather Crossbody,Multiple,Crossbody Bags,171,12,19,2023-03-01
Malabar Leather Crossbody,Multiple,Crossbody Bags,73,10,18,2023-03-01
Leonard Tote - Special Pricing 70% off,Multiple,Tote Bag,50,5,17,2023-03-01
Milly Leather Crossbody,Multiple,Crossbody Bags,74,10,17,2023-03-01
Andi Leather Wallet,Multiple,Wallets,75,5,15,2023-03-01
Lee Leather Crossbody,Multiple,Crossbody Bags,38,4,14,2023-03-01
Soleil Leather Tote,Multiple,Crossbody Bags,56,7,14,2023-03-01
Weaver Leather Crossbody,Multiple,Crossbody Bags,87,9,14,2023-03-01
Fleming Leather Crossbody,Multiple,Crossbody Bags,43,7,13,2023-03-01
Gigi Leather Crossbody,Multiple,Crossbody Bags,61,8,13,2023-03-01
Peck Leather Crossbody,Multiple,Crossbody Bags,78,8,13,2023-03-01
Aleks Leather Backpack/Crossbody,Multiple,Backpack,38,9,12,2023-03-01
Noble Leather Crossbody,Multiple,Crossbody Bags,78,8,12,2023-03-01
Alva Leather Crossbody,Multiple,Crossbody Bags,42,6,11,2023-03-01
Athena Leather Crossbody,Multiple,Crossbody Bags,40,7,11,2023-03-01
Cooper Leather Crossbody,Multiple,Crossbody Bags,83,3,11,2023-03-01
Hester Leather Backpack,Multiple,Backpack,38,6,11,2023-03-01
Kiki Leather Shoulderbag,Multiple,Shoulder Bags,94,9,11,2023-03-01
Prado Leather Tote/Crossbody,Multiple,Crossbody Bags,42,7,11,2023-03-01
Whitney Leather Wallet,Multiple,Wallets,112,5,11,2023-03-01
Ezra Leather Crossbody,Multiple,Crossbody Bags,29,4,10,2023-03-01
Cesta Leather Tote,Multiple,Tote Bag,84,6,9,2023-03-01
Dalton Leather Tote,Multiple,Crossbody Bags,77,6,9,2023-03-01
Marlow Leather Crossbody,Multiple,Crossbody Bags,68,6,9,2023-03-01
Camila Leather Shoulderbag,Multiple,Shoulder Bags,45,6,8,2023-03-01
