execution_date,title,order,search_query
2024-05-22,Callie Handcrafted Leather Sling/Crossbody Bags,83,Crossbody Bags
2024-05-27,Terry Handcrafted Leather Wallet - Select Colors on Sale!,78,Wallets
2024-05-24,Terry Handcrafted Leather Wallet - Select Colors on Sale!,50,Wallets
2024-05-24,Andi Handcrafted Leather Wallet - Select Colors on Sale Now!,56,Wallets
2024-05-24,Patch Handcrafted Leather Wallet,81,Wallets
2024-05-26,Terry Handcrafted Leather Wallet - Select Colors on Sale!,49,Wallets
2024-05-25,Terry Handcrafted Leather Wallet - Select Colors on Sale!,76,Wallets
2024-05-22,Andi Handcrafted Leather Wallet - Select Colors on Sale Now!,61,Wallets
2024-05-23,Patch Handcrafted Leather Wallet,62,Wallets
2024-05-23,Andi Handcrafted Leather Wallet - Select Colors on Sale Now!,67,Wallets
2024-05-23,Terry Handcrafted Leather Wallet - Select Colors on Sale!,86,Wallets
