token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_2jsyn4mxby,bo_myc4pcnd9c,5,"Great products and great quality. I’ll be ordering regularly for my shop! Customers love their products!
I’ll be ordering more.",0,Calabash Trading,1727642435000,1727809200000
br_s83sys8v8n,bo_p4skabh4zt,5,Very good  Great products and service. Have ordered several times.,0,Calabash Trading,1727169485000,1727377200000
br_crz284bqdv,bo_csa9f9zwc7,5,Great experience!! ,0,Office Products Center & Gifts,1726848714000,1727204400000
br_zsh95b9z2d,bo_kpncmte9ce,5,Beautiful linens a and fast delivery  ,0,Renegade Mercantile,1725126111000,1725476400000
br_667g7xeue8,bo_38gdtb9dyz,5,Fast shipping and great quality. All items look just like the pictures. Will be ordering again.  ,0,REDEEMED Decor,1725022687000,1725476400000
br_kvkp4px4vm,bo_6tnu5b6p2r,5,excellent quality  I love everything. The bedding is amazing quality and always sells quickly!,0,Gathered Home,1723905292000,1724180400000
br_gmnprdfmw8,bo_pq7s8sfyjz,5,"Stunning! I cannot wait to see how these sell! I ordered a selection based on the season and location. The order arrived quickly, and everything was packaged nicely. Each item is individually tied in quality ribbon and has its own label. Beautiful! I will absolutely order again. ",0,Growing Miracles,1722293050000,1722452400000
br_mjwawhzg7n,bo_wef7jw65b7,5,Great throws.  Best throws ever. So very soft. My customers love them. ,0,Flowers On Main,1719496075000,1719860400000
br_99bpcw8bsa,bo_y7e32r5c68,5,Excellent Quality & Price ,0,Fox & Ivy,1718914338000,1719255600000
br_psugefc6bc,bo_hau7nyqb3j,5,Fast selling. Customers love the softness/patterns Quality product without huge price tag. Packaged well to sell. ,0,Two Trees bed & bath,1712249748000,1712602800000
br_6xmrbam6sp,bo_mft68fd4bh,5,love thrse items well packaged and quick shipping. Already sold out. will be otdering again. ,0,Douglass Oaks Garden Shed,1708871664000,1709064000000
br_rj6kvtfgxc,bo_67dsftnea6,5,Excellent ,0,Jingle Christmas co,1700702393000,1701115200000
br_93cnq7br64,bo_pcqxev52tv,5,EXCELLENT! Clients are loving the Christmas bedding …   ,0,Flax Flair,1699657833000,1699992000000
br_8eage5qaqh,bo_zg9r77kgr9,5,Cute! ,0,Gathered Home,1697153737000,1697482800000
br_54wn7djzav,bo_dcccgnfy8j,5,Beautiful and well made bedspread Great quality products with all the special details,0,The Little Yellow Bench Company,1696519470000,1696964400000
br_7mqpwqfnyk,bo_am8x379geg,5,Gorgeous Product! To say that the pillows and throws I ordered are gorgeous is an understatement! The quality and price cannot be beat. Our stores are in coastal communities and the items I ordered will no doubt sell very quickly! We also received them in record time giving us more time to sell and reorder this summer.,0,Huntington Beach Car Wash,1686921267000,1687287600000
br_asg6686sq8,bo_tgxba3v85y,5,"Fabulous Addition!  Beautiful quilt sets, pillows, shower curtains, and more. The perfect fit for my small coastal shop! All items received so far are high-quality (exceeding expectations), the customer service is responsive/informative, and the coastal variety is a hit with my customers. The only criticism is the overuse of box/packaging per item. However, I’ve found a creative way to recycle the influx of boxes, so I’ll be reordering very soon.",0,Cape May Linen,1684895961000,1685127600000
br_42bznhpbez,bo_hgzujvh8w7,5,BEAUTIFUL LINENS! FIRST TIME ORDERING AND WAS VERY HAPPY WITH QUALITY OF MERCHANDISE AND REASONABLE PRICING. THE ONLY IMPROVEMENT THAT I COULD SUGGEST IS HAVING ITEMS INDIVIDUALLY PACKED IN CLEAR PACKAGING SO OUR CUSTOMERS CAN VIEW ITEMS. THEY WERE MOSTLY PACKED IN MILKY WHITE PLASTIC WHICH DID NOT ALLOW FOR VIEWING ITEMS. WE HAD TO TAKE THE TIME TO REPACKAGE EVERY ITEM. ,0,Renco Ace Hardware,1684348123000,1684522800000
br_hnnnrs64rt,bo_e694zheft6,5,absolutely lovely !!!!  Thank you~ ,0,UNDER a HULA MOON,1682716527000,1683054000000
