collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Holiday Bedding,1698974191000.0,1722548314000.0,64.0,0.0,0.0,0.0,Levtex Home
Linen Bedding,1698978253000.0,1721759007000.0,1.0,0.0,0.0,0.0,Levtex Home
Floral Bedding,1698977309000.0,1721759011000.0,32.0,0.0,0.0,0.0,Levtex Home
Solid Bedding,1698978000000.0,1721759019000.0,27.0,0.0,0.0,0.0,Levtex Home
Coastal & Beach Bedding,1698976424000.0,1722369606000.0,70.0,0.0,0.0,0.0,Levtex Home
Stripes Bedding,1698978676000.0,1721759043000.0,14.0,0.0,0.0,0.0,Levtex Home
Checks & Plaids Bedding,1698978562000.0,1721759050000.0,6.0,0.0,0.0,0.0,Levtex Home
Textured Bedding,1698978855000.0,1721759075000.0,4.0,0.0,0.0,0.0,Levtex Home
Velvet Bedding,1698978441000.0,1721759075000.0,20.0,0.0,0.0,0.0,Levtex Home
Holiday Throws & Blankets,1698975149000.0,1721759075000.0,24.0,0.0,0.0,0.0,Levtex Home
Holiday Decorative Pillows,1698974394000.0,1721759075000.0,70.0,0.0,0.0,0.0,Levtex Home
Holiday Sheets,1698975303000.0,1721759075000.0,4.0,0.0,0.0,0.0,Levtex Home
Holiday Rugs,1698974688000.0,1721759075000.0,11.0,0.0,0.0,0.0,Levtex Home
Holiday Pet Beds,1698974836000.0,1721759115000.0,3.0,0.0,0.0,0.0,Levtex Home
Coastal & Beach Throws,1698976759000.0,1721759115000.0,15.0,0.0,0.0,0.0,Levtex Home
Coastal & Beach Decorative Pillows,1698976669000.0,1722532940000.0,60.0,0.0,0.0,0.0,Levtex Home
Coastal & Beach Shower Curtains,1698976959000.0,1721759115000.0,10.0,0.0,0.0,0.0,Levtex Home
Coastal & Beach Drapes,1698977089000.0,1721759115000.0,2.0,0.0,0.0,0.0,Levtex Home
Harvest Rugs,1698975940000.0,1720555765000.0,6.0,0.0,0.0,0.0,Levtex Home
Peppermint Candy Cane Swirl,1723567109000.0,1723749781000.0,30.0,0.0,0.0,0.0,C&F Home
NEW Christmas Kitchen Towels,1723576011000.0,1723749781000.0,46.0,0.0,0.0,0.0,C&F Home
Christmas Small Hooked Throw Pillows,1695839288000.0,1723750182000.0,33.0,0.0,0.0,0.0,C&F Home
Halloween Art Dolls,1715800671000.0,1723749770000.0,69.0,0.0,0.0,0.0,C&F Home
Fall/Pumpkin Art Dolls,1684434698000.0,1723749770000.0,51.0,0.0,0.0,0.0,C&F Home
Christmas/Winter Art Dolls,1722953102000.0,1723749770000.0,69.0,0.0,0.0,0.0,C&F Home
Fall/Harvest - Green & White,1722809594000.0,1723749770000.0,22.0,0.0,0.0,0.0,C&F Home
Fall/Harvest - Blue & White,1695602083000.0,1723749770000.0,28.0,0.0,0.0,0.0,C&F Home
Fall/Harvest - Champagne & White,1718573192000.0,1723749770000.0,10.0,0.0,0.0,0.0,C&F Home
Fall/Harvest Tabletop,1689097135000.0,1723749770000.0,51.0,0.0,0.0,0.0,C&F Home
Fall/Harvest Kitchen Towels,1687181277000.0,1723749770000.0,74.0,0.0,0.0,0.0,C&F Home
Fall/Harvest Throw Pillows,1687543715000.0,1723749770000.0,71.0,0.0,0.0,0.0,C&F Home
Fall/Harvest Decor,1694629826000.0,1723749770000.0,47.0,0.0,0.0,0.0,C&F Home
Halloween Tabletop,1719769910000.0,1723749770000.0,17.0,0.0,0.0,0.0,C&F Home
Halloween Kitchen & Hand Towels,1687377909000.0,1723749770000.0,71.0,0.0,0.0,0.0,C&F Home
Halloween Throw Pillows,1719756523000.0,1723749770000.0,58.0,0.0,0.0,0.0,C&F Home
Halloween Figurines & Decor,1664474681000.0,1723749770000.0,68.0,0.0,0.0,0.0,C&F Home
Salt & Pepper Shakers,1722040849000.0,1723749770000.0,11.0,0.0,0.0,0.0,C&F Home
NEW Halloween Ornaments,1721758086000.0,1723749770000.0,7.0,0.0,0.0,0.0,C&F Home
SALE Harvest & Halloween,1720795344000.0,1723749770000.0,80.0,0.0,0.0,0.0,C&F Home
Clearance - Final Sale,1710972833000.0,1715871836000.0,12.0,0.0,0.0,0.0,BH Collective
"Lodge Sheets, Quilts, & Blankets ",1711633779000.0,1711641213000.0,14.0,0.0,0.0,0.0,BH Collective
Solid Quilts and Sheets,1710972662000.0,1723759528000.0,15.0,0.0,0.0,0.0,BH Collective
Beach Towels,1710972331000.0,1714662422000.0,7.0,0.0,0.0,0.0,BH Collective
Coastal Quilts and Sheet Sets,1710972214000.0,1713456254000.0,19.0,0.0,0.0,0.0,BH Collective
Shop the Look: Midnight Haven,1721314528000.0,1721409168000.0,5.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Marble,1711739178000.0,1721408950000.0,4.0,0.0,0.0,0.0,ELISABETH YORK
40% OFF Throw Pillows,1713190099000.0,1721408950000.0,17.0,0.0,0.0,0.0,ELISABETH YORK
40%-50% OFF Throw Blankets,1691071045000.0,1721408950000.0,10.0,0.0,0.0,0.0,ELISABETH YORK
25%-40% OFF Quilts,1713191085000.0,1721408950000.0,21.0,0.0,0.0,0.0,ELISABETH YORK
"Extra Wide 35"" Throw Pillows",1711740199000.0,1721408950000.0,8.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Suman,1711732930000.0,1721408933000.0,10.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Whites,1686013376000.0,1723055735000.0,14.0,0.0,0.0,0.0,ELISABETH YORK
Luxe Throw Blankets,1694529136000.0,1721408896000.0,6.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Elodie Dove,1665159922000.0,1721408896000.0,2.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Hanima Navy,1665159761000.0,1721408896000.0,3.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Eva,1664470873000.0,1721408896000.0,4.0,0.0,0.0,0.0,ELISABETH YORK
Shop the Look: Cleo,1664470873000.0,1721408896000.0,1.0,0.0,0.0,0.0,ELISABETH YORK
