tokens,publish_at_values,created_at_values,titles,ratings,brand
br_gmnprdfmw8,1722452400000,1722293050000,Stunning!,5,Levtex Home
br_mjwawhzg7n,1719860400000,1719496075000,Great throws. ,5,Levtex Home
br_99bpcw8bsa,1719255600000,1718914338000,Excellent Quality & Price,5,Levtex Home
br_psugefc6bc,1712602800000,1712249748000,Fast selling. Customers love the softness/patterns,5,Levtex Home
br_6xmrbam6sp,1709064000000,1708871664000,love thrse items,5,Levtex Home
br_rj6kvtfgxc,1701115200000,1700702393000,Excellent,5,Levtex Home
br_93cnq7br64,1699992000000,1699657833000,EXCELLENT! Clients are loving the Christmas bedding …  ,5,Levtex Home
br_8eage5qaqh,1697482800000,1697153737000,Cute!,5,Levtex Home
br_54wn7djzav,1696964400000,1696519470000,Beautiful and well made bedspread,5,Levtex Home
br_7mqpwqfnyk,1687287600000,1686921267000,Gorgeous Product!,5,Levtex Home
br_asg6686sq8,1685127600000,1684895961000,Fabulous Addition! ,5,Levtex Home
br_42bznhpbez,1684522800000,1684348123000,BEAUTIFUL LINENS!,5,Levtex Home
br_hnnnrs64rt,1683054000000,1682716527000,absolutely lovely !!!!  Thank you~,5,Levtex Home
br_ddnc34mwrr,1723662000000,1723495489000,Great,4,C&F Home
br_sykpspd7tp,1723575600000,1723313601000,I Love C&F they are quick on their shipping which I appreciate!,5,C&F Home
br_xyea29vzyh,1723489200000,1723096903000,Very nice products,5,C&F Home
br_xqbkm6dg79,1723230000000,1723065421000,Order came quickly. items were of hood quality and so cute!,5,C&F Home
br_6cu689sgge,1723230000000,1723056585000,Quality products and fast shipping. ,5,C&F Home
br_7pf4mxereb,1723230000000,1723056489000,Fast shipping - great products!,5,C&F Home
br_ks5nth9nt7,1723143600000,1722971586000,Another great order,5,C&F Home
br_dbvqtdymwz,1723057200000,1722885734000,Entire process was well done. Quality is great. ,5,C&F Home
br_rq7tq6afdq,1722625200000,1722451999000,Awesome products:)  ~Teddy,5,C&F Home
br_v3w64d88gc,1722452400000,1722278118000,"Beautiful, well made, great quality home decor accessories!! 5 stars!",5,C&F Home
br_adtrh7jqrb,1722366000000,1722171809000,Spooky Little Witch!,5,C&F Home
br_gbp9mb4aew,1722366000000,1722111935000,There items are always great !!,5,C&F Home
br_txv5ev6tuj,1722279600000,1721939320000,Amazing,5,C&F Home
br_a4tpay5ax8,1722279600000,1721927771000,excellent products and service,5,C&F Home
br_t2nbuywwpw,1721934000000,1721762589000,We have 24 blueberry towels that were sent when we ordered Lake is my happy place towel. Please credit us for the additional 12 towels,3,C&F Home
br_wt387ftcyt,1721934000000,1721749888000,FIRST EXPERIENCE WITH C&F AND IT WAS VERY POSITIVE,5,C&F Home
br_r4yhshajju,1721847600000,1721677471000,Lovely as always!,5,C&F Home
br_ke6n8hggg9,1721674800000,1721328010000,Super cute product!  ,5,C&F Home
br_mq759j72gf,1721156400000,1720972460000,Beautiful ,5,C&F Home
br_9er7x3jyha,1721156400000,1720802395000,Everything came in promtly. We Love C&F Products,5,C&F Home
br_hx385ur2d9,1721070000000,1720711039000,So Cute!!!,5,C&F Home
br_xvgqrjnjdr,1719860400000,1719448019000,Quality excellent ,5,C&F Home
br_wm954jkbw4,1719601200000,1719421876000,Always happy with this company!,5,C&F Home
br_5w249s4pgs,1719342000000,1719162218000,Always great!,5,C&F Home
br_ytze5uqx2w,1719342000000,1719160156000,Awesome!,5,C&F Home
br_ruqevazjk6,1719255600000,1718896683000,Great quality! ,5,C&F Home
br_rbgz49kwpp,1718737200000,1718386217000,Amazing items shipped very quickly!  Thank you!,5,C&F Home
br_hgqmv6swhs,1718737200000,1718376946000,Such great products!,5,C&F Home
br_cthyk9jpew,1718650800000,1718292161000,Great!,5,C&F Home
br_fbvsesusbs,1718218800000,1718047855000,I really enjoy the shop,5,C&F Home
br_age6zasaeu,1718132400000,1717773734000,Great as usual!,5,C&F Home
br_3g63zxercy,1717786800000,1717547095000,Great!,5,C&F Home
br_jf7rdzkaet,1717700400000,1717514461000,loved the sports pillow!!!!,5,C&F Home
br_p8rrv6a76m,1717614000000,1717444109000,Great variety of products and fast shipping.,5,C&F Home
br_wf4vxh9vwk,1717527600000,1717368814000,High Quality merchandise!,5,C&F Home
br_9qaxkpad74,1717527600000,1717368734000,Another amazing experience!,5,C&F Home
br_t996gjbufs,1717527600000,1717368690000,Always Top Notch!,5,C&F Home
br_b7m93vs3uw,1717527600000,1717317881000,Beautiful!!,5,C&F Home
br_gme5j3mbvb,1717527600000,1717317650000,Perfect!,5,C&F Home
br_3rs668xwr7,1717182000000,1717000557000,Awesome Products,5,C&F Home
br_ujsscz5qbh,1716577200000,1716387677000,Great!,5,C&F Home
br_qmt9eym99z,1716404400000,1716240773000,Excellent!,5,C&F Home
br_s2kwgquwzp,1715281200000,1715125080000,Beautiful!,5,C&F Home
br_gnvmd5unew,1715108400000,1714698931000,"Always great, quick shipping! Customers love these items. Thanks.",5,C&F Home
br_yw9ygauz86,1715022000000,1714650468000,Just Ok,3,C&F Home
br_7a8vgca3b2,1714503600000,1714154295000,Very Nice,5,C&F Home
br_3f4vrbcxh8,1714503600000,1714097695000,Great!,5,C&F Home
br_mzddtd38er,1714071600000,1713836164000,Awesome Products,5,C&F Home
br_79juvdfrda,1713294000000,1712881096000,Palmetto Towel,3,C&F Home
br_tk8am6bbza,1712948400000,1712764810000,Awesome,5,C&F Home
br_k4qaxpjakf,1712689200000,1712330960000,Arrived in perfect condition! Thank you for the speedy shipment.,5,C&F Home
br_427f5gnmm3,1712602800000,1712252929000,"Always fast, love their products, great company",5,C&F Home
br_s52ejakty2,1712084400000,1711830486000,"I love everything. I hope my customers do, too! Ceramics arrived with NO breakage!!!!",5,C&F Home
br_2hrncszn8w,1712084400000,1711727958000,Very nice,5,C&F Home
br_c3kzgqy3sx,1712084400000,1711680164000,Wonderful as usual.,5,C&F Home
br_3xsk5dm7d5,1711566000000,1711383455000,Beautiful addition to my Spring tablescape !,5,C&F Home
br_fgsarn9w8t,1711566000000,1711362013000,They was wonderful to work with and got our order promptly!! ,5,C&F Home
br_tqgksj92ep,1711479600000,1711067703000,Pillows very small. Deceptive photographs. ,1,C&F Home
br_bq7ym4pjee,1711393200000,1711036211000,Great quality.,5,C&F Home
br_kfcupjkyut,1710961200000,1710798074000,super cute items,5,C&F Home
br_nhz5d9ngwf,1710788400000,1710434346000,Awesome,5,C&F Home
br_9wjdd388df,1709668800000,1709415426000,Beautiful quality.,5,C&F Home
br_hxhgk4ku87,1709668800000,1709341317000,Always great! My customers love the placemats and kitchen towels. ,5,C&F Home
br_59k9qk4r87,1709668800000,1709326293000,Very nice products! Will order again! ,5,C&F Home
br_96kvegpqr7,1709582400000,1709249533000,Awesome Products,5,C&F Home
br_vxmufw422u,1709064000000,1708792058000,"Adorable items, but excessive shipping costs!!!",2,C&F Home
br_u8hesrwvnp,1709064000000,1708716677000,very nice,5,C&F Home
br_da62btc39p,1708977600000,1708627316000,Excellent Product and Value,5,C&F Home
br_jra6tsaebm,1708545600000,1708289300000,"i mainly ordered ornaments, the shipping was fantastic!  thanks for the great service.",5,C&F Home
br_4eukmya9qp,1708545600000,1708257888000,"Prompt service . Good quality ,",5,C&F Home
br_3b6ftfkuas,1708545600000,1708134462000,Great quality and fast shipping and delivery extremely satisfied and will be using y’all again! ,5,C&F Home
br_a7kbwv8hbh,1708459200000,1708027207000,Incredible experience. ,5,C&F Home
br_3ryc4zpqf7,1708459200000,1708014481000,ALWAYS GREAT PRODUCTS,5,C&F Home
br_qktqz72xpv,1708027200000,1707841074000,like product just not what they charge for shipping,2,C&F Home
br_9gmdwuhbbf,1707854400000,1707562117000,Super cute & great quality!!,5,C&F Home
br_3yuakr5k6r,1707768000000,1707409793000,Excellent response to order,5,C&F Home
br_uxdbvppnx6,1707422400000,1707245765000,Love love love,5,C&F Home
br_eruhwnp65g,1707336000000,1707167949000, Beach and Christmas themed items love them! ,5,C&F Home
br_9wuh76kgsn,1706817600000,1706639048000,Cute themed pillows,5,C&F Home
br_vgrhs9kym8,1706817600000,1706635925000,My Customers and I LOVE your products! ,5,C&F Home
br_dx2wuatgmy,1706817600000,1706626333000,Loved all of it!!,5,C&F Home
br_hdujezqp28,1706731200000,1706490948000,"Great selection, fast shipping",5,C&F Home
br_sg49nafsp8,1706644800000,1706380226000,Very satisfied,5,C&F Home
br_vmqg976vpf,1706644800000,1706323523000,Lovely products and quick shipping,5,C&F Home
br_aa89aenn5t,1706644800000,1706304763000,We love your cute towels!! And now that you're on Faire it's so easy to order!,5,C&F Home
br_6m8dqq8das,1706644800000,1706288989000,Always Great. Thank you.,5,C&F Home
br_9pj3unphxp,1706126400000,1705940053000,Love the pillows and towels!,5,C&F Home
br_2rjvguauru,1705953600000,1705608151000,Wonderful ,5,C&F Home
br_qq5fjqqnvk,1705694400000,1705502763000,ALWAYS GREAT PRODUCTS,5,C&F Home
br_hkrduht38j,1705608000000,1705434073000,Great little gifts! ,5,C&F Home
br_jbeftpw5dt,1705608000000,1705430231000,Wonderful ,5,C&F Home
br_tffn8q3386,1705521600000,1705354139000,Excellent As Always,5,C&F Home
br_q3cctqus2e,1705521600000,1705080751000,Tiny pillows!! ,2,C&F Home
br_8p3t5w6tac,1705435200000,1704947496000,Excellent!,5,C&F Home
br_mcnqm2gy7y,1704830400000,1704575931000,Excellent ,5,C&F Home
br_q8er3qsheb,1704830400000,1704451849000,Great Company!!,5,C&F Home
br_9vrjnp8kuv,1704830400000,1704442442000,Beautiful Products Shipping Charges Are Outrageous ,1,C&F Home
br_9xrc8t2wrp,1704398400000,1704211613000,Fantastic!,5,C&F Home
br_g44heb8sad,1704398400000,1704163660000,I was super happy with everything I ordered!! Sold out fast!!,5,C&F Home
br_7u8unakc5q,1704312000000,1703955284000,Beautiful Nutcracker kitchen towels,5,C&F Home
br_94xqpzgs3u,1704312000000,1703955235000,beautiful Nutcracker towels ,5,C&F Home
br_ypxc9fjpvw,1704225600000,1703773963000,Cute towels. ,5,C&F Home
br_65kud98p84,1703707200000,1703289881000,LOVE this brand!!!,5,C&F Home
br_56sk2jxws3,1703707200000,1703256187000,Perfection!,5,C&F Home
br_ws742rarfv,1703102400000,1702915834000,Love this unique products from this company ,5,C&F Home
br_qwbn76zpnu,1703102400000,1702910895000,Great Service,5,C&F Home
br_jmebxxw2c9,1702411200000,1702248013000,Awesome,5,C&F Home
br_fkahgpfvt2,1702324800000,1701968623000,Great,5,C&F Home
br_zxy22xeerq,1702324800000,1701957054000,think twice before you order,1,C&F Home
br_bgejhfhwyy,1702324800000,1701911170000,Beautiful! Great quality for value,5,C&F Home
br_88853w7d24,1701979200000,1701800565000,"Nice product, quick shipping",5,C&F Home
br_473xp9yrub,1701979200000,1701773320000,Beautiful product perfect for a Holiday table,5,C&F Home
br_kg8fc8q5gw,1701892800000,1701707464000,These holiday pillows were a big hit! ,5,C&F Home
br_smjqr3bwbv,1701806400000,1701556208000, The products are exceptional,5,C&F Home
br_gt9euwzw3h,1701806400000,1701437514000,These FLEW off our shelves!,5,C&F Home
br_nu95nuvjwj,1701460800000,1701300938000,Love Love Love!!!,5,C&F Home
br_skhq2499x2,1701460800000,1701300607000,Love everything we have ordered!,5,C&F Home
br_phwysd3udk,1701460800000,1701279846000,Consistently excellent in all areas.  We love C & F Home!,5,C&F Home
br_ct28jj7ntp,1701374400000,1701139642000,Fun new stuff for the holidays! Great variety!,5,C&F Home
br_pyxs3bz23v,1701374400000,1701137185000,Lovely products,5,C&F Home
br_xp9syu9y4w,1701201600000,1701029591000,Fast shipping and quality product.,5,C&F Home
br_vrhyf5ytv4,1701115200000,1700691265000,Super cute purchases!,5,C&F Home
br_ybykjdj6we,1701115200000,1700690327000,Perfection ,5,C&F Home
br_24kqmm7eye,1701115200000,1700688898000,Wonderful products,5,C&F Home
br_xtufnhcwpg,1700683200000,1700500639000,Always Great and quick shipping! Thank you.,5,C&F Home
br_u6q5zwacj5,1700596800000,1700351963000,Great products and even better price points!,5,C&F Home
br_e6fuq9yhsr,1700510400000,1700168562000,Amazing!,5,C&F Home
br_5k49e4gkj8,1700510400000,1700104174000,Great!,5,C&F Home
br_4yds7xd665,1700251200000,1700060753000,Shipping was very fast! Lovely products,5,C&F Home
br_scswc4tqkt,1700164800000,1699993450000,the stocking and towels were very nice. ,5,C&F Home
br_h4zzy9cjfw,1699992000000,1699669124000,Very nice products!,5,C&F Home
br_7ph6rbw46v,1699992000000,1699591161000,Great,5,C&F Home
br_sf7dqcrwau,1699905600000,1699548643000,Great quality!,5,C&F Home
br_etrv3r3s45,1699905600000,1699493166000,Great Value,5,C&F Home
br_789pd6jnsx,1699387200000,1699208750000,great,5,C&F Home
br_qdxjvqy75p,1699387200000,1699207838000,Great products,5,C&F Home
br_k445fd7vtx,1699387200000,1699198735000,So cute and shipped so fast! Can’t wait to start selling . ,5,C&F Home
br_9jvqnwfqqt,1699387200000,1699192795000,We love CF home! ,5,C&F Home
br_x4r6rv96n6,1699387200000,1699030303000,Wonderful products and amazing delivery timelines. ,5,C&F Home
br_wp77kjjjt4,1698951600000,1698745945000,I have been buying the Joe Spencer items for many years.  Always top quality!,5,C&F Home
br_swbgu4u6h6,1698865200000,1698706343000,Great quality!,5,C&F Home
br_9rfmpprfe2,1698865200000,1698691046000,Insider shipping is the best!,5,C&F Home
br_4fukb8huhd,1698692400000,1698349599000,Great quality!,5,C&F Home
br_ab67szyp3w,1698692400000,1698345352000,Great products and service!,5,C&F Home
br_psrtcyn4y8,1698692400000,1698321637000,Beautiful pieces.,5,C&F Home
br_bqdzqz2ndf,1698692400000,1698307202000,The peppermint pillow isn’t as good it should be. ,3,C&F Home
br_y674mykj98,1698433200000,1698253016000,Beautiful blankets that we monogram. Our customers love them for Christmas gifts!,5,C&F Home
br_md9wpgwrpz,1698174000000,1697921789000,Always a great experience! ,5,C&F Home
br_7rus85fkzw,1697742000000,1697505136000,Such darling totes for gifts! ,5,C&F Home
br_hkybpn6jn3,1697569200000,1697393692000,"Really wished I could have gotten the Lucille Cheerleader doll by Joe Spencer, but it was out of stock",3,C&F Home
br_gathjgmvn8,1697569200000,1697287875000,"Thank you, amazing as always",5,C&F Home
br_a9ejwgchdm,1697223600000,1697053518000,Perfect for my beach style store.  ,5,C&F Home
br_xsxtcd9xnn,1697223600000,1697022082000,First class.,5,C&F Home
br_nvwac7wumt,1697137200000,1696966846000,Absolutely Wonderful!,5,C&F Home
br_kfe7pr8knj,1697050800000,1696858857000,dish towels unusable,3,C&F Home
br_fbq9q5wd3h,1697050800000,1696808300000,Always a great seller for me. Thanks!,5,C&F Home
br_e9vwraeztg,1697050800000,1696777212000,"First order, but not last!",5,C&F Home
br_p5pefpkj9p,1697050800000,1696688672000,Always excited to order and receive new inventory from C&F Home!,5,C&F Home
br_rqkxs247uz,1696964400000,1696534640000,great quality,5,C&F Home
br_amb9hsss8h,1696964400000,1696534601000,"wonderful products at great price points, my customers love them",5,C&F Home
br_vrm5zx3rdq,1696964400000,1696530899000,Great!,5,C&F Home
br_8fqf5xfbn6,1696964400000,1696529036000,Fantastic,5,C&F Home
br_p2sp6c7w4y,1696446000000,1696278793000,The shipping was out of line for weight of the product. Will not use them again. I reached out to them and got no response. ,1,C&F Home
br_ha2rp8mvpz,1696359600000,1696132660000,TOP QUALITY PRODUCTS,5,C&F Home
br_u7mgzcz4wn,1696359600000,1696086828000,Everything was excellent!,5,C&F Home
br_ngz26h5hwv,1696359600000,1696014435000,Excellent,5,C&F Home
br_7sf68x8n9s,1696014000000,1695838012000,"We keep them is stock, great sellers! ",5,C&F Home
br_4ej5ah7dy4,1695927600000,1695763691000,Love it!,5,C&F Home
br_kx9td5ksja,1695927600000,1695762683000,Awesome ,5,C&F Home
br_va8kscy3g9,1695927600000,1695759778000,Excellent company/products,5,C&F Home
br_zwkfgberyg,1695927600000,1695697181000,Always perfect and reliable!,5,C&F Home
br_pqpf7qsqcv,1695754800000,1695430275000,Fantastic Quality,5,C&F Home
br_xy2nqg9pqj,1695754800000,1695410315000,Nice quality,5,C&F Home
br_4eduebpjw6,1695754800000,1695396927000,Very happy with quick response and product quality!,5,C&F Home
br_62t7t8fnmu,1695668400000,1695301193000,Love!! Great quality!!,5,C&F Home
br_42jf62kk7j,1695668400000,1695269504000,Excellent!,5,C&F Home
br_ecz7g9pvva,1695409200000,1695221349000,great,5,C&F Home
br_d8wmrnksp9,1695409200000,1695177977000,super fast shipping!,5,C&F Home
br_uxkcm2da7b,1695150000000,1694886498000,Totally Amazing!!,5,C&F Home
br_9nx2wrp73p,1695150000000,1694822615000,Love all of the products!,5,C&F Home
br_vdsfwj8yfj,1694804400000,1694624458000,Products as described ,5,C&F Home
br_ahvubfcyan,1694804400000,1694578029000,Excellent Product,5,C&F Home
br_4rpdqsmkgc,1694631600000,1694429548000,Great holiday addition for our shop,5,C&F Home
br_66yu4zyddm,1694545200000,1694289478000,Great quality and speedy delivery ,5,C&F Home
br_qc7ef4zqgp,1694545200000,1694200334000,love the quick ship of the products,5,C&F Home
