token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_6yrpere6ae,o_sb34z9a2su,p_j48538tkvf,bo_uc3kwqevu4,San Sebastian Relax Pillow with Tassels,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_mb4tkvj7pw,o_sb34z9a2su,p_rgm5aw2ny7,bo_uc3kwqevu4,Blue Sea Fish Embroidered Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_kbcnptzgmf,o_sb34z9a2su,p_gus8cdf3dq,bo_uc3kwqevu4,Laida Beach Flower Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_mb4rs43j6k,o_sb34z9a2su,p_wvrd5mg7du,bo_uc3kwqevu4,Beach Days Palm Tassel Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_z5ssvqye5e,o_sb34z9a2su,p_zx4at67hzp,bo_uc3kwqevu4,Pickford Beige Natural Crewel Geo Pillow,14x18,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_4gnpc582fb,o_sb34z9a2su,p_g45sjkpgp6,bo_uc3kwqevu4,Preston Stripe Pillow,14x32,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_wcf7updjjd,o_sb34z9a2su,p_ndnntggyqq,bo_uc3kwqevu4,Truro Paradise Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_qupzh5qt3c,o_sb34z9a2su,p_7e74ryfnpf,bo_uc3kwqevu4,Teal Life is Better by the Sea Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_7q5gk3mwy6,o_sb34z9a2su,p_e9kfcvm7ft,bo_uc3kwqevu4,Stone Harbor Starfish Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_ysb92kxemt,o_sb34z9a2su,p_yc5nnt9hey,bo_uc3kwqevu4,Nantucket Fish Pillow w Tassels,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_g7aygmv7rm,o_sb34z9a2su,p_56eyrmx5a8,bo_uc3kwqevu4,Laida Beach Quilted Throw,default,5250,2500,2500,1,2500,2500,0,#UC3KWQEVU4,
oi_3cx33uewqj,o_sb34z9a2su,p_2atyjhpmnb,bo_uc3kwqevu4,Kailua Quilted Tassel Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_e9u6467nj7,o_sb34z9a2su,p_fw99cgr6sp,bo_uc3kwqevu4,Deva Beach Fishes Pillow,default,3675,1750,1750,1,1750,1750,0,#UC3KWQEVU4,
oi_m2yunw23ax,o_sb34z9a2su,p_dtyncnm2dx,bo_uc3kwqevu4,Bayport Quilted Throw,default,5250,2500,2500,2,5000,5000,0,#UC3KWQEVU4,
oi_aarbcr4cn2,o_sb34z9a2su,p_pvj695wfg6,bo_uc3kwqevu4,Bayport Beach Pillow,default,3675,1750,1750,2,3500,3500,0,#UC3KWQEVU4,
oi_a9eugpd75a,o_u2qrwyuarq,p_39txy3fs3e,bo_zahkmmq2nv,Cross Stitch Quilt Set,Cream / King/Cal King,15750,7500,7500,1,7500,7500,0,#ZAHKMMQ2NV,
oi_d25yr7yyws,o_u2qrwyuarq,p_39txy3fs3e,bo_zahkmmq2nv,Cross Stitch Quilt Set,Forest Green / Full/Queen,13650,6500,6500,1,6500,6500,0,#ZAHKMMQ2NV,
oi_72227z2qhb,o_u2qrwyuarq,p_qasu67kpwc,bo_zahkmmq2nv,Velvet Stitch Quilt Set,Rust / Full/Queen,13650,6500,6500,1,6500,6500,0,#ZAHKMMQ2NV,
oi_2b7e25uzcv,o_u2qrwyuarq,p_39txy3fs3e,bo_zahkmmq2nv,Cross Stitch Quilt Set,Cream / Full/Queen,13650,6500,6500,2,13000,13000,0,#ZAHKMMQ2NV,
