tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_cyzedzdnqt,Rem: 10% + 5% Off Sales | 11.29.24,ONE_TIME,COMPLETED,1732923143000.0,1886.0,1704.0,634.0,12.0,5.0,927.5,1.0,197.5
bmc_4sthhzh23a,New Colors: Cloud Waffle Duvet/Comforter + Euro Shams | 11.27.24,ONE_TIME,DRAFT,,,,,,,,,
bmc_g3uhn5hxkz,Best Selling Duvets + Comforters | 11.25.24,ONE_TIME,COMPLETED,1732569342000.0,1904.0,1686.0,684.0,12.0,10.0,2395.0,0.0,0.0
bmc_b5mqkznjup,RSND New Arrivals: Mills Waffle + Comforter Sets | 11.19.24,ONE_TIME,COMPLETED,1732068918000.0,997.0,882.0,142.0,6.0,0.0,0.0,0.0,0.0
bmc_wpc9garxgp,New Arrivals: Mills Waffle + Comforter Sets | 11.18.24,ONE_TIME,COMPLETED,1731960932000.0,1907.0,1693.0,695.0,12.0,8.0,3079.75,1.0,87.0
bmc_9gdy9subq8,RSND New Colors | Best-Sellers | 11.14.24,ONE_TIME,COMPLETED,1731619022000.0,939.0,804.0,108.0,4.0,0.0,0.0,0.0,0.0
bmc_hp5qvvn6xj,New Colors | Best-Sellers | 11.8.24,ONE_TIME,COMPLETED,1731442622000.0,1904.0,1718.0,747.0,17.0,11.0,4483.45,0.0,0.0
bmc_5kfd37vsyx,October's Best-Sellers | 11.5.24,ONE_TIME,COMPLETED,1730826908000.0,1857.0,1647.0,748.0,21.0,5.0,750.0,0.0,0.0
bmc_9rfcr7xf3b,"10% Off Holiday Sale: Rugs, Pets, Throws | 10.29.24",ONE_TIME,COMPLETED,1730319304000.0,1412.0,1255.0,558.0,13.0,11.0,1915.0,0.0,0.0
bmc_fdmmddgq94,NEW Arrivals | 10.21.24,ONE_TIME,COMPLETED,1729609204000.0,1388.0,1241.0,596.0,12.0,15.0,4507.5,1.0,315.0
bmc_2ubqmzkqvp,RSND Christmas Rugs | 10.15.24,ONE_TIME,COMPLETED,1729282500000.0,674.0,594.0,76.0,2.0,0.0,0.0,0.0,0.0
bmc_p2vrksv4qk,Christmas Rugs | 10.15.24,ONE_TIME,COMPLETED,1729055737000.0,1373.0,1270.0,521.0,14.0,7.0,692.5,0.0,0.0
bmc_tgdhrvhmse,Kasey + Angelica | 10.9.24,ONE_TIME,COMPLETED,1728501348000.0,856.0,798.0,372.0,8.0,9.0,4272.5,0.0,0.0
bmc_f4rjm2gbgm,Back in Stock | 10.4.24,ONE_TIME,COMPLETED,1728058508000.0,850.0,782.0,385.0,7.0,6.0,4265.0,1.0,965.0
bmc_qvj3nu5p7y,September's Best-Sellers | 9.30.24,ONE_TIME,COMPLETED,1727728657000.0,857.0,778.0,424.0,12.0,7.0,3813.0,0.0,0.0
bmc_ewm72m3m9f,Closeouts & Phaseouts #2 | 9.26.24 ,ONE_TIME,COMPLETED,1727363717000.0,847.0,778.0,343.0,10.0,10.0,3895.5,2.0,920.0
bmc_8a8xjhnmyp,Closeouts & Phaseouts | 9.22.24,ONE_TIME,COMPLETED,1727057013000.0,840.0,808.0,432.0,10.0,11.0,6129.5,4.0,1177.5
bmc_s8qg8znckf,Christmas is Coming | 9.13.24,ONE_TIME,COMPLETED,1726168552000.0,648.0,610.0,302.0,13.0,10.0,9304.0,0.0,0.0
bmc_cykqq2dqrd,New Colors #3 | Best-Sellers | 9.10.24,ONE_TIME,COMPLETED,1725995912000.0,647.0,613.0,284.0,9.0,5.0,6105.0,1.0,160.0
bmc_9merrsa45e,New Colors #2 | Best-Sellers | 9.6.24,ONE_TIME,COMPLETED,1725655292000.0,481.0,449.0,214.0,3.0,9.0,3148.5,0.0,0.0
bmc_3jqc3yzgv2,New Colors #1 | Best-Sellers | 9.4.24,ONE_TIME,COMPLETED,1725463773000.0,478.0,446.0,208.0,4.0,4.0,1161.0,0.0,0.0
bmc_qvxmvvnx6f,NEW Fall Arrivals | 8.28.24,ONE_TIME,COMPLETED,1724858127000.0,457.0,430.0,220.0,14.0,6.0,1884.0,2.0,482.5
bmc_fwkv38bjfj,Holiday Collection 5% Off | 8.21.24,ONE_TIME,COMPLETED,1724426239000.0,456.0,421.0,203.0,7.0,11.0,4299.75,1.0,157.5
bmc_fgyzgwymjw,Atlanta Market 2024 Reminder,ONE_TIME,COMPLETED,1720811825000.0,219.0,176.0,80.0,0.0,4.0,2522.0,0.0,0.0
bmc_ebfn8dmn83,Atlanta Market 2024 Announcement (Copy 1),ONE_TIME,COMPLETED,1720022400000.0,217.0,159.0,70.0,1.0,7.0,4598.5,0.0,0.0
bmc_qh8ff8geuw,Atlanta Market 2024 Announcement,ONE_TIME,COMPLETED,1704748285000.0,142.0,107.0,49.0,1.0,4.0,5060.65,0.0,0.0
