tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_npcx54bnkt,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730828521000,True,True,r_byr3nu9mvr,24566,La-Te-Da Floral and Events,,Gift Store,True
bo_qhqua5k8ye,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730826721000,True,True,r_qu42nu9q4z,25335,Natural Ginger Candles,http://www.naturalgingercandles.com/,Gift Store,False
bo_gm3xa2vufv,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730814570000,True,True,r_f18itgia,24202,Mirabella Salon,https://maps.google.com/?cid=11089889639715930213,,False
bo_fre9hu5gg3,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730752470000,False,False,r_vveqdmgezr,46963,Alexandras Salon,https://alexandrassalon.mysalononline.com/,Spa or Beauty Store,True
bo_ebzhkxbt5t,REPLACE_DAMAGED_OR_MISSING_ITEMS,PROCESSING,UNFULFILLED,MARKETPLACE,1730750692000,True,True,r_1ua220wv,4045,That Old Blue Door LLC,https://www.facebook.com/thatoldbluedoor/,Home Decor Store,True
bo_egb636k394,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730746049000,True,True,r_e86sdfgrfw,36032,The Orchard House Restaurant,http://theorchardhouse.us/,Cafe or Restaurant,True
bo_q4rwdvzevz,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730739449000,False,False,r_vvcxsj9cg9,6939,Jills Cottage LLC,http://www.thecottagegiftsandgarden.com/,Home Decor Store,False
bo_dp43fw34sv,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,ELEVATE,1730732451000,False,False,r_77ui0c7k,7690,Ridge Avenue & CO.,https://maps.google.com/?cid=12511228537626366635,,True
bo_n7qqtcqf6q,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730724749000,False,False,r_ssivwj9uls,6571,Chanel Shabby Rose Vintage store,https://maps.google.com/?cid=7909417689806748331,Clothing Boutique,False
bo_uv96bfh9th,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730701949000,True,True,r_8rtu4p1u06,28764,Fairfield Drug Inc,https://maps.google.com/?cid=4254100433752191206,Gift Store,True
bo_fjda73nv5y,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730688749000,True,True,r_as19geg0yf,20975,Bicycle World - The Outdoor Shoppe,http://bicycleworldnc.com/,Clothing Boutique,False
bo_cpb8u2uya2,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730682149000,True,True,r_h67htvthew,19681,Recycled Soul Creations,https://www.facebook.com/recycledsoulcreations?mibextid=LQQJ4d,,False
bo_dhwfzecgja,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1730677949000,True,True,r_4gpwb4vchw,19345,Knoblock & Co. DBA Cabin and Gift Creede,http://www.cabinandgiftcreede.com,General or Mercantile Store,False
bo_hfqdgfzvge,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730674049000,True,True,r_5maq5fhcbx,25853,Sooo Cute Wreaths and Decor,http://sooocutedecor.patternbyetsy.com/,Home Decor Store,True
bo_w2akkz2xsm,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730673149000,True,True,r_4q1u46ijqt,24643,Canopy,,Home Decor Store,False
bo_dsrr2zt89m,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730646149000,True,True,r_pb9szvt49e,34799,Schoolhouse Cabin,,Gift Store,True
bo_k8mf89w2se,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730632649000,False,False,r_1dsneh0xif,6745,Calabash Trading,https://www.facebook.com/coastalshopping,,False
bo_wr7d98xnsp,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730603849000,True,True,r_ccmbvsdte7,20016,The Shack Boutique,http://theshackboutique.com/,Clothing Boutique,False
bo_tmj47g8ywj,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730595149000,True,True,r_5j7fjgtr,24397,County  Crafters,,Home Decor Store,True
bo_xzqbrxrwqc,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1730579849000,True,True,r_6rczuv2qhz,30153,Knightingales,,Clothing Boutique,True
bo_7kc9r572dw,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730575349000,False,False,r_c994nqwy,9138,Wintle & Co.,,,False
bo_j6kcr4k8qg,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1730559149000,True,True,r_f4ydqo8wlb,28310,Handel Haus,https://maps.google.com/?cid=6596731496349251538,Gift Store,False
