product_token,name,category,sales_count,order_count,visit_count,date
p_22285hyub8,Cortona Duvet/Comforter Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_2399c26yxp,Patch Garden Round Play Mat,Placemat,0,0,0,2023-01-01 00:00:00
p_23p9xzf78e,Viviana Duvet/Comforter Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_23vbtxehah,Bailey Wall Decals,Wall Decals & Stickers,0,0,0,2023-01-01 00:00:00
p_2468y89jqj,Sleigh Bells Grey Deer Textured Red Tassel Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_24d7qw97h5,Mirage Appliqued Giraffes Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_264mtsddym,Imani Change Pad Cover,Changing Mat & Pad Cover,0,0,0,2023-01-01 00:00:00
p_266zz59wyv,Bretton Woods Green Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_26njqvuq2c,Mills Waffle Bedspread Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_26r4jrawz8,Becker Euro Sham Set of 2,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_26z3z4st39,Del Ray Teal Crewel Stitch Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_279hzvwpye,Santa Fe Shower Curtain,Shower Curtain,0,0,0,2023-01-01 00:00:00
p_28t4d48y49,Bayport Clam Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2ad7ub7ekb,Beach Days Drape Panel,Curtains & Drapes,0,0,0,2023-01-01 00:00:00
p_2atyjhpmnb,Kailua Quilted Tassel Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2b9zbqabxq,Mills Waffle Red Sherpa Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2cctxezd9j,Vincenza Duvet,Duvet Cover,0,0,0,2023-01-01 00:00:00
p_2cqtse3m47,Astoria Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2cxaudk6kr,Santa Fe Quilt,Quilts,0,0,0,2023-01-01 00:00:00
p_2dcdrf4kh2,Ho Ho Holidays Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2dncnu2zdt,Bridgetown Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2efka7tajt,Moreno Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2f4q4p7arp,Lodge Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2h4v7rx5s5,Sleigh Bells Euro Sham,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_2h6ux7445d,Colette Change Pad Cover,Changing Mat & Pad Cover,0,0,0,2023-01-01 00:00:00
p_2hvxhbj6mg,Sylvie Blossom Orange/White Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2js8ttgmz4,Ocean Meadow Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2kc8zac4f2,Bakio Euro Sham Set of 2,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_2mrc2yvt74,Truro Duvet/Comforter Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_2myjezsyed,Pippa Embroidered Bird Gingham Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2prnkc4weq,Spruce Snowflake Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2q85h6rsg7,Cloud Muslin Fitted Sheet Set of 2,Fitted Sheet,0,0,0,2023-01-01 00:00:00
p_2qxg8qdd5q,Tatum Pines Fur Deer Appliqued Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2r5eub4swf,Khotan Embroidered Mustard Pillow 18x14,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2rgqf8p27j,Danika Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2s4crrcdw8,Lara Spa Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2scdahvrqq,Kenya Blanket,Bedding Blankets,0,0,0,2023-01-01 00:00:00
p_2sctsv7yyj,Patchwork Pine Quilt Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_2tb8w52uk7,Addie Drape Panel - Set of 2,Curtains & Drapes,0,0,0,2023-01-01 00:00:00
p_2tewugj6d7,Adeline 5-Piece Toddler Bedding Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_2ttje8pvq2,Cambria Fish Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2tyrcbakqg,Bailey Rug,Area Rugs,0,0,0,2023-01-01 00:00:00
p_2tzg8c75rx,Colette Unicorn Cotton Crib Fitted Sheet,Cot & Crib Sheets,0,0,0,2023-01-01 00:00:00
p_2u7ppqh484,Bretton Woods Quilted throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_2vjhgtcny9,Fillipa Standard Sham,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_2vsm8t42fs,Palisades Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2whx9axtvg,Provincetown Quilt,Quilts,0,0,0,2023-01-01 00:00:00
p_2x3g32jaef,Bondi Stripe Grey Our Nest Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_2xn9nhkwr5,Bowie White Euro Sham Set of 2,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_2xrk6tgrtt,Harleson Chenille Duvet/Comforter Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_2ycgpydh4g,Sherbourne Stitch Quilt,Quilts,0,0,0,2023-01-01 00:00:00
p_2ys4v4tnd5,Red Velvet Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_2zawqqwdrt,Bailey Fitted Crib Sheet -Set of 2,Cot & Crib Sheets,0,0,0,2023-01-01 00:00:00
p_323uu6dyxs,Pom Pom Taupe King Sham,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_32ccxcvwjg,Becker Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_334fc4mym5,Tinsel Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_339cjv9pfr,Sunset Bay Euro Sham Set of 2,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_33jf9gtcee,Mills Waffle Square Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_34yh436qr5,Road Trip Gnomes Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_34zs54e29k,EmbroideredFish with Tassels Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_35af27wghy,Palmira Palm Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_38ffn7tz3c,Chandra Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_38fs35y89r,Yuletide Carte Postal Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_38qc83cws4,Catalina Fish Quilt Set,Quilts,0,0,0,2023-01-01 00:00:00
p_39pg7cfvvj,Sloane Duvet/Comforter Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_39s4akjukw,Montecito Quilted Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_39smy5hrqx,Rudolph Snowflake Grey Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_39txy3fs3e,Cross Stitch Quilt Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_3bv7g7s8x7,Lyon Teal Throw,Throw Blanket,0,0,0,2023-01-01 00:00:00
p_3bvkxmm8fb,Sateen Sheet Set - 100% Cotton,Sheet Set,0,0,0,2023-01-01 00:00:00
p_3cbjx8cu3t,Cross Stitch Bedspread Set,Bedding Sets,0,0,0,2023-01-01 00:00:00
p_3cu4tvm99j,Washed Linen Spa W White Flange Duvet,Duvet Cover,0,0,0,2023-01-01 00:00:00
p_3d2c6mtscz,White Pine Applique Snowman Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
p_3eekzwhcec,Grey Stonewashed Euro Sham Set of 2,Bedding Pillowcase & Sham,0,0,0,2023-01-01 00:00:00
p_3j3wz7b8bj,Apolonia Blue Framed Square Pillow,Throw & Decorative Pillow,0,0,0,2023-01-01 00:00:00
