collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Southern Collection,1714697706000.0,1714697707000.0,37.0,0.0,0.0,0.0,Little Hometown
Louisiana Collection,1696456707000.0,1714697707000.0,33.0,0.0,0.0,0.0,Little Hometown
Little Hometown Pajamas,1696456461000.0,1714697707000.0,9.0,0.0,0.0,0.0,Little Hometown
Coastal & Ocean Collection,1696456233000.0,1714697707000.0,15.0,0.0,0.0,0.0,Little Hometown
Floral Collection,1696456101000.0,1714697707000.0,15.0,0.0,0.0,0.0,Little Hometown
Country & Western Collection,1696455906000.0,1714697707000.0,42.0,0.0,0.0,0.0,Little Hometown
Texas Collection,1664474127000.0,1714697707000.0,36.0,0.0,0.0,0.0,Little Hometown
Just Arrived - Print Sunhats,1664469097000.0,1714242493000.0,16.0,0.0,0.0,0.0,Huggalugs
Boys Bonnets,1664470392000.0,1711394410000.0,4.0,0.0,0.0,0.0,Huggalugs
Girls Bonnets,1664470393000.0,1711394410000.0,16.0,0.0,0.0,0.0,Huggalugs
Beautiful Basics,1691423147000.0,1712082021000.0,23.0,0.0,0.0,0.0,Huggalugs
Hats and Caos,1664468661000.0,1712256550000.0,10.0,0.0,0.0,0.0,Bambini Infant Wear inc.
Tank Tops,1664468662000.0,1664468712000.0,8.0,0.0,0.0,0.0,Bambini Infant Wear inc.
Preemie Starter Set,1664468518000.0,1664468531000.0,6.0,0.0,0.0,0.0,Bambini Infant Wear inc.
New Moms Gift Guide,1712891375000.0,1712891375000.0,11.0,0.0,0.0,0.0,KeaBabies
Spring Sale,1712633448000.0,1712891375000.0,7.0,0.0,0.0,0.0,KeaBabies
Sleep Essentials,1709794144000.0,1712891375000.0,35.0,0.0,0.0,0.0,KeaBabies
KeaBabies Starter Kit (Sell Through Products),1664471502000.0,1712891375000.0,14.0,0.0,0.0,0.0,KeaBabies
Best-selling Bath Essentials,1671523096000.0,1712891375000.0,9.0,0.0,0.0,0.0,KeaBabies
Baby Drool Bibs Collection,1664474747000.0,1712891375000.0,21.0,0.0,0.0,0.0,KeaBabies
Baby Gifts ,1664470896000.0,1712891375000.0,5.0,0.0,0.0,0.0,KeaBabies
Best Sellers,1664470527000.0,1712891375000.0,10.0,0.0,0.0,0.0,KeaBabies
Feeding essentials,1664474826000.0,1712891375000.0,16.0,0.0,0.0,0.0,KeaBabies
My Little Dreamy Pillow Collection,1664470917000.0,1712891375000.0,13.0,0.0,0.0,0.0,KeaBabies
Lulujo Best Sellers,1702511997000.0,1706020141000.0,25.0,0.0,0.0,0.0,Lulujo
Top Selling Swaddling Blankets,1702513048000.0,1706020183000.0,23.0,0.0,0.0,0.0,Lulujo
BOHO  COLLECTION ,1664470097000.0,1706020121000.0,54.0,0.0,0.0,0.0,Lulujo
Security Blankets,1706017032000.0,1713806881000.0,15.0,0.0,0.0,0.0,Lulujo
Sleep Sacks,1706016385000.0,1706020121000.0,4.0,0.0,0.0,0.0,Lulujo
SPORTS COLLECTION,1695391238000.0,1706020124000.0,7.0,0.0,0.0,0.0,Lulujo
GIFT COLLECTION,1695655079000.0,1706020124000.0,10.0,0.0,0.0,0.0,Lulujo
