tokens,publish_at_values,created_at_values,titles,ratings,brand
br_k2hht7zhgu,1714503600000,1714335359000,"Great merchandise, fast turn around time",5,Little Hometown
br_zu8kteh2nr,1714158000000,1713997783000,Great quality. Very cute designs. Fast shipping. ,5,Little Hometown
br_nbu38a9tx5,1711393200000,1711046459000,Lovely items! Great quality!,5,Little Hometown
br_g9qa7e96w6,1710442800000,1710221198000,"Fast shipping, Great quality and responded quickly!",5,Little Hometown
br_dje6frm5az,1709668800000,1709414469000,Great items ,5,Little Hometown
br_r3adsf78ze,1708545600000,1708101584000,Love Little Hometown products!,5,Little Hometown
br_3v7dnmz4va,1705521600000,1705288986000,Love the details in these swaddles!  Unique and personal yet still appeal to so many customers.  ,5,Little Hometown
br_zqqa2mscsd,1704830400000,1704665493000,Great quality very pleased with the purchase!,5,Little Hometown
br_u8sutvm3cw,1703707200000,1703444230000,Beautiful products I am excited to have them in the shop!,5,Little Hometown
br_2pknpyw4bm,1702584000000,1702396543000,Amazing,5,Little Hometown
br_393n7hch34,1701720000000,1701311954000,These will work perfectly in my store.  Super soft!!!  Wonderful quality!!!,5,Little Hometown
br_f5j8fmzbze,1699905600000,1699567390000,LOVE THESE PRODUCTS,5,Little Hometown
br_cdskpdtcy5,1699905600000,1699558554000,Love,5,Little Hometown
br_v4pq6z2zme,1699473600000,1699234408000,Adorable!!! Will be ordering again soon!,5,Little Hometown
br_8exd8addj6,1697569200000,1697214398000,Don’t like new packaging ,3,Little Hometown
br_qx5wdukvz5,1697223600000,1697039088000,We can barely keep this in stock!,5,Little Hometown
br_5tsgcwa7dn,1695927600000,1695761318000,Chicago Baby Swaddle ,5,Little Hometown
br_ghzqr5y3g3,1695150000000,1694952038000,Great products!,5,Little Hometown
br_xpz4vbgmfh,1695150000000,1694798018000,❤️,5,Little Hometown
br_r58snfnwfa,1693335600000,1692999692000,Quality and Cuteness,5,Little Hometown
br_qtdfr3w6ts,1692990000000,1692804957000,always happy with what I order. Sells very well,5,Little Hometown
br_acuc6mgnrp,1692730800000,1692538801000,We can barely keep these in stock!,5,Little Hometown
br_5tagrm5q6g,1690311600000,1690037511000,Awesome,5,Little Hometown
br_499a5x4n7z,1689620400000,1689262719000,Love the product,5,Little Hometown
br_yakxpzy87p,1687546800000,1687363296000,Texas Town,5,Little Hometown
br_xbj9v5r3yv,1686596400000,1686237932000,Thanks for making cool kids products!,5,Little Hometown
br_qp9nz97dbc,1681930800000,1681732438000,Absolutely love this brand,5,Little Hometown
br_fnfdseejae,1681844400000,1681574957000,Great product and liked by many customers.,5,Little Hometown
br_8rgabdrrdk,1681844400000,1681574745000,Great Louisiana product,5,Little Hometown
br_jtn9eb9z2g,1680634800000,1680276597000,Excellent ,5,Little Hometown
br_egq5w3jk35,1677096000000,1676816447000,Soft,5,Little Hometown
br_xtdcgqmzqh,1674244800000,1674045702000,Beautiful products ,5,Little Hometown
br_w24rxvcmhv,1672948800000,1672706581000,Love this print!,5,Little Hometown
br_9v6uqcyka5,1672171200000,1671887485000,❤️,5,Little Hometown
br_62trwxd43w,1670616000000,1670377261000,I love them. I use them for my 4 month Grandson.  ,5,Little Hometown
