tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_dqavewj3ze,Untitled campaign 4,ONE_TIME,DRAFT,,,,,,,,,
bmc_nzawfemmst,Asking for reviews,ONE_TIME,COMPLETED,1711745073000.0,1328.0,868.0,431.0,4.0,10.0,2193.0,0.0,0.0
bmc_mjh34yp9ax,Plush blankets and onesies,ONE_TIME,COMPLETED,1713794400000.0,1493.0,1017.0,505.0,6.0,8.0,2394.0,2.0,1004.0
bmc_bdjv6bx9xx,Walmart rejection,ONE_TIME,COMPLETED,1710052871000.0,1448.0,1052.0,589.0,18.0,13.0,4030.0,1.0,331.0
bmc_2qabux66zu,Items in Cart,ONE_TIME,COMPLETED,1709153622000.0,256.0,158.0,98.0,2.0,0.0,0.0,1.0,214.5
bmc_kagn4mbnc5,Faire Winter Market 2024 Prequel,ONE_TIME,COMPLETED,1705784448000.0,1259.0,977.0,528.0,15.0,31.0,10941.0,0.0,0.0
bmc_s5f4f6m2qj,Increasing $200 order minimum,ONE_TIME,COMPLETED,1703114627000.0,1352.0,907.0,545.0,21.0,10.0,2080.5,1.0,161.0
bmc_e7xt79bsm3,Untitled campaign 3,ONE_TIME,COMPLETED,1699561372000.0,1334.0,790.0,421.0,32.0,21.0,3608.0,9.0,837.0
bmc_2kvxwj94nq,Untitled campaign 2,ONE_TIME,COMPLETED,1699297146000.0,243.0,158.0,77.0,7.0,3.0,752.0,3.0,752.0
bmc_56k3rcmdzu,No orders since June 2023,ONE_TIME,COMPLETED,1698257283000.0,349.0,289.0,127.0,7.0,4.0,824.0,0.0,0.0
bmc_ghugea6bzb,No orders and haven't contacted,ONE_TIME,COMPLETED,1694717568000.0,438.0,298.0,100.0,1.0,1.0,352.0,0.0,0.0
bmc_wyh8n6wzq4,Untitled campaign 1,ONE_TIME,COMPLETED,1694033655000.0,1138.0,1014.0,491.0,19.0,12.0,2229.0,2.0,254.0
bmc_7djb6xedn5,Untitled campaign,ONE_TIME,COMPLETED,1683317275000.0,1185.0,1020.0,470.0,35.0,18.0,3688.0,3.0,1062.0
bmc_35a376hrqg,March 1 2023 Update,ONE_TIME,COMPLETED,1677707701000.0,1124.0,977.0,534.0,66.0,19.0,4368.0,7.0,1894.0
bmc_5uufnjwwta,not on Faire,ONE_TIME,COMPLETED,1666888961000.0,53.0,49.0,13.0,0.0,0.0,0.0,0.0,0.0
bmc_f4hvpp2e4x,Q4 launch,ONE_TIME,COMPLETED,1664805600000.0,1039.0,928.0,442.0,25.0,13.0,4450.0,4.0,874.0
bmc_sxc8svr7jc,Order Flow back to normal,ONE_TIME,COMPLETED,1660681602000.0,1006.0,897.0,410.0,25.0,8.0,2352.0,1.0,209.0
bmc_mcktgqg5gn,August 2022 update,ONE_TIME,COMPLETED,1659374935000.0,1000.0,880.0,485.0,12.0,12.0,3724.0,5.0,1465.0
bmc_sp7qbhdb6m,Faire Summer Market 2,ONE_TIME,COMPLETED,1657250339000.0,972.0,843.0,489.0,13.0,19.0,4871.5,3.0,861.0
bmc_rped6u4q48,Pricing update,ONE_TIME,COMPLETED,1655514633000.0,952.0,830.0,507.0,52.0,24.0,7916.0,11.0,3802.0
bmc_2s5uvx38yv,No orders in 4+ months,ONE_TIME,COMPLETED,1652292001000.0,444.0,397.0,216.0,23.0,9.0,2040.0,2.0,587.0
bmc_yfeazn2yqt,Summer 2022,ONE_TIME,COMPLETED,1652912949000.0,930.0,804.0,425.0,50.0,18.0,4359.5,6.0,2376.5
bmc_etb5maxcdw,Faire Fashion Week,ONE_TIME,COMPLETED,1646241765000.0,844.0,718.0,420.0,31.0,19.0,5065.0,5.0,889.5
bmc_wpaxaqvacp,Price increase,ONE_TIME,COMPLETED,1638394726000.0,755.0,669.0,220.0,10.0,14.0,3891.0,3.0,979.0
bmc_yxf3y9d32d,Winter update 2021,ONE_TIME,COMPLETED,1636403717000.0,741.0,656.0,210.0,23.0,14.0,3990.5,7.0,2071.5
bmc_kh7a7sva8t,Faire Fashion Week Showtime,ONE_TIME,COMPLETED,1630349312000.0,628.0,551.0,138.0,20.0,10.0,2892.0,2.0,525.5
bmc_u6vnevgere,Faire Fashion Week Pre-Show,ONE_TIME,COMPLETED,1630118769000.0,626.0,565.0,170.0,23.0,11.0,3337.0,1.0,222.5
bmc_2ym76n6tzp,Blue Crab Clearance,ONE_TIME,COMPLETED,1628362889000.0,604.0,551.0,170.0,30.0,10.0,3038.5,0.0,0.0
bmc_d69gvx47ux,Summer 2021 Update,ONE_TIME,COMPLETED,1622149971000.0,492.0,440.0,177.0,52.0,11.0,4762.94,4.0,1372.0
bmc_dehczeulha,Back in Stock,ONE_TIME,COMPLETED,1620414028000.0,343.0,325.0,99.0,11.0,18.0,5485.24,4.0,1872.0
bmc_a918ousu6c,Website update,ONE_TIME,COMPLETED,1615070223000.0,263.0,254.0,128.0,4.0,12.0,3249.37,1.0,278.97
bmc_9cjj9iqayi,New website and products,ONE_TIME,COMPLETED,1613438218000.0,221.0,214.0,94.0,19.0,3.0,927.0,1.0,367.0
