tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_czhtuasrc2,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714755754000,False,False,r_9igp2hkm2n,20473,Belli Bambini,http://www.bellibambinis.com/,
bo_hebsktygyk,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714745554000,False,False,r_cc296460cf,37248,Lockwood Shop,http://lockwoodshop.com,Gift Store
bo_hv26xcrmru,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714740454000,False,False,r_4uer46eq,17338,the red wagon,,Kids or Toy Store
bo_aqncaqr4pe,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714688254000,False,False,r_9ft0q1wj8l,25378,Rock-A-Bye Baby OBX,http://www.rockabyebabyobx.com/,Clothing Boutique
bo_dc9ahr7rs3,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714683454000,False,False,r_dqdyyraj7i,40387,The Nutshell,http://thenutshellmilton.com/,Clothing Boutique
bo_hjafdxhfcd,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714667794000,False,False,r_ecki7omyhl,42644,Blanche & Mimi,http://www.blancheandmimi.com/,
bo_ty8fn3gswq,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714659694000,False,False,r_ai3cjjdj,17338,Frazier Museum Shop,https://breezypointresort.com/gift-shop/,
bo_vv67qqap7s,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714620094000,False,False,r_7o99n60oez,17587,Charlotte West,http://www.charlottewestbaby.com/,Kids or Toy Store
bo_tma4esthv3,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714605694000,True,True,r_iokynx585j,12100,The Mustard Seed,http://www.themustardseedinc.com/,Clothing Boutique
bo_9f35bydpas,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714605694000,True,True,r_iokynx585j,1300,The Mustard Seed,http://www.themustardseedinc.com/,Clothing Boutique
