product_token,name,category,sales_count,order_count,visit_count,date
p_21tvzti9tl,Oyster Swaddle Blanket (Unisex),Swaddling & Receiving Blankets,124,34,43,2023-01-01
p_em8h753vqv,Heads or Tails Swaddle Blanket (Unisex),Swaddling & Receiving Blankets,203,43,56,2023-01-01
p_64dwdg9tkg,Blue Crab Swaddle (Unisex),Swaddling & Receiving Blankets,208,39,49,2023-01-01
p_4zi770oo59,Magnolia Swaddle (Unisex),Swaddling & Receiving Blankets,164,39,71,2023-01-01
p_2dr8pchdqi,Southern Belle Swaddle,Swaddling & Receiving Blankets,108,34,56,2023-01-01
p_90v6slgbxo,Southern Gentleman Swaddle,Swaddling & Receiving Blankets,82,28,50,2023-01-01
p_fyvvt1ir7j,Hey Y’all Swaddle Blanket (Unisex),Swaddling & Receiving Blankets,82,28,100,2023-01-01
p_bhp4d9o66b,Bluebonnets Swaddle (unisex),Swaddling & Receiving Blankets,73,12,19,2023-01-01
p_by2grs4j3v,Texas Boy Swaddle Blanket,Swaddling & Receiving Blankets,32,5,7,2023-01-01
p_1tth3km3ij,Louisiana Boy Swaddle Set (single),Swaddling & Receiving Blankets,0,0,0,2023-01-01
p_byzjjkx9gz,Louisiana Girls Swaddle Set (single set),Swaddling & Receiving Blankets,0,0,0,2023-01-01
p_c66b6jf9ve,Oyster Burp and Bib (unisex),Burp Cloth,92,24,13,2023-01-01
p_9opvcj5do7,Heads or Tails Burp and Bib (Unisex),Burp Cloth,156,31,23,2023-01-01
p_bpfo80rsxa,Blue Crab Burp and Bib (Unisex),Burp Cloth,95,26,18,2023-01-01
p_m19yb3kkrj,Magnolia Burp and Bib (Unisex),Burp Cloth,74,24,30,2023-01-01
p_9fqyy66bvk,Southern Gent Burp and Bib Combo,Burp Cloth,59,17,20,2023-01-01
p_8udz56rzoy,Fleur De Lis Burp and Bib (Unisex),Burp Cloth,25,9,10,2023-01-01
p_e64rkt383w,Texas Girl 2-in-1 Burp Cloth and Bib,Burp Cloth,39,7,7,2023-01-01
p_s8jzrw50hs,Texas Boy 2-in-1 Burp Cloth and Bib,Burp Cloth,29,6,3,2023-01-01
p_b9lfwjassg,Bluebonnets Burp and Bib (Unisex),Burp Cloth,31,7,10,2023-01-01
p_25p9nblli6,Crawfish Tail Shorty Pajamas,Sleepwear Sets,5,2,20,2023-01-01
p_85rrv2oarx,Blue Crab Pajamas,Sleepwear Sets,79,13,32,2023-01-01
