collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Spring Easter Scents | Custom Scents and Labeling ,1664468414000.0,1709666241000.0,2.0,0.0,0.0,0.0,Atelier 880
Client Gifts | Custom Labeled Soy Candles | Add Your Logo,1664467848000.0,1707902522000.0,3.0,0.0,0.0,0.0,Atelier 880
Custom Private Label Soy Candles | Corporate Gifts,1664469439000.0,1701652809000.0,1.0,0.0,0.0,0.0,Atelier 880
Let's Dish ,1709652262000.0,1709652262000.0,6.0,1.0,1500.0,1709614800000.0,Murchison-Hume
Last Chance ,1708707293000.0,1709652262000.0,10.0,0.0,0.0,0.0,Murchison-Hume
Cursive Logo Label  ,1707400738000.0,1709652262000.0,12.0,0.0,0.0,0.0,Murchison-Hume
Sink Side Sanctuary ,1705848186000.0,1709652262000.0,13.0,0.0,0.0,0.0,Murchison-Hume
Opening Order,1705377566000.0,1709652262000.0,7.0,0.0,0.0,0.0,Murchison-Hume
Everything Australian White Grapefruit ,1699383138000.0,1709652262000.0,9.0,0.0,0.0,0.0,Murchison-Hume
Surface Cleaners ,1698335953000.0,1709652262000.0,18.0,0.0,0.0,0.0,Murchison-Hume
Cleaning & Organizing,1664471429000.0,1709652262000.0,3.0,0.0,0.0,0.0,Murchison-Hume
Laundry Revolution ,1697816972000.0,1709652262000.0,9.0,0.0,0.0,0.0,Murchison-Hume
Best Sellers ,1697812081000.0,1709652262000.0,12.0,0.0,0.0,0.0,Murchison-Hume
Gift Ideas ,1697208252000.0,1709652262000.0,13.0,0.0,0.0,0.0,Murchison-Hume
Hand Care ,1664471429000.0,1709652262000.0,8.0,0.0,0.0,0.0,Murchison-Hume
Heales Apothecary Australian Botanical Self Care ,1664471429000.0,1709652262000.0,14.0,0.0,0.0,0.0,Murchison-Hume
Best Selling Fragrance Collection,1672688821000.0,1672688821000.0,4.0,0.0,0.0,0.0,Simplified Soap
Facial Collection,1666303168000.0,1666303168000.0,6.0,0.0,0.0,0.0,Simplified Soap
Top Selling Products,1664473309000.0,1666303063000.0,5.0,0.0,0.0,0.0,Simplified Soap
Top Selling Gift Sets,1666187127000.0,1666302911000.0,1.0,0.0,0.0,0.0,Simplified Soap
Lothantique Authentique Collection,1700578332000.0,1703185671000.0,60.0,0.0,0.0,0.0,Lothantique
Belle de Provence Olive Oil Collection,1700585990000.0,1700683112000.0,20.0,0.0,0.0,0.0,Lothantique
Laboratorio Olfattivo,1700577507000.0,1700758666000.0,82.0,0.0,0.0,0.0,Lothantique
Marble Accessories ,1700590563000.0,1700668521000.0,27.0,0.0,0.0,0.0,Lothantique
Christian Tortu ,1700583441000.0,1702416779000.0,30.0,0.0,0.0,0.0,Lothantique
Belle de Provence Delicious Collection ,1700589376000.0,1700686090000.0,3.0,0.0,0.0,0.0,Lothantique
Phaedon Paris,1700578132000.0,1702413662000.0,46.0,0.0,0.0,0.0,Lothantique
Miller et Bertaux,1700577964000.0,1702411040000.0,16.0,0.0,0.0,0.0,Lothantique
Lothantique Le Bouquet de Lili ,1700588940000.0,1700686167000.0,10.0,0.0,0.0,0.0,Lothantique
Lothantique Chemin de Rose,1700589492000.0,1700686196000.0,10.0,0.0,0.0,0.0,Lothantique
Lothantique Les Lavandes de Nestor,1700589569000.0,1700686229000.0,10.0,0.0,0.0,0.0,Lothantique
Muriel Ughetto,1700585010000.0,1700668542000.0,43.0,0.0,0.0,0.0,Lothantique
Amélie et Mélanie Que de l'Amour ,1700595219000.0,1702413678000.0,7.0,0.0,0.0,0.0,Lothantique
Amélie et Mélanie Linge Blanc,1700591301000.0,1700686337000.0,7.0,0.0,0.0,0.0,Lothantique
Bath Accessories,1700591034000.0,1700668467000.0,22.0,0.0,0.0,0.0,Lothantique
Lothantique Le Comptoir & Les Savons de Marseille,1700590125000.0,1700595368000.0,4.0,0.0,0.0,0.0,Lothantique
Maître Savonitto,1700584518000.0,1703175042000.0,15.0,0.0,0.0,0.0,Lothantique
Tadé,1700585667000.0,1700594397000.0,31.0,0.0,0.0,0.0,Lothantique
Lothantique Le Jardin d'Elisa,1700589697000.0,1700686432000.0,9.0,0.0,0.0,0.0,Lothantique
Lothantique Les Secrets d'Antoine,1700589787000.0,1700686468000.0,8.0,0.0,0.0,0.0,Lothantique
