Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,brand
Bar Soap,Rosemary Mint Soap Bar,False,p_ta2ew3ce2r,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Shampoo Bar - Lemongrass Lavender,False,p_ahlegchwq5,FOR_SALE,10.0,5.0,0.0,Good Earth Soap
Bar Soap,Sweet Basil Vanilla Soap Bar,False,p_8g4v7emcb9,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Cedar & Citrus Soap Bar,False,p_6csb3av1l1,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Frankincense & Myrrh Soap Bar,False,p_87zqf01u3m,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Lavender Soap Bar,False,p_1mr9zu1xnt,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Lavender Patchouli Soap Bar,False,p_d0pv7or5dy,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Lemongrass Lavender Soap Bar,False,p_841vpdfhsu,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Lemon Verbena Patchouli Soap Bar,False,p_bqa0ao5ukk,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Orange Fennel Soap Bar,False,p_8kxfbo347k,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Patchouli Soap Bar,False,p_2d2910v8tf,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Sandalwood Soap Bar,False,p_9ez0katsqq,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Spicy Chai Soap Bar,False,p_76117mvz2n,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Bar Soap,Tea Tree Oatmeal Soap Bar,False,p_57emdkcrzb,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Hand & Body Lotions,Shea Butter Tubs,False,p_5t7d396vnh,FOR_SALE,12.0,6.0,0.0,Good Earth Soap
Hand & Body Lotions,Hand and Body Lotion,False,p_1hw7yudvxm,FOR_SALE,9.0,4.5,0.0,Good Earth Soap
Insect Repellent,Mosquito Repellant,False,p_eacpvjs09b,FOR_SALE,7.0,3.5,0.0,Good Earth Soap
Insect Repellent,Gnat Repellent,False,p_cc6frg67t4,FOR_SALE,9.0,4.5,0.0,Good Earth Soap
Lip Balm,Zero Waste Eco-Friendly Lip Balm,False,p_aj3y7nmk8q,FOR_SALE,9.0,4.5,0.0,Good Earth Soap
Lip Balm,Lip Balm,False,p_cl9lcve4hy,FOR_SALE,5.0,2.5,0.0,Good Earth Soap
Body Scrubs & Exfoliants,Sugar Scrub,False,p_6m8ce3pbwr,FOR_SALE,14.0,7.0,0.0,Good Earth Soap
Deodorant,Ecofresh Deodorant,False,p_28bytrnuzt,FOR_SALE,12.0,6.0,0.0,Good Earth Soap
"Fragrance, Aromatherapy & Essential Oils",Essential Oil,False,p_62zxr9ehnv,FOR_SALE,14.0,7.0,0.0,Good Earth Soap
Hand Soap,Happy Hands Liquid Soap,False,p_d6jnrtcnbn,FOR_SALE,12.0,6.0,0.0,Good Earth Soap
Healing Salve & Balm & Cream,Heal ~ All Balm,False,p_d8p6wsqypt,FOR_SALE,9.0,4.5,0.0,Good Earth Soap
Pet Shampoo & Conditioner,Doggie Poo Shampoo Soap Bar,False,p_75jb8sdsx3,FOR_SALE,10.0,5.0,0.0,Good Earth Soap
Retailer Display,Lip Balm Display,False,p_5f2xqqziuz,FOR_SALE,320.0,160.0,0.0,Good Earth Soap
Solid Lotion,Lotion Bar - Zero Waste,False,p_wykq8ndspc,FOR_SALE,10.0,5.0,0.0,Good Earth Soap
Solid Shampoo,Shampoo Bar - Tea Tree Mint,False,p_5mdgrgzod5,FOR_SALE,10.0,5.0,0.0,Good Earth Soap
Jar & Filled Candles,Private Label White Ceramic 12 oz Candles / Gift Box,True,p_rcez4tshhb,FOR_SALE,56.0,26.0,0.0,Atelier 880
Jar & Filled Candles,Private Label Black Ceramic 12 oz Candles / Gift Box,True,p_najqspvd2h,FOR_SALE,56.0,26.0,0.0,Atelier 880
Jar & Filled Candles,Private Label Candles White Glass | Black or White Cube Box,False,p_v589tgnaj7,FOR_SALE,38.0,19.0,0.0,Atelier 880
Jar & Filled Candles,Custom Candles Matte Black Glass | Black or White Cube Box,False,p_96rypvsagj,FOR_SALE,38.0,19.0,0.0,Atelier 880
Jar & Filled Candles,Private Label Candles Clear Glass | Black or White Cube Box,False,p_9bvg8zt2s3,FOR_SALE,38.0,19.0,0.0,Atelier 880
Jar & Filled Candles,Matte Black Private Label Custom Candles | Gift Box,False,p_znejqmcvmq,FOR_SALE,45.0,21.0,0.0,Atelier 880
Jar & Filled Candles,Minimalist Scented Candles - Clear Glass / Lid,False,p_8kl8pksal5,FOR_SALE,38.0,19.0,0.0,Atelier 880
Jar & Filled Candles,Customizable Matte Black Candles | Wood Lid | Private Label,False,p_jsyaufuvjd,FOR_SALE,38.0,19.0,0.0,Atelier 880
Jar & Filled Candles,Luxury Scented Candles - Metallic Gold,False,p_edp8wxusn5,FOR_SALE,45.0,21.0,0.0,Atelier 880
Jar & Filled Candles,Minimalist Rose Gold Scented Candles,False,p_6xlxw069rc,FOR_SALE,45.0,21.0,0.0,Atelier 880
