tokens,publish_at_values,created_at_values,titles,ratings,brand
br_ycdzqsdk84,1708632000000,1708449240000,Wonderful Products!,5,Good Earth Soap
br_4x4786pbjx,1708027200000,1707786775000,Outstanding,5,Good Earth Soap
br_57jj29cefd,1707854400000,1707610593000,Beautiful bars,5,Good Earth Soap
br_vehydvbfu2,1707422400000,1707256967000,My favorite soap company,5,Good Earth Soap
br_79huxfh5bc,1707422400000,1707243754000,One of my favorite shops to buy from,5,Good Earth Soap
br_qszbdacjv7,1706212800000,1706031900000,I'm always very happy with my orders from Good Earth. Products are of a good quality and everything smells so good. All orders are shipped in a timely manner and there are never any issues with the inventory.,5,Good Earth Soap
br_bb4r3rqgvz,1706212800000,1706031605000,Fantastic Products--Customer Favorite,5,Good Earth Soap
br_5m4nt43k22,1706040000000,1705796067000,Great products.,5,Good Earth Soap
br_d7asaxymxj,1705521600000,1705338508000,Customer Favorite,5,Good Earth Soap
br_cqrbxx898e,1705521600000,1705327159000,One of our FAVORITE brands! Always arrives in perfect condition. ,5,Good Earth Soap
br_dby5qxsndq,1705089600000,1704850859000,My customers love this product!!,5,Good Earth Soap
br_4hctauawf3,1705003200000,1704844413000,Get all the scents,5,Good Earth Soap
br_d87tf348ek,1704830400000,1704543390000,Lovely luxurious products ,5,Good Earth Soap
br_mmcp2ppq6w,1704312000000,1703893195000,GREAT!,5,Good Earth Soap
br_fyuy64k4y2,1703793600000,1703623888000,Great lip balm - always sells really well!,5,Good Earth Soap
br_fuxhnqbwes,1702411200000,1702140648000,Great product I have been carrying for years!,5,Good Earth Soap
br_kb28bwv33e,1701892800000,1701707015000,Very high quality!,5,Good Earth Soap
br_p5e8jvxgah,1701288000000,1701109898000,Always Good,5,Good Earth Soap
br_jtsy5xvxs3,1701201600000,1700961458000,Awesome ,5,Good Earth Soap
br_n8t37npnqk,1700251200000,1700073026000,Great smelling products.,5,Good Earth Soap
br_d46cw7xast,1700164800000,1699997910000,Beautiful Eco-friendly Products,5,Good Earth Soap
br_63n6a5sdjy,1700164800000,1699986676000,Great product ,5,Good Earth Soap
br_pu3a5a3r4e,1699992000000,1699712448000,purchased again...please keep in stock,5,Good Earth Soap
br_huhby8aam3,1699905600000,1699535780000,The lotions are high quality and the scents are divine! ,5,Good Earth Soap
br_4qm2ek8b2v,1699646400000,1699472776000,Delightful product,5,Good Earth Soap
br_m3mhav3m26,1698778800000,1698466746000,thumbs up,5,Good Earth Soap
br_cykwjb4z38,1698433200000,1698254569000,Our clients love the Good Earth products.,5,Good Earth Soap
br_ww2gpcszkv,1697742000000,1697511195000,Love the candle varieties!,5,Good Earth Soap
br_zuwy52j6wj,1695754800000,1695428136000,Always wonderful!,5,Good Earth Soap
br_h45hxz2kmz,1695754800000,1695387502000,Terrific!,5,Good Earth Soap
br_8afjuc7qdy,1695063600000,1694733293000,Awesome product from awesome people!,5,Good Earth Soap
br_hugzmxgba6,1694631600000,1694460215000,top notch products and fast shipping. ,5,Good Earth Soap
br_dqqe294e3b,1693940400000,1693486526000,I love the candles!,5,Good Earth Soap
br_3us9qmay94,1692990000000,1692810628000,Absolutely love the lotion! Candle smells great too. Good Earth is a staple in my shop!,5,Good Earth Soap
br_5zppjnc5te,1692385200000,1692229809000,Great!,5,Good Earth Soap
br_pubhyftuy7,1692126000000,1691872021000,Love this Line@,5,Good Earth Soap
br_t82rmgspgs,1691607600000,1691373109000,GREAT product line & even better Customer Service,5,Good Earth Soap
br_s6jvzt4n7v,1691434800000,1691088640000,High quality US made ,5,Good Earth Soap
br_gyjpmpynu2,1691089200000,1690929961000,The Best,5,Good Earth Soap
br_53j7u7455s,1691002800000,1690816530000,great products,5,Good Earth Soap
br_3wettax9ar,1690398000000,1690204044000,Delightful,5,Good Earth Soap
br_e7g54fp5r6,1690311600000,1689939420000,The gnat cream is great for no see um's in Florida! Also smells really great!,5,Good Earth Soap
br_ecxvqmwf8k,1689361200000,1689179785000,Love it all! One of my favorite brands to buy from. ,5,Good Earth Soap
br_e6dey7k6ge,1689015600000,1688673805000,NEVEr disappoints,5,Good Earth Soap
br_9vjzcm24z8,1688670000000,1688403168000,love the products!,5,Good Earth Soap
br_5yer3bfcxm,1688583600000,1688244827000,New Top-seller,5,Good Earth Soap
br_b2jkmbtyhu,1687892400000,1687535819000,Customers return for more...,5,Good Earth Soap
br_ubm6zmd7mm,1687546800000,1687311577000,Love these soaps and shampoo bars!!,5,Good Earth Soap
br_xsf5dxsxuf,1687287600000,1687040622000,Beautiful products! ,5,Good Earth Soap
br_xz4bh79mdf,1686942000000,1686785169000,Good Stuff!,5,Good Earth Soap
br_kg895pmbkt,1685732400000,1685555214000,Great,5,Good Earth Soap
br_695pf2e99b,1685646000000,1685408854000,Love what I have tried so far!,5,Good Earth Soap
br_f8x7gk8c9a,1685473200000,1685057101000,The soaps smell amazing!,5,Good Earth Soap
br_6q2azp37js,1685473200000,1685031785000,The only lip balm we stock!,5,Good Earth Soap
br_82j899keq9,1684868400000,1684500944000,Smells amazing!! Shipping was quick and I’m excited to have these products in the store. Thank you!!,5,Good Earth Soap
br_jqdk5fkhbt,1684263600000,1683920152000,Excellent Every time!,5,Good Earth Soap
br_hdpdqvshtz,1683918000000,1683729373000,Wonderful!!!,5,Good Earth Soap
br_wr6az6cq3x,1683745200000,1683516306000,fast and good price,5,Good Earth Soap
br_pcwpfnxkjr,1683658800000,1683399417000,Great proucts and now even easier ordering on Faire.,5,Good Earth Soap
br_dye9puadtm,1683140400000,1682959377000,Best company ever!,5,Good Earth Soap
br_qfpqu6k65v,1682967600000,1682608933000,Wholesome company with quality products,5,Good Earth Soap
br_xddfmaskt4,1682622000000,1682442912000,Awesome!,5,Good Earth Soap
br_2kwjp3bds4,1682017200000,1681798615000,Excellent customer care !,5,Good Earth Soap
br_77xwust8pc,1682017200000,1681779004000,Our clients and team LOVE this line!  Placing another reorder soon!,5,Good Earth Soap
br_6tafqpajdb,1681412400000,1681227956000,Fast shipment! ,5,Good Earth Soap
br_xgy86uhuth,1679684400000,1679451563000,Absolutely love everything I ordered! ❤️,5,Good Earth Soap
br_3n8bhmwkpx,1678906800000,1678668129000,Love these products,5,Good Earth Soap
br_8kp79tcjfx,1678132800000,1677721313000,Love these solid lotions in tube and tin. ,5,Good Earth Soap
