token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_e47m647ef7,o_994h67xp4p,p_xsj3fv45na,bo_sawb5gsw9x,Christian Tortu Tomato Leaf Fragrance Diffuser 250ml,default,11800,5900,5900,6,35400,35400,0,#SAWB5GSW9X,
oi_sdbvpgde7a,o_994h67xp4p,p_b29e9hm4zy,bo_sawb5gsw9x,Christian Tortu Tomato Leaf Scented Candle 190g,default,7800,3900,3900,6,23400,23400,0,#SAWB5GSW9X,
oi_yq8wu74baz,o_zns5pa8pdr,p_2j47kbelyt,bo_22j7zyhhk7,Belle de Provence Marble Soap Dish,default,1890,945,945,5,4725,4725,0,#22J7ZYHHK7,
oi_5x9vejyt25,o_zns5pa8pdr,p_ym4ouc6lc0,bo_22j7zyhhk7,Les Savons De Marseille Soap 100g,Mint Lemon,650,325,325,36,11700,11700,0,#22J7ZYHHK7,
oi_cvuw3as8uh,o_zvqsy2dcmk,p_1p1u3dc4fg,bo_x9c97sthsy,Belle de Provence Large Tree Brush,default,3600,1800,1800,24,43200,43200,0,#X9C97STHSY,
oi_9d2dsp4jnn,o_txyy97sq5z,p_dme5phpken,bo_8dcnw5e2ug,Christian Tortu Forests Scented Candle 190g,default,7800,3900,3900,6,23400,23400,0,#8DCNW5E2UG,
oi_h5xyth3vud,o_txyy97sq5z,p_8rvcgpc7jw,bo_8dcnw5e2ug,Christian Tortu Fresh Green Scented Candle 190g,default,7800,3900,3900,6,23400,23400,0,#8DCNW5E2UG,
oi_us7d758ndf,o_txyy97sq5z,p_3ateevvhg7,bo_8dcnw5e2ug,Christian Tortu Tuberose Scented Candle 190g,default,7800,3900,3900,6,23400,23400,0,#8DCNW5E2UG,
oi_hvm9re6bcw,o_txyy97sq5z,p_9s1f0sp39f,bo_8dcnw5e2ug,Christian Tortu Citrus Garden Scented Candle 190g,default,7800,3900,3900,6,23400,23400,0,#8DCNW5E2UG,
oi_65w3rhxkbq,o_wskmwt43bd,p_9zs1zp21ir,bo_z3b5srvb7m,Belle de Provence Medium Marble Tray,default,4400,2200,2200,40,88000,88000,0,#Z3B5SRVB7M,
oi_ne8kt7vvmg,o_fzv5ra9g59,p_fjqjmskwuy,bo_u7hue98ebe,LOD2AGRT,default,3700,1850,1850,1,1850,1850,0,#U7HUE98EBE,
oi_xc6bymnxj9,o_fzv5ra9g59,p_8tkqqk5unt,bo_u7hue98ebe,LOD2ZENT,default,3700,1850,1850,1,1850,1850,0,#U7HUE98EBE,
oi_dxhgkvgx3u,o_fzv5ra9g59,p_a7b5qtyddu,bo_u7hue98ebe,LOD2BIAT,default,3700,1850,1850,1,1850,1850,0,#U7HUE98EBE,
oi_x8autuhdzx,o_tqueztauq8,p_6lxv1ew1un,bo_mppm8npnn7,Belle De Provence Liquid Soap,Olive & Lavender / 500ML,2600,1300,1300,6,7800,7800,0,#MPPM8NPNN7,
oi_mjzbhz6b4b,o_tqueztauq8,p_750ye21he4,bo_mppm8npnn7,Christian Tortu Forests Liquid Soap 500ml,default,3700,1850,1850,6,11100,11100,0,#MPPM8NPNN7,
oi_dbn58fh33d,o_tqueztauq8,p_6lxv1ew1un,bo_mppm8npnn7,Belle De Provence Liquid Soap,Olive & Mint / 500ML,2600,1300,1300,6,7800,7800,0,#MPPM8NPNN7,
oi_e7gf455pv2,o_tqueztauq8,p_6lxv1ew1un,bo_mppm8npnn7,Belle De Provence Liquid Soap,Olive & Rosemary / 500ML,2600,1300,1300,6,7800,7800,0,#MPPM8NPNN7,
oi_zm4c88p3e2,o_a5dzeqchqf,p_49wduznep4,bo_9a4kmdqxxw,Chemin De Roses Soap 100g,default,890,445,445,36,16020,16020,0,#9A4KMDQXXW,
oi_m36ngv9vj3,o_a5dzeqchqf,p_6r21ntul8a,bo_9a4kmdqxxw,Chemin de Roses Hand Cream 30ml,default,1490,745,745,36,26820,26820,0,#9A4KMDQXXW,
oi_648fyszbg8,o_zscgzv3mhy,p_3jv5hnjcu5,bo_d57rqbuurn,Lothantique Linen Scented Candle 190g,default,3800,1900,1900,12,22800,22800,0,#D57RQBUURN,
oi_u4xjkkx498,o_zscgzv3mhy,p_4w3a2hfu8w,bo_d57rqbuurn,Lothantique Milk Scented Candle 190g,default,3800,1900,1900,6,11400,11400,0,#D57RQBUURN,
oi_v6f9e5uqky,o_f652q2vhq3,p_ft274w8png,bo_ftrngc4n3z,Lothantique Lavender Hand And Body Lotion 500ml,default,4800,2400,2400,6,14400,14400,0,#FTRNGC4N3Z,
oi_najcc664y3,o_f652q2vhq3,p_90i05y7jwr,bo_ftrngc4n3z,Lothantique Foam Bath 500ml,Lavender,3200,1600,1600,6,9600,9600,0,#FTRNGC4N3Z,
oi_kyzrp3enzr,o_f652q2vhq3,p_nqedhy475q,bo_ftrngc4n3z,Lothantique Sandalwood Room Spray 100mL,default,3200,1600,1600,6,9600,9600,0,#FTRNGC4N3Z,
oi_pmcj96272a,o_yybpn8z9yq,p_4ffzhj8g0q,bo_qq5dfwuuts,Belle De Provence Soap 100g,Milk,850,425,425,12,5100,5100,0,#QQ5DFWUUTS,
oi_zadwp27bd5,o_yybpn8z9yq,p_vmhx6czefw,bo_qq5dfwuuts,Maître Savonitto Organic Donkey Milk Soap 100g,default,1390,695,695,8,5560,5560,0,#QQ5DFWUUTS,
oi_trnhvaduv3,o_yybpn8z9yq,p_aupsrl7p5t,bo_qq5dfwuuts,Belle De Provence Soap 200g,Olive & Lavender,1090,545,545,12,6540,6540,0,#QQ5DFWUUTS,
oi_9ubxvuzd9u,o_yybpn8z9yq,p_18nbswr9m8,bo_qq5dfwuuts,Belle de Provence Small Marble Tray,default,2800,1400,1400,3,4200,4200,0,#QQ5DFWUUTS,
