tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_zaspnnqs5q,Gifts for Her: Belle de Provence | 4.11.24,ONE_TIME,COMPLETED,1712890687000,2338,1076,450,4,0,0.0,0,0.0
bmc_bjzqgteyzp,Untitled campaign 1,ONE_TIME,COMPLETED,1712284248000,2196,1051,518,1,3,3240.8,0,0.0
bmc_6d84k7s5hx,Home Fragrance Best-Sellers | 3.29.24,ONE_TIME,COMPLETED,1711720800000,2092,859,408,0,2,1047.4,0,0.0
bmc_m7ewc6vmzd,Chemin de Roses Collection,ONE_TIME,COMPLETED,1711112400000,2032,890,464,2,5,2333.73,0,0.0
bmc_zyk8mq4yfs,Miller et Bertaux Top Sellers,ONE_TIME,COMPLETED,1710507600000,2028,922,472,4,9,4007.88,0,0.0
bmc_wgmwyu5rk3,New Laboratorio Olfattivo Scents,ONE_TIME,COMPLETED,1709215200000,2025,847,409,1,4,1832.8,0,0.0
bmc_up26nreby8,New Laboratorio Olfattivo Candles ,ONE_TIME,COMPLETED,1708092000000,2020,860,425,6,10,4826.5,0,0.0
bmc_wsj7edata7,Reminder Faire Winter Market 2024 ,ONE_TIME,COMPLETED,1705672800000,2007,769,419,5,14,14091.8,2,2950.7
bmc_sg8fvv8a29,Faire Winter Market 2024,ONE_TIME,COMPLETED,1705068000000,2006,875,453,5,4,2192.4,1,339.5
bmc_z5m99fpvtn,Untitled campaign,ONE_TIME,COMPLETED,1704463200000,2003,894,446,7,5,4292.85,0,0.0
bmc_9psxk8ejja,Sandalwood Collection,ONE_TIME,COMPLETED,1703685600000,1999,958,510,4,6,9307.7,0,0.0
bmc_s892eknyma,Christian Tortu Tomato Leaf,ONE_TIME,COMPLETED,1702562400000,1996,903,424,3,6,3275.7,0,0.0
bmc_qsc8mnhjn6,Free Shipping Promotion! (Copy 1),ONE_TIME,COMPLETED,1701986413000,1993,674,357,8,13,9197.35,5,5071.1
bmc_kjdfxftu68,Lotions  & Creams,ONE_TIME,COMPLETED,1701439200000,1994,866,415,4,7,4125.5,0,0.0
bmc_k4mkrs8x2q,Belle de Provence Olive Oil Collection,ONE_TIME,COMPLETED,1700834400000,593,392,230,1,11,6499.8,0,0.0
bmc_shmv7353aq,Winter Fragrances,ONE_TIME,COMPLETED,1700229600000,1990,900,466,4,3,2709.6,0,0.0
bmc_gvk5k9qkhw,Stock Up,ONE_TIME,COMPLETED,1699624800000,1990,830,446,6,9,5717.5,0,0.0
bmc_j8kdev7etr,Back in Stock,ONE_TIME,COMPLETED,1698843600000,1987,1523,455,10,6,3589.6,0,0.0
bmc_b88s3ws59e,Liquid Soaps,ONE_TIME,COMPLETED,1698411600000,1985,1495,444,6,6,4008.6,0,0.0
bmc_5vxz74s2jm,New Maitre Savonitto,ONE_TIME,COMPLETED,1697806800000,1979,1536,501,10,11,10322.7,1,681.0
bmc_p4dzw7q3ka,Lothantique Best Sellers,ONE_TIME,COMPLETED,1697202000000,1977,1533,470,3,14,10600.1,0,0.0
bmc_zvdewdbbqh,Personal Fragrances,ONE_TIME,COMPLETED,1696597200000,1975,1509,445,4,9,6122.3,0,0.0
bmc_rrmbw2ebsw,Marble Accessories,ONE_TIME,COMPLETED,1695992400000,1972,1480,441,4,4,2191.78,0,0.0
bmc_brgkzjtj4r,Candles,ONE_TIME,COMPLETED,1695387600000,1972,1521,463,5,6,3106.88,0,0.0
bmc_m6c27y8gab,Tade Liquid Soaps,ONE_TIME,COMPLETED,1694782800000,1969,1513,472,7,8,5414.17,1,942.09
bmc_wpy2vp6j7h,Tade Aloe,ONE_TIME,COMPLETED,1694178000000,1964,1538,483,4,7,3611.8,0,0.0
bmc_v8rg8fy4vt,Sandalwood,ONE_TIME,COMPLETED,1693573200000,1962,1496,486,4,4,2821.8,0,0.0
bmc_9pwtgnq9e6,Laboratorio Olfattivo spotlight,ONE_TIME,COMPLETED,1692968400000,1962,1512,471,9,9,5853.1,0,0.0
bmc_9tt279gpjs,Authentic Spotlight,ONE_TIME,COMPLETED,1690549200000,1948,1539,486,4,5,4155.18,1,1910.5
bmc_92c7kr2d9f,Summer Market Announcement,ONE_TIME,COMPLETED,1689253200000,1940,1460,442,15,12,8949.66,1,684.0
bmc_2xwmraxnj5,Rose,ONE_TIME,COMPLETED,1688130000000,1937,1440,415,3,1,1175.68,0,0.0
bmc_8kc8efc4bn,Fig,ONE_TIME,COMPLETED,1687525200000,1937,1536,481,6,9,4585.6,2,1803.7
bmc_3pq7ef4ecz,Sunshine,ONE_TIME,COMPLETED,1686920400000,1936,1511,449,2,5,3920.0,0,0.0
bmc_wwksum3e3x,Marine,ONE_TIME,COMPLETED,1686315600000,1932,1386,401,6,4,2440.8,0,0.0
bmc_zscpcypkv4,Reminder - Inventory closure/Free shipping May 2023,ONE_TIME,COMPLETED,1684760400000,1920,1485,510,8,6,4159.0,3,1890.9
bmc_ungdzmkr8s,Home Fragrances by Phaedon Paris,ONE_TIME,COMPLETED,1683291600000,1910,1513,467,6,7,4981.4,0,0.0
bmc_je3f3mzj5v,Verbena,ONE_TIME,COMPLETED,1682686800000,1908,1516,479,6,4,1555.9,0,0.0
bmc_bwtpqw58a3,Inventory closure/Free shipping May 2023,ONE_TIME,COMPLETED,1683896400000,1914,1534,517,13,11,10939.6,1,1311.0
bmc_ewcc9gyu8m,Orange Blossom,ONE_TIME,COMPLETED,1682082000000,1904,1446,448,8,5,3193.8,1,424.5
bmc_3n7hfmtxxp,BDP Olive Lavender,ONE_TIME,COMPLETED,1681477200000,1831,1486,481,5,2,638.1,0,0.0
