tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_j7ea3qeenn,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709588516000,False,False,r_av10n10n,86639
bo_6ps7tzpdar,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709525576000,False,False,r_ndvc6g9umn,30190
bo_5xrj389xrv,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709316207000,False,False,r_6ksdkr1i,37082
bo_jdyasvvp9v,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709244552000,True,True,r_7zkx895v2u,86639
bo_7fwztrr5bw,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709157898000,False,False,r_3b44snk7hv,29777
bo_p2kht28hh7,REPLACE_DAMAGED_OR_MISSING_ITEMS,PROCESSING,UNFULFILLED,MARKETPLACE,1709152372000,False,False,r_ndvc6g9umn,1744
bo_pf8sfrvpna,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709147328000,True,True,r_cd2q7hcq7s,95306
bo_bmr585qnce,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709145828000,False,False,r_vteueted5v,26100
bo_s69bygtxtn,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1709136528000,False,False,r_2foyne27,55756
bo_e86hkqskr9,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709131728000,False,False,r_ms764wd3z4,41662
bo_ejn3kypg88,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709068222000,False,False,r_3qekgvo7nz,65175
bo_uux2yz4dht,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709055900000,True,True,r_1v4uv441cw,28858
bo_xbh67cpshw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708974480000,False,False,r_ecki7omyhl,38440
bo_mx55ugemu4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708972980000,False,False,r_ecki7omyhl,50145
bo_e6u3wymntz,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1708908180000,True,True,r_y7pktguncg,34165
bo_8t3z9f5kux,BACKORDER,CANCELED,CANCELED,ELEVATE,1708908180000,True,True,r_y7pktguncg,0
bo_56kfv9cj45,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708904580000,False,False,r_7v02yp2l,28043
bo_fhequ6nyeg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708900080000,False,False,r_aj9t1a3ahf,116153
bo_c4q657cjvp,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1708894980000,True,True,r_dkkl2u4icj,54551
bo_zu4p9hbb86,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708878780000,False,False,r_ggnktn4r,24059
bo_9ey6v9y548,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708732980000,False,False,r_dja0zosr,101240
bo_xrqwye3vtb,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708730580000,False,False,r_6xozcfxv6r,36660
bo_5numr57xhm,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708723080000,False,False,r_b54tcdvg4w,29988
bo_27htpnyshw,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708640555000,False,False,r_2zo3xxrc,32212
bo_ma79gv4h7z,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708625855000,False,False,r_ar3vaq2xm8,93732
bo_zhjd3u796w,BACKORDER,BACKORDERED,UNFULFILLED,MARKETPLACE,1708625855000,False,False,r_ar3vaq2xm8,184497
bo_5evjr6hfkh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708560166000,False,False,r_8tut387rcl,29404
bo_t6a6ehp94d,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708503159000,False,False,r_4rpsoa97,193414
bo_h95u3angjy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708468359000,False,False,r_6tft7gzxbk,36138
bo_hqgg7hz3zy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708389206000,False,False,r_cdxdnr1v,72240
bo_v7grhfm4mr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708387706000,False,False,r_ndvc6g9umn,28177
bo_p8qaaed7ea,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708364606000,False,False,r_zbnxsddsgr,230130
bo_cgxfrbhe7a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708343906000,True,True,r_zantygh29s,92098
bo_ktyduhaz8q,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708051369000,False,False,r_98syuk6s8b,64177
bo_ht6ndajdwj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708014603000,False,False,r_asfhje2eu8,53729
bo_mgqx69wdjj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707945472000,False,False,r_esdmnf4x,314544
bo_vg9xu2enk5,BACKORDER,PROCESSING,UNFULFILLED,ELEVATE,1707945472000,False,False,r_esdmnf4x,17245
bo_mm7ztbuxvt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707926277000,False,False,r_4aq52a93,73802
bo_xyezp8tj6c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707881877000,True,True,r_hkt4anp2tq,33862
bo_kpyes6t8an,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707862377000,False,False,r_s6dbbbz9xz,50002
bo_eh8m4gpaey,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707792778000,True,True,r_8m2hf5syew,37753
bo_96utgqp5uq,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1707792778000,True,True,r_8m2hf5syew,0
bo_wu834azkgn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707755578000,True,True,r_9fb3w9zj8k,31045
bo_ejzptbz34b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707665657000,True,True,r_2tdrszsi98,27747
bo_xbvx9bx96u,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1707516257000,True,True,r_a9eb4c97,0
bo_pub3jmsg4y,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707436083000,False,False,r_jh6d9nhsjl,43722
bo_arkm9bzpyy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707342757000,True,True,r_t4evym4phk,28858
bo_qrs6cgjhsc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707255503000,False,False,r_719wlonq,56617
bo_7p7vjujgcq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707168461000,True,True,r_asfhje2eu8,84088
bo_w7hw6rtnae,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1707068749000,False,False,r_es1krd7i5g,7583
