tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_tysxd82y4v,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1715732306000,False,False,r_7ml3sf12o9,37690,Global Eye Shop & Studio,,
bo_2zfdadgtj3,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715713406000,False,False,r_m94upj3h60,53650,ANTHEM,https://anthemsf.online/,Home Decor Store
bo_3nbch25yz3,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715646839000,False,False,r_m94upj3h60,35692,ANTHEM,https://anthemsf.online/,Home Decor Store
bo_uv8xadk9yt,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1715624092000,False,False,r_58ayhi50,78362,Black Parrot,http://www.blackparrotmaine.com/,Clothing Boutique
bo_7pem7axwgt,BACKORDER,BACKORDERED,UNFULFILLED,MARKETPLACE,1715624092000,False,False,r_58ayhi50,18601,Black Parrot,http://www.blackparrotmaine.com/,Clothing Boutique
bo_9qarpt4j95,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715622292000,False,False,r_pyrmcc979v,37575,Lavender Restyle Market,https://www.lavenderrestylemarket.com/,Home Decor Store
bo_rs9mu8p2ug,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715614076000,False,False,r_52mxq65qrq,127572,Graze Garden and Home,http://www.grazeliving.com/,Florist or Garden Store
bo_4xuzgvbty7,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715613485000,False,False,r_24ozh9lw,110648,PRIZE,http://www.prizeshoppe.com,Gift Store
bo_w483xx8s33,BACKORDER,BACKORDERED,UNFULFILLED,ELEVATE,1715613485000,False,False,r_24ozh9lw,10804,PRIZE,http://www.prizeshoppe.com,Gift Store
bo_j5xrfff62d,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715611685000,False,False,r_a4yyhtwrce,52381,The Iron Grate,,Home Decor Store
bo_m53hnkxuja,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1715552585000,True,True,r_1q19kryuc9,21318,Taylor’d Home,,Home Decor Store
bo_g5vznt2sd4,BACKORDER,BACKORDERED,UNFULFILLED,MARKETPLACE,1715552585000,True,True,r_1q19kryuc9,1905,Taylor’d Home,,Home Decor Store
bo_h6n4mhehp9,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715386985000,True,True,r_ah5jfrnkr7,33935,Anthem Inteiors,https://anthemsf.online/,Home Decor Store
bo_zzzv5bgu8j,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1715375585000,False,False,r_52mxq65qrq,0,Graze Garden and Home,http://www.grazeliving.com/,Florist or Garden Store
bo_by492tdjxk,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1715375585000,False,False,r_52mxq65qrq,0,Graze Garden and Home,http://www.grazeliving.com/,Florist or Garden Store
bo_zn92mpeaxx,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715358738000,False,False,r_dsqwlb4w4p,89533,Home + Home,,
bo_p4bpyhbk6g,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715227117000,False,False,r_edb2wl7xd7,55163,MILL HOUSE GOODS,http://millhousegoods.com,Home Decor Store
bo_za72527r2m,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715209117000,False,False,r_4rpsoa97,81222,Candle Delirium,http://www.candledelirium.com/,Home Decor Store
bo_3gfmgntaz2,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1715196817000,False,False,r_7h0ni5cwmi,29836,Emily Joubert,http://www.emilyjoubert.com/,
bo_qd4pndbjwu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715180979000,False,False,r_d2z7f4nq4b,118140,The Iron Gate,http://theirongateonline.net/,Home Decor Store
bo_2xcy6vx5tb,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1715036678000,False,False,r_3x9pkc3497,29988,Canteen Shoppe,http://Www.canteenshoppe.com,Home Decor Store
bo_ad8mgbmyaj,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1715035178000,False,False,r_s6dbbbz9xz,97295,Maison Inc.,http://maisoninc.com/,Home Decor Store
bo_mh6q7swwqs,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1715030678000,False,False,r_afpfb9j7,151876,Jupiter Row,https://jupiterrow.com,General or Mercantile Store
bo_n3g2q6ayhy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715027978000,False,False,r_5tq6fycxd3,45542,La Petite Maison Antiques,https://www.shoplpm.com/,Home Decor Store
bo_2t3cs3kn4m,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1714966256000,False,False,r_cm940srq,5116,Cultiverre LLC,http://cultiverre.com,General or Mercantile Store
bo_tymbz8948u,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1714932183000,False,False,r_cdxdnr1v,91541,Fleur De Lys,http://www.shopfleurdelys.com/,Gift Store
bo_shj2xnzmpn,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1714867983000,False,False,r_443d0dda,37466,MADE,http://www.madejacksonhole.com/,Gift Store
