product_token,name,category,sales_count,order_count,visit_count,date
p_81811pbukm,Lothantique  Bar Soap 200g,Bar Soap,120,8,76,2023-01-01
p_90i05y7jwr,Lothantique Foam Bath 500ml,Bubble Bath,42,4,34,2023-01-01
p_47m4xg0ait,Lothantique Liquid Soap 500ml,Hand Soap,306,22,233,2023-01-01
p_1k7q7n9f6r,Lothantique Liquid Soap Refill 1L,Hand Soap,6,1,19,2023-01-01
p_axrge2kh9f,Lothantique Bath Salts 600g,Bath Salts,66,7,30,2023-01-01
p_cajhap87m5,Lothantique Diffuser Refill 200ml,Diffuser Fragrance Refill,12,2,7,2023-01-01
p_ym4ouc6lc0,Les Savons De Marseille Soap 100g,Bar Soap,144,3,85,2023-01-01
p_bh73h2yaw9,Le Jardin D'Elisa Pillow Mist 100ml,Room & Linen Spray,0,0,0,2023-01-01
p_2s6a6k07ol,Le Jardin D'Elisa Fragrance Diffuser Refill 200ml,Diffuser Fragrance Refill,0,0,0,2023-01-01
p_29ur3reh4z,Le Jardin D'Elisa Fragrance Diffuser 200ml,Reed Diffuser,0,0,0,2023-01-01
p_2wghi1nviy,Le Jardin D'Elisa Scented Candle 140g,Jar & Filled Candles,0,0,3,2023-01-01
p_5ko2jloe9a,Le Jardin D'Elisa Room Spray 100ml,Room & Linen Spray,0,0,0,2023-01-01
p_639qbh0ba4,Le Jardin D'Elisa Eau De Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_b2dswuofw6,Le Jardin D'Elisa Liquid Soap 500ml,Hand Soap,0,0,0,2023-01-01
p_nn8piqbyp6,Le Jardin D'Elisa Soap 100g,Bar Soap,0,0,1,2023-01-01
p_46ivkro39h,Lothantique Amber Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_6q10t2es2x,Lothantique Wild Spices Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_sreqwi1cuh,Lothantique White Musk Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_cspbukl2v4,Lothantique Patchouli Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_5lcmugerh1,Lothantique Tiara Flower Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_8gaaa3aqut,Lothantique Fleur De Isles Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,0,2023-01-01
p_18n91mohpy,Les Secrets d'Antoine Pillow Mist 100ml,Room & Linen Spray,0,0,1,2023-01-01
p_36jdv8qicf,Les Secrets D'Antoine Fragrance Diffuser 200ml,Reed Diffuser,0,0,0,2023-01-01
p_9j70t2az00,Les Secrets D'Antoine Scented Candle 140g,Jar & Filled Candles,0,0,4,2023-01-01
p_5sls2bwfkz,Les Secrets D'Antoine Room Spray 100ml,Room & Linen Spray,0,0,0,2023-01-01
p_4hp5aqm2tw,Les Secrets d'Antoine Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,1,2023-01-01
p_5578yhdjgt,Les Secrets D'Antoine Liquid Soap 500ml,Hand Soap,6,1,9,2023-01-01
p_856umhaulg,Les Secrets D'Antoine Soap 100g,Bar Soap,18,1,8,2023-01-01
p_bn7falbm8v,Les Lavandes De Nestor Soap 100g,Bar Soap,0,0,0,2023-01-01
p_711p406ds0,Les Lavandes De Nestor Bath Salts 600g,Bath Salts,6,1,3,2023-01-01
p_4dxu9sd15e,Les Lavandes de Nestor Hand Cream 30ml,Hand & Body Lotions,0,0,0,2023-01-01
p_8ep58zvj9r,Les Lavandes de Nestor Liquid Soap 500ml,Hand Soap,6,1,0,2023-01-01
p_9i0b1v8lsx,Les Lavandes de Nestor Room Spray 100ml,Room & Linen Spray,0,0,0,2023-01-01
p_ahewcpvscu,Les Lavandes De Nestor Scented Candle 140g,Jar & Filled Candles,0,0,0,2023-01-01
p_9vjieobfcv,Les Lavandes de Nestor Fragrance Diffuser 200ml,Reed Diffuser,0,0,0,2023-01-01
p_ae4lurog98,Les Lavandes de Nestor Fragrance Diffuser Refill 200ml,Diffuser Fragrance Refill,0,0,0,2023-01-01
p_49wduznep4,Chemin De Roses Soap 100g,Bar Soap,0,0,0,2023-01-01
p_8kzc2gl3nd,Chemin De Roses Eau de Toilette 100ml,Perfume & Eau de Toilette,0,0,1,2023-01-01
p_48m3qlhpzn,Chemin De Rose Bath Salts 600g,Bath Salts,24,3,8,2023-01-01
p_6r21ntul8a,Chemin de Roses Hand Cream 30ml,Hand & Body Lotions,0,0,4,2023-01-01
p_4eimy5imnt,Chemin de Roses Liquid Soap 500ml,Hand Soap,0,0,3,2023-01-01
p_bn4ce7zrql,Chemin de Roses Room Spray 100ml,Room & Linen Spray,0,0,0,2023-01-01
p_9o3hr6vu8o,Chemin de Roses Scented Candle 140g,Jar & Filled Candles,6,1,7,2023-01-01
p_7hyv71cvx3,Chemin de Roses Pillow Mist 100ml,Room & Linen Spray,6,1,2,2023-01-01
