tokens,publish_at_values,created_at_values,titles,ratings,brand
br_yue95jkswb,1718737200000.0,1718377938000.0,Received quickly but reduction in price. Would like to have that resolved  otherwise perfect.,4.0,Miko
br_sjgwp3cp5h,1693422000000.0,1693241277000.0,Good product,5.0,Miko
br_ugp9vvd2n7,1677096000000.0,1676925705000.0,Customers love the foot massager!,5.0,Miko
br_ebaavgn9v4,1675800000000.0,1675617772000.0,AMAZING,5.0,Miko
br_xkx7q9vvd4,1675800000000.0,1675616671000.0,High Quality,5.0,Miko
br_4zrjb8d479,1658775600000.0,1658433078000.0,received partial shipment,2.0,Miko
br_27t2qwxp8d,1657911600000.0,1657725921000.0,We love our Miko humidifier!,5.0,Miko
br_6c254nwebr,1657134000000.0,1656860669000.0,Humidifier for plant shop,5.0,Miko
br_gbwve7g59m,1652814000000.0,1652577855000.0,Thank you for fulfilling my order and expediting the shipping. i truly appreciate it.,5.0,Miko
br_sbz5u7e2m5,1652814000000.0,1652477595000.0,"Fast delivery, great communication!",5.0,Miko
br_bwfuqnmjyw,1650654000000.0,1650471519000.0,Great customer service ,5.0,Miko
br_nvrwbhuf5e,1647457200000.0,1647278198000.0,Great quality product,5.0,Miko
br_extwmwbjvu,1640894400000.0,1640707051000.0,Great quality and customer service!,5.0,Miko
br_afd6gemd82,1633460400000.0,1633178246000.0,Silent air purifer ,5.0,Miko
br_er8o7mtxaw,1620241200000.0,1620040398000.0,Great quality product ,5.0,Miko
br_p4f3eapdf9,1714417200000.0,1714062903000.0,Exceptional quality,5.0,Crane Baby
br_ukzx2pwcny,1707854400000.0,1707605597000.0,Fantastic ,5.0,Crane Baby
br_24fb3qcpct,1705435200000.0,1704992986000.0,Great Quality!,5.0,Crane Baby
br_kw9u6ytjxh,1701979200000.0,1701804135000.0,Great Products. I will be ordering again. ,5.0,Crane Baby
br_fj6ku23x4h,1697050800000.0,1696636291000.0,Awesome to work with,5.0,Crane Baby
br_3jggm5hfmu,1696014000000.0,1695828579000.0,darling baby blanket love the patterns,5.0,Crane Baby
br_4zgvf8ecfq,1690916400000.0,1690575545000.0,Second time ordering- and just as good as the first time!,5.0,Crane Baby
br_zr923ywy6y,1685732400000.0,1685548233000.0,Beautiful Quality & Speedy Shipping! ,5.0,Crane Baby
br_4ew5xt3k2c,1684782000000.0,1684439821000.0,Happy to be carrying this brand,5.0,Crane Baby
br_v7sxjyc9we,1682362800000.0,1682024451000.0,very pleased,5.0,Crane Baby
br_bsjgn86edc,1667329200000.0,1667168338000.0,Beautiful ,5.0,Crane Baby
br_2b3b6ts4rp,1661886000000.0,1661720403000.0,Great machines,5.0,Crane Baby
br_gf9vkhus5n,1660158000000.0,1659997757000.0,Great quality products,5.0,Crane Baby
br_97ntcex3rx,1659034800000.0,1658805903000.0,"Great packaging, displays nicely!",5.0,Crane Baby
br_bj3saqzdy3,1717527600000.0,1717129726000.0,It was …,5.0,Productech
br_y55qyr96wx,1707336000000.0,1707127738000.0,Great sound ,5.0,Productech
br_chjez45q8k,1697828400000.0,1697642459000.0,Fabulous sound quality!,5.0,Productech
br_zzcv3f7svs,1672344000000.0,1672102953000.0,Doesn’t stay on long enough,1.0,Productech
br_wwqfakt7qb,1671220800000.0,1670979137000.0,Excellent service ,5.0,Productech
br_2269jn5v8b,1670961600000.0,1670702284000.0,Excellent service ,5.0,Productech
br_6nzkc5aw9r,1662577200000.0,1662085855000.0,Awesome ,5.0,Productech
br_4g7ftkext4,1660590000000.0,1660250910000.0,Very very nice! Well built product ,5.0,Productech
br_6jx7dg44ek,1658862000000.0,1658487081000.0,Good quality ,5.0,Productech
br_zydhenfwc3,1657911600000.0,1657745038000.0,Just what I needed! ,5.0,Productech
br_h9gv2d6trx,1657220400000.0,1656996598000.0,Love This Brand! ,5.0,Productech
br_fve2qjg869,1643659200000.0,1643255467000.0,"Great product, fast shipping! Overall great company!",5.0,Productech
br_u8nfh9uhaa,1643313600000.0,1643138576000.0,Everything perfect,5.0,Productech
br_a6jm4yknu8,1642536000000.0,1642043897000.0,These are so much better than I could of imagine. I am going to have all my customers rocking out at the gym with these badboys. Thank you so much,5.0,Productech
br_hweyqv7sr5,1639684800000.0,1639524170000.0,"Good sound, lack a bit of bass, quality product.",4.0,Productech
br_byqpd668fd,1638907200000.0,1638628768000.0,All right,5.0,Productech
br_dewswufd5p,1712084400000.0,1711737632000.0,Clients are Happy,5.0,Ivation
br_vyves3tnfk,1697828400000.0,1697594021000.0,GREAT,5.0,Ivation
br_wvjdgzqdbh,1692126000000.0,1691724874000.0,Fast Shipping ,5.0,Ivation
