product_token,name,category,sales_count,order_count,visit_count,date
p_3j77cnzwd5,"MERV 20"" x 20"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_3yce7c2rt3,"MERV 12"" x 12"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_a4nrabng5b,MA-35 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_fdkx8t9gzw,MA-CAR Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_g3fbjarh8v,MA-35 Air Purifier Stand,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_hfvr7z6qsq,"MERV 20"" x 25"" x 4"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_jduhkd93ya,"MERV 16"" x 25"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_kzqkewcud8,"MERV 14"" x 20"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_mtcmrxgmjv,MA-WM35 Air Purifier (Wall-Mounted),HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_mxany5gnfw,MA-40 PET Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_qjj2bfzwm3,"MERV 16"" x 25"" x 4"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_rj3byc9847,MA-Smart Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_rszcfxmwkf,MA-CAR Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_t5fye9fs8x,MA-440 Replacement Aromatherapy Cartridge,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_ttd3qasjnd,MA-25 Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_xrea2tec7b,MA-WM45 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_xw239wxd6e,MA-40 Air Purifier + 1 FREE Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_y3uhwb4483,"MERV 20"" x 25"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_y9vdeesgdv,MA-440 Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_yxfz3wpk56,MA-45 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_zusj5urv2h,"MERV 16"" x 20"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_5g6mphz6za,MA-15 Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_5puxru4tbe,MA-50 Air Purifier V3.0,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_7yjjxvv4v3,MA-125 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_8yyx3nhw29,MA-112 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_9zzsnxfgg7,MA-15 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_e32ssm4ytx,MA-50 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_pwqpt8upsk,MA-125 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_yz9tv3h4gx,MA-112 Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_zh8u8fdpv4,MA-40 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_zthjyt6gqz,MA-40 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_a9mb22rvr7,MA-112 PRO Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_bfp6trd4v8,MA-112 PRO Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_bu4qd86ktu,MA-18 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_bxxguv5qkn,MA-22 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_c27bwf3p9f,MA-14 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_d5jgawqc9p,MA-10 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_jpbmzwhtau,MA-18 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_sjtmnjsjuf,MA-25 Air Purifier + 1 FREE Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_sk9j2yrd28,MA-22 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_tetq2t4y2q,MA-1000 Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_tkm8vd44wd,MA-25 Air Purifier,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_trdrcz8hg6,MA-25 PET Replacement Air Filter Set,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_w3dm4spd5x,MA-10 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_wkxqdnubbz,MA-14 Replacement Air Filter,HVAC Supplies,0,0,0,2023-01-01 00:00:00
p_3j77cnzwd5,"MERV 20"" x 20"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_3yce7c2rt3,"MERV 12"" x 12"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_a4nrabng5b,MA-35 Replacement Air Filter,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_fdkx8t9gzw,MA-CAR Air Purifier,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_g3fbjarh8v,MA-35 Air Purifier Stand,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_hfvr7z6qsq,"MERV 20"" x 25"" x 4"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_jduhkd93ya,"MERV 16"" x 25"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_kzqkewcud8,"MERV 14"" x 20"" x 1"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_mtcmrxgmjv,MA-WM35 Air Purifier (Wall-Mounted),HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_mxany5gnfw,MA-40 PET Replacement Air Filter,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_qjj2bfzwm3,"MERV 16"" x 25"" x 4"" HVAC Air Filter",HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_rj3byc9847,MA-Smart Replacement Air Filter,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_rszcfxmwkf,MA-CAR Replacement Air Filter,HVAC Supplies,0,0,0,2023-02-01 00:00:00
p_t5fye9fs8x,MA-440 Replacement Aromatherapy Cartridge,HVAC Supplies,0,0,0,2023-02-01 00:00:00
