collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Odd Hats,1685119180000,1685119180000,12,0,0,0,Odd Sox
ODD Slippers Fall 2023,1685118354000,1700149392000,11,0,0,0,Odd Sox
Odd Sox Fall 2023,1685117945000,1708032886000,29,0,0,0,Odd Sox
New Odd Boxers 9/1/23,1685117276000,1685119180000,15,0,0,0,Odd Sox
The Starter Collection,1664468564000,1680544211000,6,0,0,0,Socks n Socks
Bestseller for Men,1664468564000,1680544211000,7,0,0,0,Socks n Socks
Bestseller for Women,1664468564000,1680544211000,9,0,0,0,Socks n Socks
Bestseller for Kids,1664468564000,1680544211000,7,0,0,0,Socks n Socks
Bestseller for All,1664468564000,1680544211000,6,0,0,0,Socks n Socks
Spring Outdoor Accessories,1703838203000,1704373597000,16,0,0,0,menique
Spring Merino Essentials,1703838864000,1704373597000,16,0,0,0,menique
Premium Cashmere,1703836995000,1704373597000,27,0,0,0,menique
Autumn/Winter '23,1694925653000,1704373597000,41,0,0,0,menique
New Linen Collection,1689246905000,1708323721000,35,0,0,0,menique
Linen Capsule Wardrobe,1703838607000,1704373597000,13,0,0,0,menique
Linen Bestsellers,1676460706000,1704373603000,11,0,0,0,menique
Linen for Kids,1703838003000,1709645507000,6,0,0,0,menique
Gloves,1703838317000,1704373603000,21,0,0,0,menique
Footwear,1703838395000,1704373603000,22,0,0,0,menique
Linen Starter Pack,1676875137000,1709718146000,14,0,0,0,menique
Tablescapes & Textiles,1679057893000,1706511585000,13,0,0,0,menique
Merino Intimates,1676881397000,1704373609000,25,0,0,0,menique
Throws & Blankets,1679058224000,1709645507000,13,0,0,0,menique
Dark Green,1676878188000,1704373609000,15,0,0,0,menique
DYI Friendly Linen,1704373586000,1708323721000,11,0,0,0,menique
Natural Merino,1676879462000,1704373586000,19,0,0,0,menique
Valentine's Day Underwear Collection,1705438551000,1707340006000,6,0,0,0,Shinesty
Best Selling Ball Hammock Boxer Briefs,1699771504000,1705438551000,17,0,0,0,Shinesty
"Christmas Underwear, Pajamas, and Onesies",1699477811000,1709762637000,31,0,0,0,Shinesty
"Women's Christmas Dresses, Blazers, and Pants",1699769665000,1709762644000,20,0,0,0,Shinesty
"Christmas Suits: Fun, Hilarious Holiday Blazers and Pants",1699766960000,1705438551000,22,0,0,0,Shinesty
Christmas Ties & Bow Ties,1699766000000,1709762641000,29,0,0,0,Shinesty
Funny Hats,1707329436000,1708981791000,23,0,0,0,Crazy Dog T-Shirts
Saint Patricks Day T shirts Collection,1707321593000,1709282812000,58,0,0,0,Crazy Dog T-Shirts
Leggings,1706723547000,1707329436000,23,0,0,0,Crazy Dog T-Shirts
420 Collection,1673984298000,1707329436000,10,0,0,0,Crazy Dog T-Shirts
Valentine's Day Collection,1673983481000,1707329436000,16,0,0,0,Crazy Dog T-Shirts
