Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,brand
Socks,Michael Scott - Mens Crew Straight,False,p_9mkcw4skzg,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Jolly Ranchers Split - Mens Crew Straight,False,p_8dbrxztmew,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,The Big Lebowski - Mens Crew Straight,False,p_wfy2xcn5wq,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cheetos Flamin Hot - Mens Crew Straight - Odd Sox,False,p_mex77utvsn,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Monopoly Windfall - Mens Crew Straight,False,p_qtre3uvacp,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Beavis & Butthead 360 - Mens Crew Straight,False,p_d6pa6bshtt,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Elvis Rock N Roll - Mens Crew Straight,False,p_3ax9p8apnh,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Ghostbusters Slime Knit Socks,False,p_5wnicy1cpi,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Dwight Schrute 360 - Mens Crew Straight,False,p_8pwb59wx28,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,White Castle Split - Mens Crew Straight,False,p_aqtb4fj9g6,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Ghostbusters Logos Knit Socks,False,p_f178844qkk,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Sour Patch Split -  Mens Crew Straight,False,p_28z572b9rq,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Monopoly Split - Mens Crew Straight,False,p_e7n9tny5hb,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Peanuts Split - Mens Crew Straight,False,p_w2j79c4gfa,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Elvis Eagle Jumpsuit 360 Knit - Mens Crew Straight,False,p_tskrgz7jqr,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Tommy Boy - Odd Sox,False,p_h7frnz7t7j,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Last Stand Knit Socks,False,p_8r0ym3cutn,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Spongebob & Patrick Knit Socks,False,p_2mqw0ftaj2,FOR_SALE,17.0,6.0,0,Odd Sox
Socks,Vito Knit Socks,False,p_1nipz7p162,FOR_SALE,14.0,6.0,0,Odd Sox
Socks,Reeses Split - Mens Crew Straight,False,p_afhbgabfpd,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cup Noodles Knit Socks,False,p_1srrzkmffd,FOR_SALE,14.0,6.0,0,Odd Sox
Socks,Charlie Brown - Mens Crew Straight,False,p_5rcbjza3m6,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Jaws Open Wide Mix Match Knit Socks,False,p_2sqtmtulmg,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Hulk Hogan 360 Knit Socks,False,p_buq39ogfjr,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Twizzlers Split  - Mens Crew Straight,False,p_japgv9p45z,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Undertaker Vs Kane,False,p_wfkgy4w2a6,FOR_SALE,17.0,7.0,0,Odd Sox
Socks,Undertaker 360 Knit Socks,False,p_dh5sbfxr55,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Tapatio Striped Knit Socks,False,p_dwdyy6qnbu,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Street Fighter Mash Up - Mens Crew Straight,False,p_6xk622bjt5,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Yoohoo  - Mens Crew Straight,False,p_4spnkftff5,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Coca Cola Feet - Mens Crew Straight,False,p_fuxfawhjgy,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cheez It Crackers Knit Socks,False,p_5vtdv82vc6,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Squidward - Mens Crew Straight,False,p_b9qebmcn3k,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Oreo & Milk - Mens Crew Straight,False,p_8tk2sbym6m,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Eric Cartman 360 Knit Socks,False,p_666f2raxls,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Power Rangers Split - Mens Crew Straight,False,p_med69qn656,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Froot Loops Tie Dye - Mens Crew Straight,False,p_4uqct48rsw,FOR_SALE,14.99,7.0,0,Odd Sox
Socks,Fuck Off - Mens Crew Straight,False,p_d7s7ztabsy,FOR_SALE,6.0,3.0,0,Odd Sox
Socks,Dr Pepper Split - Mens Crew Straight,False,p_dujvm56usx,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Snoopy & Woodstock - Mens Crew Straight,False,p_66aff29guu,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Marijuana Pack Knit Socks,False,p_vupena0z48,FOR_SALE,10.0,5.0,0,Odd Sox
Socks,Kool-Aid Man - Mens Crew Straight,False,p_7hacmgut3w,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Chuckys Revenge Mix Match Knit Socks,False,p_553j3zeasw,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Sour Patch Kids Knit Socks,False,p_86jfsraj2s,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Chicken Feet - Mens Crew Straight,False,p_wvjyecha6t,FOR_SALE,12.99,5.0,0,Odd Sox
Socks,Sour Patch Kids Tie Dye (Knit) - Mens Crew Straight,False,p_w9a9v3j8ch,FOR_SALE,14.0,7.0,0,Odd Sox
Socks,Macho Man Stars Knit Socks,False,p_bc4ap3ctv1,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Beavis & Butthead Burger World - Mens Crew Straight,False,p_dvpt27ttk6,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,South Park Gang - Mens Crew Straight,False,p_fwx68vzem4,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Doritos 2000 - Mens Crew Straight - Odd Sox,False,p_rdny9mqj82,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Swedish Fish Knit Socks,False,p_yopbpykfeg,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Coca Cola Split - Mens Crew Straight,False,p_atm6yeqvfh,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,South Park 8 Bit Sublimation Socks,False,p_611kvq5h6p,FOR_SALE,12.0,6.0,0,Odd Sox
Socks,Kool Aid Half Stripe - Mens Crew Straight,False,p_gkuten5beg,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Michael Myers Mix Match Knit Socks,False,p_a8ek2w2nvo,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Jesus South Park - Mens Crew Straight,False,p_x3dms7wpd9,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cheetos - Mens Crew Straight - Odd Sox,False,p_2sat6uw6s6,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Hulk Vs Andre,False,p_nc9xssmm6r,FOR_SALE,17.0,7.0,0,Odd Sox
Socks,Kenny Mccormick 360 Knit Socks,False,p_e4u0coqsi7,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Doritos Split - Mens Crew Straight - Odd Sox,False,p_jrmf6vkz7j,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Doritos Cool Ranch - Mens Crew Straight - Odd Sox,False,p_3cbkwafc8w,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Spongebob Smilepants - Mens Crew Straight,False,p_2wn9d8h5n7,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cholula Label - Mens Crew Straight,False,p_ma6dkx45nr,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Kind of A Big Dill - Mens Crew Straight,False,p_fcxpkcrvpg,FOR_SALE,12.99,5.0,0,Odd Sox
Socks,Leonardo - Mens Crew Straight,False,p_qbbdaa7me8,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Diet Coke Split - Mens Crew Straight,False,p_pua2hhdge4,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Oreo Tie Dye - Mens Crew Straight,False,p_shnmmtbrj2,FOR_SALE,14.99,7.0,0,Odd Sox
Socks,Cheetos Crunchy - Mens Crew Straight - Odd Sox,False,p_k5rzjdh72k,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Oreo Cookies Mix Match Knit Socks,False,p_1djczyp3n3,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Casino Split - Mens Crew Straight,False,p_u7f4rsaues,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Crush Orange Half Stripe  - Mens Crew Straight,False,p_xtaw252vf7,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Flamin Hot Cheetos - Mens Crew Straight - Odd Sox,False,p_cw32w3ceyu,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Cheech & Chong Trippy Mix Match Sublimated Socks,False,p_5ednkj33nb,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Follow Your Nose Socks - Kids,False,p_98p0r73sxk,FOR_SALE,10.99,4.0,0,Odd Sox
Socks,Chrunchatize Me Capn - Mens Crew Straight,False,p_hvj4aq52e5,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Creature - Mens Crew Straight,False,p_jw4gmgk2me,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Up in Smoke Knit Socks,False,p_8bmh9h4gy2,FOR_SALE,14.0,6.0,0,Odd Sox
Socks,Spongebob Nerd Pants 360 Knit Socks,False,p_cikre6iryb,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Raphael - Mens Crew Straight,False,p_cvq322ru8y,FOR_SALE,12.99,6.0,0,Odd Sox
Socks,Pepsi Cool Knit Socks,False,p_7afy0wzym2,FOR_SALE,14.0,6.0,0,Odd Sox
Socks,Mens Crew Straight Down - 360 Knit - Towelie,False,p_9748y1ybjb,FOR_SALE,15.0,6.0,0,Odd Sox
Socks,Kelloggs Gift Box - 5 Pack of Sox,False,p_45jysv5gnz,FOR_SALE,50.0,25.0,0,Odd Sox
