tokens,publish_at_values,created_at_values,titles,ratings,brand
br_kuenghmzd7,1707163200000,1706788964000,Good product and speedy shipping!,5,Odd Sox
br_g35jpkbep2,1706817600000,1706644383000,Great products and prices. We look forward to expanding the selection as they sell. ,5,Odd Sox
br_uqy5dj66ds,1706212800000,1706026337000,"Great Products, High Quality",5,Odd Sox
br_ejbwvrx35e,1702670400000,1702435067000,Thanks,5,Odd Sox
br_wx86g99fky,1701460800000,1701282916000,products look great. No issues with packaging. ,5,Odd Sox
br_bzftzpenjz,1698174000000,1698015431000,high quality and great service! ,5,Odd Sox
br_zhxvf8v73a,1697050800000,1696874777000,All around excellence,5,Odd Sox
br_9qbhn6vy48,1694199600000,1694043333000,great quality,5,Odd Sox
br_k6qqcy9d7g,1694026800000,1693697839000,I’m constantly ordering from them and every time is a great experience! Will definitely order more! ,5,Odd Sox
br_gh3uyr9s8y,1693940400000,1693506847000,The product speaks for it self. But if you want orders quick and packed well this is it!,5,Odd Sox
br_ee9642a3rs,1681153200000,1680742038000,"Awesome product, packaged perfectly!  Shipped very quickly!",5,Odd Sox
br_z6ym98mwfy,1678392000000,1678155257000,great,5,Odd Sox
br_8rzx9qbacp,1677787200000,1677598822000,the options are endless and I love it,5,Odd Sox
br_bcg2afutck,1677787200000,1677546294000,Great fun product! ,5,Odd Sox
br_k875npceyu,1676577600000,1676335272000,Great product and speedy delivery. ,5,Odd Sox
br_39urq6c2sq,1676404800000,1676105381000,Quick processing and shipment. Great quality merchandise.,5,Odd Sox
br_wmxyfv8abk,1675454400000,1675267735000,Sock quality is top notch. ,5,Odd Sox
br_msfd9xapdn,1675368000000,1675205416000,Was trying to order boxers but style was not open stock. Everything had to be order by 6pcs per size not per style . ,3,Odd Sox
br_xq4zd9sa4u,1674504000000,1674152761000,These are super cute. ,5,Odd Sox
br_p34yavvb2e,1673985600000,1673541136000,Awesome ,5,Odd Sox
br_v3p4b72dwr,1667937600000,1667596766000,Fantastic! ,5,Odd Sox
br_t6zkqkkwr4,1666292400000,1666107759000,Our Best Selling Line!!,5,Odd Sox
br_hrvh3dx6zg,1664910000000,1664750617000,excellent,5,Odd Sox
br_yjcyrdaewr,1664564400000,1664402648000,Excellent Quality!!!!,5,Odd Sox
br_vj65qyajrh,1663095600000,1662826336000,Quality Products,5,Odd Sox
br_t98s5ssmbq,1661281200000,1661017953000,Awesome as usual!,5,Odd Sox
br_ayxv8gaxu3,1658862000000,1658478541000,Love these products and so do my customers ,5,Odd Sox
br_e2txuc7ayj,1657825200000,1657605450000,The socks are very good quality and the art is incredible.,5,Odd Sox
br_2fsq52f9ww,1656529200000,1656341370000,Everything was great. We will order again!,5,Odd Sox
br_9tb58y7hzv,1653678000000,1653486833000,Great brand! Will be reordering soon!,5,Odd Sox
br_jv69hauvsc,1653332400000,1652923168000,Awesome ,5,Odd Sox
br_7m46pz9usy,1650394800000,1650127411000,Great looking products,5,Odd Sox
br_8wr7ukt2tr,1649876400000,1649719130000,Fantastic,5,Odd Sox
br_5t6573rz43,1648839600000,1648615344000,Customers love the brand!,5,Odd Sox
br_wbdphgya4v,1648666800000,1648506917000,Great product,5,Odd Sox
br_xcbyszc4m6,1647370800000,1647101608000,Awesome,5,Odd Sox
br_57hxpjjqjm,1647284400000,1646950569000,sizing is inaccurate ,3,Odd Sox
br_26xpuc2rh5,1647028800000,1646849561000,Love everything about your products and so do my customers!!!! ,5,Odd Sox
br_jkyk8knst5,1639684800000,1639481707000,Great Unique Product,5,Odd Sox
br_8bbd7ag8bx,1636401600000,1636030630000,Product sells easily,5,Odd Sox
br_qzpy9779hv,1635274800000,1635090614000,excelleny,5,Odd Sox
br_zwrbm6vu2k,1632423600000,1632245741000,Great Socks,5,Odd Sox
br_dv3y4c24gm,1632250800000,1631893652000,This was my first time shopping on faire and it was a great experience I will be back .. great quality items!!,5,Odd Sox
br_7e4afhmeek,1631646000000,1631392015000,"Fast shipping , Great quality",5,Odd Sox
