token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_2wtjeh33g6,o_c8pyrhas3q,p_jenkrf98nj,bo_47hjhy44e5,The Seven Seas | paradICE™ Cooling Ball Hammock® Men's Underwear,L,3499,1749,1749,2,3498,3498,0,#47HJHY44E5,
oi_h9j2hv5yss,o_c8pyrhas3q,p_jenkrf98nj,bo_47hjhy44e5,The Seven Seas | paradICE™ Cooling Ball Hammock® Men's Underwear,XL,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_c7tmgk4w6m,o_c8pyrhas3q,p_jenkrf98nj,bo_47hjhy44e5,The Seven Seas | paradICE™ Cooling Ball Hammock® Men's Underwear,S,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_zdbdwhdf5z,o_c8pyrhas3q,p_jenkrf98nj,bo_47hjhy44e5,The Seven Seas | paradICE™ Cooling Ball Hammock® Men's Underwear,M,3499,1749,1749,2,3498,3498,0,#47HJHY44E5,
oi_zbecmqpd5q,o_c8pyrhas3q,p_jcuts8hx2x,bo_47hjhy44e5,The  Hurricane | paradICE™ Cooling Ball Hammock® Men's Underwear,L,3499,1749,1749,2,3498,3498,0,#47HJHY44E5,
oi_acevzbvkd8,o_c8pyrhas3q,p_jcuts8hx2x,bo_47hjhy44e5,The  Hurricane | paradICE™ Cooling Ball Hammock® Men's Underwear,S,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_542n3ccssz,o_c8pyrhas3q,p_jcuts8hx2x,bo_47hjhy44e5,The  Hurricane | paradICE™ Cooling Ball Hammock® Men's Underwear,XL,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_7khps6r6uv,o_c8pyrhas3q,p_jcuts8hx2x,bo_47hjhy44e5,The  Hurricane | paradICE™ Cooling Ball Hammock® Men's Underwear,M,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_gb782yfbee,o_c8pyrhas3q,p_n2yezskctw,bo_47hjhy44e5,The Father Figures | Dad Gear Ball Hammock® Pouch Underwear,M,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_9wb9cshvdm,o_c8pyrhas3q,p_n2yezskctw,bo_47hjhy44e5,The Father Figures | Dad Gear Ball Hammock® Pouch Underwear,S,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_vvaugum46n,o_c8pyrhas3q,p_n2yezskctw,bo_47hjhy44e5,The Father Figures | Dad Gear Ball Hammock® Pouch Underwear,L,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_txhy8nxz6v,o_c8pyrhas3q,p_n2yezskctw,bo_47hjhy44e5,The Father Figures | Dad Gear Ball Hammock® Pouch Underwear,XL,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_yktjvpzrut,o_c8pyrhas3q,p_h53fwh3zf7,bo_47hjhy44e5,The Big Kahunas | Ball Hammock® Pouch Men's Underwear With Fly,XL,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_ms3k2gphcu,o_c8pyrhas3q,p_h53fwh3zf7,bo_47hjhy44e5,The Big Kahunas | Ball Hammock® Pouch Men's Underwear With Fly,M,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_tp2smy3k32,o_c8pyrhas3q,p_h53fwh3zf7,bo_47hjhy44e5,The Big Kahunas | Ball Hammock® Pouch Men's Underwear With Fly,L,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_g4dbwcm7wk,o_c8pyrhas3q,p_h53fwh3zf7,bo_47hjhy44e5,The Big Kahunas | Ball Hammock® Pouch Men's Underwear With Fly,S,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_pps5tcc4kr,o_c8pyrhas3q,p_er6qasjk2h,bo_47hjhy44e5,The Junk in the Trunk | Elephant Men's Underwear,M,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_p8yfdgqx8k,o_c8pyrhas3q,p_er6qasjk2h,bo_47hjhy44e5,The Junk in the Trunk | Elephant Men's Underwear,XL,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_8pvp3yar72,o_c8pyrhas3q,p_er6qasjk2h,bo_47hjhy44e5,The Junk in the Trunk | Elephant Men's Underwear,S,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_xdtf98z662,o_c8pyrhas3q,p_er6qasjk2h,bo_47hjhy44e5,The Junk in the Trunk | Elephant Men's Underwear,L,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_d2vh86fkqh,o_c8pyrhas3q,p_h3jy7ysda9,bo_47hjhy44e5,The Bambi Bunchers | Ball Hammock® Pouch Men's Underwear,2X,2799,1399,1399,1,1399,1399,0,#47HJHY44E5,
oi_n7yqzajfjp,o_c8pyrhas3q,p_h3jy7ysda9,bo_47hjhy44e5,The Bambi Bunchers | Ball Hammock® Pouch Men's Underwear,XL,2799,1399,1399,4,5596,5596,0,#47HJHY44E5,
oi_t565pvcekm,o_c8pyrhas3q,p_h3jy7ysda9,bo_47hjhy44e5,The Bambi Bunchers | Ball Hammock® Pouch Men's Underwear,S,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_5dx38wzbh9,o_c8pyrhas3q,p_h3jy7ysda9,bo_47hjhy44e5,The Bambi Bunchers | Ball Hammock® Pouch Men's Underwear,L,2799,1399,1399,4,5596,5596,0,#47HJHY44E5,
oi_tmjv3fzsux,o_c8pyrhas3q,p_dgnweg3t9m,bo_47hjhy44e5,The 009 | Black Tuxedo Ball Hammock® Pouch Men's Underwear,XL,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_hjg2byp7w4,o_c8pyrhas3q,p_dgnweg3t9m,bo_47hjhy44e5,The 009 | Black Tuxedo Ball Hammock® Pouch Men's Underwear,M,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_2qrvhde37p,o_c8pyrhas3q,p_dgnweg3t9m,bo_47hjhy44e5,The 009 | Black Tuxedo Ball Hammock® Pouch Men's Underwear,L,2799,1399,1399,2,2798,2798,0,#47HJHY44E5,
oi_msuxgeepny,o_c8pyrhas3q,p_96jpgcdsf6,bo_47hjhy44e5,The Hummingbird | paradICE™ Cooling Ball Hammock® Men's Underwear,L,3499,1749,1749,2,3498,3498,0,#47HJHY44E5,
oi_fwec79peth,o_c8pyrhas3q,p_96jpgcdsf6,bo_47hjhy44e5,The Hummingbird | paradICE™ Cooling Ball Hammock® Men's Underwear,M,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_79n88m2tv5,o_c8pyrhas3q,p_96jpgcdsf6,bo_47hjhy44e5,The Hummingbird | paradICE™ Cooling Ball Hammock® Men's Underwear,S,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_kpk8n9b3nk,o_c8pyrhas3q,p_96jpgcdsf6,bo_47hjhy44e5,The Hummingbird | paradICE™ Cooling Ball Hammock® Men's Underwear,XL,3499,1749,1749,1,1749,1749,0,#47HJHY44E5,
oi_uhtu6nsbhm,o_sjmdbg2jr9,p_actjaav3xt,bo_57jrbzf5vc,The Me Time | Lady Toys Seamless Women's Thong,L,1698,499,499,1,499,499,0,#57JRBZF5VC,
oi_mkmbfnzcan,o_sjmdbg2jr9,p_actjaav3xt,bo_57jrbzf5vc,The Me Time | Lady Toys Seamless Women's Thong,S,1698,499,499,1,499,499,0,#57JRBZF5VC,
oi_5yudgyxfhz,o_sjmdbg2jr9,p_actjaav3xt,bo_57jrbzf5vc,The Me Time | Lady Toys Seamless Women's Thong,XL,1698,499,499,1,499,499,0,#57JRBZF5VC,
oi_jqw87ha48v,o_sjmdbg2jr9,p_actjaav3xt,bo_57jrbzf5vc,The Me Time | Lady Toys Seamless Women's Thong,XS,1698,499,499,1,499,499,0,#57JRBZF5VC,
oi_fgqgfex8bp,o_sjmdbg2jr9,p_actjaav3xt,bo_57jrbzf5vc,The Me Time | Lady Toys Seamless Women's Thong,M,1698,499,499,2,998,998,0,#57JRBZF5VC,
oi_8mpxbsqcfz,o_sjmdbg2jr9,p_9qsbxqtvsa,bo_57jrbzf5vc,The Bare Back Bones | Skeletons Seamless Women's Thong,S,1699,300,300,1,300,300,0,#57JRBZF5VC,
oi_5mj54abj4j,o_sjmdbg2jr9,p_9qsbxqtvsa,bo_57jrbzf5vc,The Bare Back Bones | Skeletons Seamless Women's Thong,XL,1699,300,300,1,300,300,0,#57JRBZF5VC,
oi_whvakg4c5j,o_sjmdbg2jr9,p_9qsbxqtvsa,bo_57jrbzf5vc,The Bare Back Bones | Skeletons Seamless Women's Thong,M,1699,300,300,2,600,600,0,#57JRBZF5VC,
oi_m4tavan5ma,o_sjmdbg2jr9,p_9qsbxqtvsa,bo_57jrbzf5vc,The Bare Back Bones | Skeletons Seamless Women's Thong,XS,1699,300,300,1,300,300,0,#57JRBZF5VC,
