tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_73byuya4pd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1709088922000,True,True,r_9679fmuiyf,35949
bo_nxja27y8kn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708454859000,False,False,r_2d33b7kr,13837
bo_d8c639szgk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708268606000,True,True,r_d2qhcgbgfw,83261
bo_b7daf72czr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708216406000,False,False,r_dmvka38vu8,54991
bo_3aw8ceuhkh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708091569000,False,False,r_f3xwm2hqer,14012
bo_6eyejcwbaz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708022269000,True,True,r_veh0mwgrco,12186
bo_xk9hgba5xf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707830878000,False,False,r_ejbz7uxtaq,121493
bo_natrduqtkc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707771478000,False,False,r_dmvka38vu8,24548
bo_65tzdr9ze3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707577457000,False,False,r_dmvka38vu8,42298
bo_8jb4w9qmmt,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706548473000,True,True,r_ovvl42fxrh,0
bo_yhp38ffg2t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706278773000,True,True,r_yzwad5fb3v,20810
bo_jmht3um575,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706202923000,True,True,r_g757an2p2c,15323
bo_ywf6ucfm6v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706069974000,True,True,r_24j4xxggrs,11450
bo_hsa6fdjjmc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706043946000,False,False,r_2d33b7kr,12450
bo_qzbf3u55gw,NEW_ORDER,PROCESSING,FULFILLED,ELEVATE,1706037182000,False,False,r_amkvzx3d,40213
bo_exjztxgqmj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706033582000,False,False,r_c6j2c3jcnj,32209
bo_39jmmvhy47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705932787000,True,True,r_wc6rnymjgn,11450
bo_93vz4gpg5c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1705903687000,True,True,r_9immfion,59741
bo_ped7bge9jc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705812787000,True,True,r_465flmrwjl,12837
bo_56sg6h6peb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705549294000,True,True,r_c6j2c3jcnj,33637
bo_dh5dhs8y4x,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1705447160000,False,False,r_dmvka38vu8,81895
bo_mvyedacqdy,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1705423180000,True,True,r_g757an2p2c,0
bo_aq6znu329y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705189791000,True,True,r_rdveq4kcfc,17459
bo_9dg3m78khy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704990755000,True,True,r_bjh8mb84ue,12837
bo_hxdmxwmc3f,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,MARKETPLACE,1704913997000,False,False,r_1g6zjos83y,0
bo_mekxfufqcm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704413200000,True,True,r_zgry3x8fzz,12837
bo_dfgrv9mzxe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1703964611000,True,True,r_dmvka38vu8,45029
bo_4cwenh6qw8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1703173666000,False,False,r_1g6zjos83y,25551
bo_8w4vccjdtr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702598899000,True,True,r_8n1d2bbo0g,19406
bo_rtbtkrzmap,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702583299000,False,False,r_1g6zjos83y,38361
bo_gvxacgcufm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702579099000,True,True,r_vu1kr4sqfi,19406
bo_m8h33pmj3c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702503236000,False,False,r_1iceu5ajuf,77556
bo_u5p2jrvcaj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702064956000,True,True,r_f3xwm2hqer,17142
bo_gdgxs7jwqt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701714833000,False,False,r_1g6zjos83y,27218
bo_z3uvztjt4y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701534401000,False,False,r_62i6i0hp,15659
bo_tpskpng3e5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701353294000,True,True,r_pxc711toka,25599
bo_rgbktxv6gd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701310774000,True,True,r_5rjrtur07d,32481
bo_y9sev8dbcj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701267951000,True,True,r_72ezhkm3pw,11773
bo_j2ntg9whck,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701185427000,True,True,r_58vw7f0gux,14250
bo_78tpbamgq3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701028158000,True,True,r_1iceu5ajuf,46116
bo_wkqqgyx6qv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701013758000,True,True,r_62i6i0hp,26216
bo_crdadbzk55,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700960958000,True,True,r_atdwjddxrt,11685
bo_4mccm6h5bf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700947758000,True,True,r_12eedtcy61,39677
bo_hj9mss5snc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700935458000,True,True,r_e8xspbr4sg,45201
bo_deyhyske8f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700804158000,True,True,r_a8kabiyn,25191
bo_x2maepfnzt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700444098000,True,True,r_6ybqhqee,18789
bo_wpvhn4xucu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700434198000,True,True,r_1g6zjos83y,88761
bo_n8zgnrcgbs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700416198000,True,True,r_cr3fxxms9z,15486
bo_79m4t2dfzp,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700398198000,True,True,r_amkvzx3d,47760
bo_pwvz9974dw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700167664000,True,True,r_ejbz7uxtaq,92819
bo_t2he6fpqbh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700166164000,True,True,r_6psbenp30a,12837
bo_p83vjn3mbh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700054449000,True,True,r_1kz84x6xh5,66270
bo_s67x49z8cq,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1700054449000,True,False,r_1kz84x6xh5,0
bo_qagcmz3h9a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699912260000,False,False,r_56e6tj1o,9047
bo_577xzadxd2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699911060000,True,True,r_2d33b7kr,12837
bo_zxhaz7dwkj,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1699901875000,True,True,r_pbqs8ak8j5,0
bo_n3fkz2w8hv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699898575000,True,True,r_equb9rm0,21272
bo_b4kt4e6hcu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699840675000,True,True,r_8d382cga,11360
bo_twx27eru6c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699761775000,True,True,r_4d9cu243fb,50818
bo_w4gvmg3p8a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1699470340000,True,True,r_56e6tj1o,36940
