token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_tfzavyyrhz,bo_g9z8zrmtkg,5,"Stunning jewellery. Excellent quality, my first order flew out… ",0,Habari,1725822139000,1725994800000
br_4mc9apwzqt,bo_aytjqsh4y2,5,Always very pleased with Organic Tagua.  And my customers love it! ,0,Kim Galland,1725064394000,1725476400000
br_hbggk39rs6,bo_e696znjgwj,5,Always a great item. This jewelry  is amazing! ,0,Bijou's Boutique,1723402196000,1723575600000
br_4j6r96xtft,bo_yypnxh9s7v,5,Love these! We love the quality and colors of the necklaces. It would be handy if they paired with the earrings so that I could order together at the same time.,0,Kathy's Dress Shop,1722872675000,1723057200000
br_t6sgz3jm28,bo_y9wsey3jfz,5,Excellent customer service and the products are great.  ,0,d/b/a/ Naturally Inspired,1722735938000,1722970800000
br_g7wd3u3pbf,bo_qb2c7amw6c,5,"Fast Shipping, Beautiful Jewelry, Great Value! This is a. beautiful, well-made collection of Tagua Jewelry. My customers are thoroughly impressed so far. ",0,Loved Boutique,1722094520000,1722366000000
br_xp92jbw5jc,bo_s3xtbq9f4e,5,Smooth transaction Absolutely delighted with this delivery - very excited to offer such gorgeous pieces to my customers. I’ll be back! Thank you ,0,Habari,1721159156000,1721329200000
br_ygyu3v8utt,bo_3p9sez892j,5,Supef ,0,Gela-Hüte,1720886309000,1721156400000
br_4d5cp8qjk5,bo_62r3e3t92b,5,"Customers love! They love the story, the colors and how it ""feels""! I love the great markup! Thanks for that! Bought earrings, bracelets, and a variety of necklaces.",0,Erica's Boutique and Skin Care Center,1718477876000,1718737200000
br_vutv3mdkf7,bo_qv2sv477fz,5,We love our Tagua These are such beautiful pieces and sell quickly! Love the colors and quality!,0,Kathy's Dress Shop,1716829429000,1717009200000
br_mhajuzze5g,bo_t34q7dua2s,5,LOVE THE BRIGHT COLORS AND LIGHT WEIGHT MATERIAL ,0,MONICA'S RUSTIC ROSE,1715890466000,1716231600000
br_kj8ts6knug,bo_ptm897fft2,5,Elevated Tagua jewelry ,0,Sign of the Dolphin,1715799154000,1715972400000
br_vynfnf7gj4,bo_f3hf3rpu6x,5,"Colorful Lightweight Jewelry  Perfect jewelry for the tropic!  Gorgeous, great quality, and enough choices for all my customers!",0,Lagniappe Designs,1714856826000,1715108400000
br_jcfzkusruv,bo_cmy5wckqgq,5,Great product and service 👌  ,0,LIDIA HOLL,1714586294000,1714762800000
br_chtdgkbz87,bo_5upxuhb59d,5,I've ordered from them for years.  Great product I love this company and I love their jewelry. Great seller,0,Berri Lynn's,1713540079000,1713898800000
br_muzf4nffqv,bo_2jf24sg8gw,5,Love these earrings !!! ,0,Bikini Company,1713395178000,1713553200000
br_sgab82b7j5,bo_5vs3m587c9,5,Very pretty natural jewelry with a wide variety of colors  ,0,Le Sourire Multicolore,1712074880000,1712257200000
br_6faf6hkdm9,bo_74vap5mj4j,4,Two  earring were broken  ,0,Dawn Bacchus,1711004284000,1711393200000
