tokens,publish_at_values,created_at_values,titles,ratings,brand
br_tfzavyyrhz,1725994800000,1725822139000,"Stunning jewellery. Excellent quality, my first order flew out…",5,Organic Tagua Jewelry
br_4mc9apwzqt,1725476400000,1725064394000,Always very pleased with Organic Tagua.  And my customers love it!,5,Organic Tagua Jewelry
br_hbggk39rs6,1723575600000,1723402196000,Always a great item. This jewelry  is amazing!,5,Organic Tagua Jewelry
br_4j6r96xtft,1723057200000,1722872675000,Love these!,5,Organic Tagua Jewelry
br_t6sgz3jm28,1722970800000,1722735938000,Excellent customer service and the products are great. ,5,Organic Tagua Jewelry
br_g7wd3u3pbf,1722366000000,1722094520000,"Fast Shipping, Beautiful Jewelry, Great Value!",5,Organic Tagua Jewelry
br_xp92jbw5jc,1721329200000,1721159156000,Smooth transaction,5,Organic Tagua Jewelry
br_ygyu3v8utt,1721156400000,1720886309000,Supef,5,Organic Tagua Jewelry
br_4d5cp8qjk5,1718737200000,1718477876000,Customers love!,5,Organic Tagua Jewelry
br_vutv3mdkf7,1717009200000,1716829429000,We love our Tagua,5,Organic Tagua Jewelry
br_mhajuzze5g,1716231600000,1715890466000,LOVE THE BRIGHT COLORS AND LIGHT WEIGHT MATERIAL,5,Organic Tagua Jewelry
br_kj8ts6knug,1715972400000,1715799154000,Elevated Tagua jewelry,5,Organic Tagua Jewelry
br_vynfnf7gj4,1715108400000,1714856826000,Colorful Lightweight Jewelry ,5,Organic Tagua Jewelry
br_jcfzkusruv,1714762800000,1714586294000,Great product and service 👌 ,5,Organic Tagua Jewelry
br_chtdgkbz87,1713898800000,1713540079000,I've ordered from them for years.  Great product,5,Organic Tagua Jewelry
br_muzf4nffqv,1713553200000,1713395178000,Love these earrings !!!,5,Organic Tagua Jewelry
br_sgab82b7j5,1712257200000,1712074880000,Very pretty natural jewelry with a wide variety of colors ,5,Organic Tagua Jewelry
br_6faf6hkdm9,1711393200000,1711004284000,Two  earring were broken ,4,Organic Tagua Jewelry
br_gndzs8648u,1710270000000,1709942195000,Purchased jewelry from this brand for my Floral Shop & Boutique. WOW!,5,Organic Tagua Jewelry
br_akn2t6rdjm,1708718400000,1708541443000,Fast shipping. The colors are Beautiful and the quality is amazing. ,5,Organic Tagua Jewelry
br_uqvdj7gbnu,1708632000000,1708449125000,Love this jewelry and so do my customers. Great ads to outfits! Just love the variety and colors!!!,5,Organic Tagua Jewelry
br_86fh99bzwq,1707940800000,1707701629000,great products,5,Organic Tagua Jewelry
br_q3zpspz623,1707336000000,1707147424000,nice,5,Organic Tagua Jewelry
br_3buud96qpw,1706644800000,1706238758000,Excellent ,5,Organic Tagua Jewelry
br_w8enhyn3yf,1705521600000,1705155308000,This jewelry is amazing!,5,Organic Tagua Jewelry
br_3v5y4ydn5t,1705435200000,1704976363000,Fantastic!,5,Organic Tagua Jewelry
br_jk3vqhu86u,1697050800000,1696880443000,"Lightweight, colorful and big!",5,Organic Tagua Jewelry
br_nbg49a4mfn,1696964400000,1696528041000,I love the colors and light weight ,5,Organic Tagua Jewelry
br_sawtybs265,1696964400000,1696527991000,Excellent jewelry. ,5,Organic Tagua Jewelry
br_zpmnxgygqs,1696014000000,1695817490000,Very disappointed with the products. The studs of the earrings are very easy to pull off.,1,Organic Tagua Jewelry
br_bnwwy56uhw,1693335600000,1692990647000,We LOVE Organic Tagua Jewelry,5,Organic Tagua Jewelry
br_xg6kkrq8fq,1692817200000,1692639451000,Beautiful jewelry!,5,Organic Tagua Jewelry
br_brggjhmjsf,1692385200000,1692190013000,The billing is incorrect ,1,Organic Tagua Jewelry
br_9feesj5m4e,1692212400000,1692032010000,Looks great in my shop!,5,Organic Tagua Jewelry
br_2qhswehdfg,1692212400000,1691999834000,Wow! Really Wonderful! ,5,Organic Tagua Jewelry
br_yxcmpmjxsg,1692126000000,1691860473000,Love these light weight casual earrings!,5,Organic Tagua Jewelry
br_ddvq9yk8f8,1691607600000,1691420944000,Beautiful!,5,Organic Tagua Jewelry
br_pvh6tc8emb,1689879600000,1689656967000,Great!,5,Organic Tagua Jewelry
br_ccz2wv6fqw,1688756400000,1688586150000,Great product with good message. ,5,Organic Tagua Jewelry
br_yfaytv5ptf,1687460400000,1687294524000,Absolutely fun fabulous jewelry!,5,Organic Tagua Jewelry
br_swkuer4ny3,1687460400000,1687286272000,Such unique pieces,5,Organic Tagua Jewelry
