tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_kke84ht9r5,Not On Faire2,ONE_TIME,COMPLETED,1727375401000.0,11806.0,9765.0,1054.0,15.0,0.0,0.0,0.0,0.0
bmc_x263cknmsa,Don't Miss up to 20% Off!,ONE_TIME,COMPLETED,1727182830000.0,17188.0,13207.0,1581.0,15.0,0.0,0.0,0.0,0.0
bmc_8q6v7ehysc,Save up to 20% Off your ENTIRE Order! ,ONE_TIME,COMPLETED,1726578024000.0,17215.0,13606.0,1595.0,15.0,3.0,873.12,2.0,629.68
bmc_r5t3qb6z3r,It's Live! Tagua Birthday Blowout SALE! ,ONE_TIME,COMPLETED,1726270225000.0,17234.0,14088.0,1762.0,29.0,3.0,748.12,2.0,504.68
bmc_ynaxgd3wxu,The ASHLEY Collection,ONE_TIME,COMPLETED,1726146006000.0,17248.0,13139.0,1582.0,23.0,2.0,629.68,0.0,0.0
bmc_57ymaff3m9,Not On Faire,ONE_TIME,COMPLETED,1725973209000.0,11867.0,9732.0,1069.0,6.0,0.0,0.0,0.0,0.0
bmc_tztun4mvu8,"New Season, New Colors for Fall",ONE_TIME,COMPLETED,1725541249000.0,17275.0,13864.0,1736.0,29.0,2.0,870.96,0.0,0.0
bmc_tjbxk35pdr,New Hand-Carved Beauties for Fall,ONE_TIME,COMPLETED,1724158841000.0,17228.0,13354.0,1388.0,18.0,0.0,0.0,0.0,0.0
bmc_zw2g82kxza,Tagua's Color of the Month,ONE_TIME,COMPLETED,1723554048000.0,17267.0,13382.0,1417.0,35.0,1.0,279.88,1.0,279.88
bmc_x2v3tezv6c,NEW! Aracely Necklace,ONE_TIME,COMPLETED,1722967242000.0,17297.0,13230.0,1398.0,21.0,1.0,191.98,1.0,311.98
bmc_8muyqk9j3q,LAST DAY to Shop Faire Summer Market!,ONE_TIME,COMPLETED,1722254402000.0,17333.0,14762.0,1481.0,16.0,0.0,0.0,0.0,0.0
bmc_wzfbq2gkrx,Only 2 More Days to Shop Faire Summer Market!,ONE_TIME,COMPLETED,1722171603000.0,17357.0,14616.0,1469.0,20.0,2.0,1223.0,2.0,712.0
bmc_68c28nfeg6,Faire Summer Market EXTENDED!,ONE_TIME,COMPLETED,1721995211000.0,17425.0,13938.0,960.0,13.0,0.0,0.0,0.0,0.0
bmc_cy6nnnzkwg,Less than 48 hours to Shop Faire Summer Market! (Copy 1),ONE_TIME,DRAFT,,,,,,,,,
bmc_r2pg8rw7fd,Less than 48 hours to Shop Faire Summer Market!,ONE_TIME,COMPLETED,1721822411000.0,17447.0,12674.0,1225.0,16.0,5.0,1826.8,3.0,868.92
bmc_2235a629tj,Faire Summer Market is Happening Now! ,ONE_TIME,COMPLETED,1721649659000.0,17826.0,12681.0,1298.0,37.0,11.0,8700.2,6.0,3267.42
bmc_vd982va3vb,Faire Summer Market Starts Soon! ,ONE_TIME,COMPLETED,1721307651000.0,16614.0,12862.0,1298.0,14.0,11.0,9438.72,2.0,1398.0
