tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_5559ghk4hs,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1727639792000,False,False,r_2nauu1b0,41147,Virtuosa Collections,,Clothing Boutique,True
bo_spyuxbwc8h,NEW_ORDER,PROCESSING,FULFILLED,ELEVATE,1727563892000,False,False,r_3u500tv8py,22718,Garden Gate Floral,,,True
bo_dppx7pt6v7,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1727451762000,False,False,r_5y895sf1vb,20812,Ganesh Imports,https://maps.google.com/?cid=5405457512351700103,Clothing Boutique,False
bo_ek85fwy88b,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1727448162000,False,False,r_dfa05ofd8f,23516,Simply Beautiful Boutique,http://greenportnotjustbows.com,Clothing Boutique,True
bo_ga6vyee3m4,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1727388762000,False,False,r_brbmy7da,21483,z.bella boutique,http://www.z.boutique,Clothing Boutique,False
bo_c7bqcz3qe7,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1727371085000,False,False,r_cz6vbgzbyn,27586,Tera’s Merle Norman,,Clothing Boutique,True
bo_b8g857dtes,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1727308085000,False,False,r_dcxgvx1kao,17083,GGTrendz,https://ggtrendz.com/,General or Mercantile Store,False
bo_pf2xsj28gq,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1727298785000,False,False,r_1eihgbjhj9,17411,Revealed Art Gallery,http://revealedgallery.com/,Home Decor Store,True
bo_q438wz8cjw,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1727292485000,False,False,r_6t1un49qw6,43972,CRAZY LADYZ,,Clothing Boutique,True
bo_h8m2gxnwpn,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1727202369000,False,False,r_mn566fzwh5,29327,In The Haus,,Clothing Boutique,True
bo_zmpfd8dr2z,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1727195469000,False,False,r_zcjqsdswft,21534,La Casita,,Gift Store,True
bo_2ajxzrp8ma,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1726947544000,False,False,r_ehugjrk6ij,31815,Amaryllis,,Clothing Boutique,True
bo_bh633fb594,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1726931644000,False,False,r_2qp279kber,21881,Eggs 'n' tricities,http://www.eggsntricities.com/,,False
bo_4y9nvg6fta,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1726856655000,True,True,r_b2p9tftedo,17902,Until There's A Cure,https://store.until.org/jewelry,,False
bo_fnse4bmbhk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1726795160000,False,False,r_a1bmh7mm,20738,Myers' Furs & Fashions,http://www.myersfashions.com/,Clothing Boutique,False
bo_t3fk32hv9g,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1726756964000,False,False,r_a1g03799pl,23847,Native,http://www.shopnativeonline.com/,Gift Store,True
bo_few2jv3wzn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1726685160000,False,False,r_19ky3j72,28978,Folklorico,https://maps.google.com/?cid=14704993755977660333,,True
bo_r4pc4zftvk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1726614090000,False,False,r_ex67gtt8,43933,The Clothing Cove,http://www.theclothingcove.com/,,True
bo_c2um563c7p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1726600120000,False,False,r_c9cdqhdzdz,34710,OMG That's Chic,http://www.omgthatschic.com/,Clothing Boutique,True
