product_token,name,category,sales_count,order_count,visit_count,date
p_10chxfq0gp,Michelle Bracelet,Bangle Bracelets,2,1,18,2023-01-01
p_1riocdheme,Alma Earrings,Dangle Earrings,316,18,29,2023-01-01
p_1ui5sizqns,SALE! Sandy Bracelet,Beaded Bracelets,6,1,3,2023-01-01
p_1w72v2kvdn,Marcela Necklace,Bib Necklace,24,10,44,2023-01-01
p_22ynpbyk7m,SALE! Rita Necklace,Bib Necklace,37,12,60,2023-01-01
p_242z2p7b8f,Maribel Necklace,Bib Necklace,0,0,0,2023-01-01
p_24jmcv7brb,Kylie Earrings,Dangle Earrings,0,0,0,2023-01-01
p_25esjx6ugj,Tagua Slice Necklace,Beaded & Pearl Necklace,185,28,70,2023-01-01
p_26dh9okotu,Juanita Bracelet,Beaded Bracelets,38,7,20,2023-01-01
p_26nd2vzhy9,Ida Necklace,Beaded & Pearl Necklace,0,0,0,2023-01-01
p_2737x6vauw,SALE! Creta Necklace,Link & Chain Necklace,8,6,37,2023-01-01
p_2ax256nmuf,Clementine Necklace,Beaded & Pearl Necklace,0,0,0,2023-01-01
p_2ccy2yncdw,Jia Bracelet,Beaded Bracelets,26,4,5,2023-01-01
p_2dp7fx6aqm,Marena Earrings,Dangle Earrings,0,0,0,2023-01-01
p_2j3xrtahhc,Aura Necklace,Beaded & Pearl Necklace,0,0,0,2023-01-01
p_2mdy3jta46,Frida Bracelet,Beaded Bracelets,0,0,0,2023-01-01
p_2ns49yh2zz,Luciana Earrings,Dangle Earrings,70,17,44,2023-01-01
p_2tuyj2p62h,Key West Necklace,Bib Necklace,0,0,0,2023-01-01
p_2wmaacyje8,Gala Necklace,Bib Necklace,0,0,0,2023-01-01
p_34kuuffujc,Solange Earrings,Dangle Earrings,0,0,0,2023-01-01
p_372czzx3k7,Raindrop Bracelet,Beaded Bracelets,0,0,0,2023-01-01
p_3bhh3uym54,Magnolia Earrings,Dangle Earrings,0,0,0,2023-01-01
p_3em8xex1dt,Petra Earrings,Dangle Earrings,6,2,4,2023-01-01
p_3fbzqzzzcd,SALE! Jenn Bracelet,Cuff Bracelets,14,3,6,2023-01-01
p_3guqktew3p,Sienna Necklace,Bib Necklace,0,0,0,2023-01-01
p_3h7ty8gg93,Stackable Bracelet,Beaded Bracelets,24,7,22,2023-01-01
p_3nomwfcmgb,Galapagos Bracelet Collection,Charm & Dangle Bracelets,24,1,4,2023-01-01
p_3pbgaf13q3,Yazmine Earrings,Dangle Earrings,90,13,30,2023-01-01
p_3q511307v8,SALE! Sucre Bracelet,Bangle Bracelets,30,4,17,2023-01-01
p_3whe5ybjmj,Chloe Necklace,Beaded & Pearl Necklace,0,0,0,2023-01-01
p_3xk8suxb3p,SALE! Gracia Bracelet,Beaded Bracelets,0,0,2,2023-01-01
p_3y5ssxbt98,Zoraida Bracelet,Beaded Bracelets,24,4,7,2023-01-01
