token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_mu4g8ut2kb,bo_h99s8be9xg,5,Love this product!!!!! ,0,The Craft Nook,1724427319000,1724785200000.0
br_6t2zu7scsf,bo_nht8k8846x,5,"Our studio love Teleties! Our clients love all of our Teleties products, especially the flat clips as they can be worn while we are doing core exercises and others where we lay flat on our backs. They are great quality and come in a nice variety of colors. Thanks for making quality products that our clients enjoy!",0,barre3 Fort Mill,1724422307000,1724785200000.0
br_6bu4k64pwp,bo_42yzu8xrnp,5,"Customers love the colors, new clips, huge selection!  Love this company! ",0,Hendersonville ACE Hardware,1724379173000,1724785200000.0
br_hxb4evc7uu,bo_tc37fsztqr,5,Customers love these!  We always sell like crazy and our girls love them SO much! ,0,Forever Adored Boutique,1724360022000,1724698800000.0
br_cd9fcu8v77,bo_r5aq2thdmv,5,"Excellent, reliable retailer Teleties always fulfills my orders accurately and ships promptly. Their products are best sellers in my salon. I will continue to order from them. The new flat clips are very popular!",0,Blo Blow Dry Bar,1724343967000,1724698800000.0
br_hwmnaq5bms,bo_azvvsgqbj9,5,"A new staple product in our studio! We’re a boutique reformer Pilates studio, and the flat hair clips have truly been a game changer for both us and our clients! We sold out of them within days of stocking them. Teleties are now a staple in our studio, thanks to their incredible comfort during Pilates workouts and in everyday use! We could not be happier and recommend them to our clients daily. Thanks Teleties! ",0,Paradise Pilates TI,1724332768000,1724698800000.0
br_u7u42vjqpk,bo_kgncscsr23,5,Great product Our customers love the selection and new styles of clips.,0,LandyLane Boutique Inc.,1724291355000,1724698800000.0
br_r92g5yuxdq,bo_7yess4b9ze,5,"Love! We have been retailing teleties for years now and our clients love them just as much as we do. No other hair accessories that I’ve found compare to the look, feel and quality. Will continue to carry them and happy they continue to come out with new styles. ",0,Bloom,1724278388000,1724439600000.0
br_5cymwdpfyq,bo_sbz7qt9ajb,5,love ,0,Mimi’s,1724266926000,1724439600000.0
br_r3taznhxmt,bo_rja6urwqbz,5,love ,0,Mimi’s,1724266913000,1724439600000.0
