collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Summer Best Sellers,1718640353000,1718719743000,10,0,0,0,TELETIES
Peach Fuzz Collection,1717510098000,1718650791000,7,0,0,0,TELETIES
Summer Collection,1716300207000,1718640353000,70,0,0,0,TELETIES
Square Flat Clip,1715696052000,1718640353000,20,0,0,0,TELETIES
Americana Collection,1715091940000,1718658984000,30,0,0,0,TELETIES
Classic Clip Collection,1704749655000,1718640353000,67,0,0,0,TELETIES
Cool Kids Collection,1712836292000,1718640353000,12,0,0,0,TELETIES
Open Clip Collection,1704749484000,1718640353000,69,0,0,0,TELETIES
Spring Collection,1705438532000,1718640353000,43,0,0,0,TELETIES
Scrunchies,1700066197000,1718640353000,24,0,0,0,TELETIES
Flat Oval Hair Clips,1699540012000,1718640353000,17,0,0,0,TELETIES
TELETIES Headbands,1704398367000,1718640353000,11,0,0,0,TELETIES
TELETIES Core Hair Ties,1691703493000,1718658984000,70,0,0,0,TELETIES
Collegiate Collection ,1691671972000,1718640353000,68,0,0,0,TELETIES
Summer 2024 Prints ,1717524403000,1718816192000,15,0,0,0,Adorro
Americana Collection (4th of July/USA) ,1714419188000,1718687235000,11,0,0,0,Adorro
Summer Headband Collection ,1716398635000,1718809837000,40,0,0,0,Adorro
Last Chance Styles ,1715358591000,1718688837000,41,0,0,0,Adorro
Summer Edit ,1714706744000,1718679737000,17,0,0,0,Adorro
Core Colors Collection,1705811941000,1718415704000,18,0,0,0,Adorro
New Animal Hair Accessories,1718273036000,1718273087000,21,0,0,0,TheDivaSoap
HOTSALE,1701162919000,1718273087000,18,0,0,0,TheDivaSoap
Fruit and Vegetable Hairpins,1686831753000,1718273087000,22,0,0,0,TheDivaSoap
Eco-friendly Material Hair Clip,1715073701000,1718273087000,64,0,0,0,TheDivaSoap
Trendy: Animals,1681293591000,1718273087000,68,0,0,0,TheDivaSoap
Spring Hair Clip,1710387015000,1718273087000,19,0,0,0,TheDivaSoap
Trendy: Checkerboard,1682577112000,1718273087000,15,0,0,0,TheDivaSoap
Acetate Hair clips | Eco-Friendly,1673348344000,1718273087000,33,0,0,0,TheDivaSoap
Oversized Claw Clips,1675392922000,1718273087000,12,0,0,0,TheDivaSoap
Headbands,1678186331000,1718273087000,25,0,0,0,TheDivaSoap
Ponytail Hair Ties,1683712052000,1718273087000,23,0,0,0,TheDivaSoap
