product_token,name,category,sales_count,order_count,visit_count,date
p_4kc3cryh43,Peach Fuzz,Hair Ties,0,0,0,2023-01-01 00:00:00
p_22c4d3kfzw,"Holla-graphic - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,99,55,28,2023-01-01 00:00:00
p_25nbxh8gue,Aruba Terry Cloth,Hair Ties,0,0,0,2023-01-01 00:00:00
p_26d2zsqj4z,Michigan State University Medium Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_26srsm87qk,"Crystal Clear - Small Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,347,132,46,2023-01-01 00:00:00
p_2eu9zq779h,"University of Miami - Large Hair Coils, Hair Ties, 3-pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_2f8364bxxz,"Crystal Clear - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,209,85,33,2023-01-01 00:00:00
p_2gp9dr3tnk,"Clemson University - Small Hair Coils, Hair Ties, 3-pack",Hair Ties,42,14,4,2023-01-01 00:00:00
p_2scptg5e5h,"Soccer - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_2v2s59zzpg,"Auburn University - Large Hair Coils, Hair Ties, 3-pack",Hair Ties,31,15,6,2023-01-01 00:00:00
p_2waeygd9b8,Classic Coconut White Tiny Hair Clip,Hair Claws & Clips,188,86,52,2023-01-01 00:00:00
p_2wcrg32rqj,"Clemson University - Large Hair Coils, Hair Ties, 3-pack",Hair Ties,27,12,14,2023-01-01 00:00:00
p_2xsev7933n,"Peach Fuzz - Large Spiral Hair Coils, Hair Ties, 3-Pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_2y2gwxysdx,Classic Mango for it! Tiny Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_36gzhm36en,"Frose - Small Spiral Hair Coils, Hair Ties, 3-Pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_36rhwfzwux,Blue My Mind - Silk Scrunchie Large,Scrunchies,0,0,0,2023-01-01 00:00:00
p_399sp3yqq7,"Nantucket Navy - Small Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,182,89,16,2023-01-01 00:00:00
p_3ah9hee22j,Not Today - Large,Hair Ties,0,0,0,2023-01-01 00:00:00
p_3as47pvavs,Classic Jet Black Tiny Hair Clip,Hair Claws & Clips,203,86,45,2023-01-01 00:00:00
p_3axh8xqncq,University of Arkansas Large Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_3fbjxnx67j,Open Jet Black Tiny Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_3fxvjaz5yy,"For the Love of Nudes - Small Spiral Hair Coils, Hair Ties",Hair Accessories Sets,424,167,121,2023-01-01 00:00:00
p_3g5qsmrt5q,"Washed Denim - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,158,77,42,2023-01-01 00:00:00
p_3mn3wb6u9k,"Scarlet Red - Small Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,134,66,28,2023-01-01 00:00:00
p_3p279vyt9w,Peach Fuzz Large Flat Round Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_3twcuda5qb,"University of Oregon - Small Hair Coils, Hair Ties, 3-pack",Hair Accessories Sets,0,0,0,2023-01-01 00:00:00
p_3wux4zuc3m,"Upstage Beige - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_3z8wqcy9c2,"Eucalyptus - Large Spiral Hair Coils, Hair Ties, 3-pack",Hair Ties,0,0,0,2023-01-01 00:00:00
p_3zzx2b3aex,Mango for it! Small Flat Square Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_42nzm2nc73,Classic Mint to Be Large Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_452nbyhnmj,Classic Coconut White Medium Hair Clip,Hair Claws & Clips,522,202,92,2023-01-01 00:00:00
p_45dfumjem3,Jet Black Small Scrunchie,Scrunchies,0,0,0,2023-01-01 00:00:00
p_477s9whky5,Open Nutmeg Medium Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_4edjd45xnk,Open Bora Bora Large Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
p_4fksft6eyx,Open Paradise Pink Tiny Hair Clip,Hair Claws & Clips,0,0,0,2023-01-01 00:00:00
