collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
SuperBelly,1708010646000.0,1708010646000.0,3.0,0.0,0.0,0.0,Blume
Valentine's Day,1705517946000.0,1708010646000.0,4.0,0.0,0.0,0.0,Blume
Winter Favourites,1705517861000.0,1708010646000.0,3.0,0.0,0.0,0.0,Blume
Blume Starter Kit,1689031238000.0,1708010646000.0,7.0,0.0,0.0,0.0,Blume
Supplements,1664472860000.0,1696265371000.0,4.0,0.0,0.0,0.0,Matcha & CO
Matcha Accessories,1664472861000.0,1696265338000.0,2.0,0.0,0.0,0.0,Matcha & CO
Bestsellers,1664472859000.0,1696265287000.0,5.0,0.0,0.0,0.0,Matcha & CO
Ceramics,1707413189000.0,1707413545000.0,5.0,0.0,0.0,0.0,The Tea Spot
Green Tea,1680022406000.0,1707413192000.0,21.0,0.0,0.0,0.0,The Tea Spot
Sachet Pouches ,1696350437000.0,1707413192000.0,16.0,0.0,0.0,0.0,The Tea Spot
Steepware ,1685991456000.0,1707412632000.0,11.0,0.0,0.0,0.0,The Tea Spot
