Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,brand
Loose Tea,Cardamom Rose Concentrate Barista (Case of 4),False,p_hd2mz7ykc6,FOR_SALE,120.0,60.0,Dona
Loose Tea,Kyoto Matcha,False,p_6dtk88pu3t,FOR_SALE,36.0,18.0,Dona
Loose Tea,Retail Loose Leaf Herbal Tea (Case of 8),False,p_dpe5vne7dy,FOR_SALE,112.0,56.0,Dona
Loose Tea,Retail Loose Leaf Green Tea (Case of 8),False,p_q9gtpvd4g6,FOR_SALE,112.0,56.0,Dona
Loose Tea,Retail Loose Leaf Black Tea (Case of 8),False,p_y8juhveucd,FOR_SALE,112.0,56.0,Dona
Loose Tea,Bulk Loose Leaf Herbal Tea,False,p_gzp3tudvgv,FOR_SALE,56.0,28.0,Dona
Loose Tea,Bulk Loose Leaf Green Tea,False,p_awzc6ujkpp,FOR_SALE,56.0,28.0,Dona
Loose Tea,Bulk Loose Leaf Black Tea,False,p_cdvhf4pp4e,FOR_SALE,56.0,28.0,Dona
Loose Tea,Bulk Sachets Herbal Tea (50 Count),False,p_jf3xfs8zwu,FOR_SALE,48.0,24.0,Dona
Loose Tea,Bulk Sachets Green Tea (50 Count),False,p_ughqr8e4ct,FOR_SALE,48.0,24.0,Dona
Loose Tea,Spice Dust | Turmeric,False,p_ghrsgnfwn9,FOR_SALE,12.0,8.0,Dona
Tea Bags,Retail Herbal Tea Sachets (Case of 8),False,p_9b5557nnwu,FOR_SALE,112.0,56.0,Dona
Tea Bags,Retail Green Tea Sachets (Case of 8),False,p_3u53pz494f,FOR_SALE,112.0,56.0,Dona
Tea Bags,Retail Black Tea Sachets (Case of 8),False,p_xt64gtmaxs,FOR_SALE,112.0,56.0,Dona
Tea Bags,Bulk Sachets Black Tea (50 Count),False,p_qjfdspg4d9,FOR_SALE,48.0,24.0,Dona
Tea Bags,Mini Masala Chai Concentrate (Case of 12),False,p_1irqz4y0as,FOR_SALE,96.0,48.0,Dona
Tea Bags,Retail Unsweetened Chai Concentrate (Case of 12),False,p_5r28cqqpwk,FOR_SALE,144.0,78.0,Dona
Tea Bags,Retail Turmeric Concentrate (Case of 12),False,p_drg5p46p,FOR_SALE,144.0,78.0,Dona
Tea Bags,Unsweetened Chai Concentrate Barista  (Case of 4),False,p_5njte3tcu7,FOR_SALE,120.0,60.0,Dona
Soda & Carbonated Drink,Juniper Lime Spice Soda (Case of 12),False,p_v5ygk7fgy6,FOR_SALE,66.0,33.0,Dona
Soda & Carbonated Drink,Pink Peppercorn Lemon Spice Soda (Case of 12),False,p_sx56gruhtr,FOR_SALE,66.0,33.0,Dona
Soda & Carbonated Drink,Turmeric Honeybush Spice Soda (Case of 12),False,p_peadrtbnze,FOR_SALE,66.0,33.0,Dona
Instant Coffee & Espresso,Masala Chai Concentrate Barista (Case of 4),False,p_a63w3ilr1d,FOR_SALE,120.0,60.0,Dona
Instant Coffee & Espresso,Turmeric Concentrate Barista  (Case of 4),False,p_azvteo8uo3,FOR_SALE,120.0,60.0,Dona
Dried Spice,Spice Dust | Cardamom Rose,False,p_7eems22qpx,FOR_SALE,12.0,8.0,Dona
Iced Tea,Retail Masala Chai Concentrate (Case of 12),False,p_cnfrfyc3,FOR_SALE,144.0,78.0,Dona
Health & Detox Tea,Rooibos Matcha Tea,False,p_5krfqbpgfv,FOR_SALE,10.68,6.3,Matcha & CO
Health & Detox Tea,Reserve Matcha Tea,False,p_bhdxpeqrv8,FOR_SALE,37.52,22.13,Matcha & CO
Health & Detox Tea,Premium Matcha Tea,False,p_xkpvcxjknw,FOR_SALE,16.05,9.47,Matcha & CO
Health & Detox Tea,Original Matcha Tea,False,p_mfxnux6exx,FOR_SALE,10.68,6.3,Matcha & CO
Health & Detox Tea,Jasmine Matcha Tea,False,p_88gu2ggamu,FOR_SALE,10.68,6.3,Matcha & CO
Health & Detox Tea,English Breakfast Matcha Tea,False,p_amrcbqt3ua,FOR_SALE,10.68,6.3,Matcha & CO
Health & Detox Tea,Earl Grey Matcha Tea,False,p_gfjn6s8sd3,FOR_SALE,10.68,6.3,Matcha & CO
Health & Detox Tea,Culinary Matcha Tea Powder,False,p_932egjjwuq,FOR_SALE,17.12,10.1,Matcha & CO
Health & Detox Tea,Cacao Chai Matcha Tea,False,p_7f95vszc9n,FOR_SALE,19.27,11.37,Matcha & CO
