tokens,publish_at_values,created_at_values,titles,ratings,brand
br_nn3g8vqgqa,1705003200000.0,1704791766000.0,Exactly as promised - delivered exceptionally fast and in perfect condition. ,5.0,Blume
br_hbnuw3y6kt,1703707200000.0,1703508208000.0,Perfect beginning to finish,5.0,Blume
br_jkwxjuxpzm,1702497600000.0,1702315190000.0,Great quality and fats shipping,5.0,Blume
br_2d65wjqbwf,1701115200000.0,1700622747000.0,Great service!,5.0,Blume
br_wq2d9cfkvx,1698433200000.0,1698262356000.0,fast ship,5.0,Blume
br_xb383bkktj,1698260400000.0,1698072458000.0,great products,5.0,Blume
br_6w93xmnqjm,1697569200000.0,1697248480000.0,Fantastic!,5.0,Blume
br_c7brk9zcch,1696964400000.0,1696540807000.0,Customers love,5.0,Blume
br_zk3f8yxysk,1695754800000.0,1695594985000.0,Delicious,5.0,Blume
br_rj4w9vgpuy,1692126000000.0,1691733566000.0,Love this product,5.0,Blume
br_qhrv3eshbm,1692039600000.0,1691702853000.0,Blume Tea is a staple!,5.0,Blume
br_54n9zynsdj,1685991600000.0,1685642643000.0,Xoxo,5.0,Blume
br_9xhbu4z6bx,1680289200000.0,1680102739000.0,So great!,5.0,Blume
br_7ad3xbdzzw,1676491200000.0,1676330086000.0,"Fast Shipping, Great services",5.0,Blume
br_fmz74nt58e,1675281600000.0,1675107832000.0,"Beautiful mugs, fast shipping",5.0,Blume
br_saph5g8ctv,1675195200000.0,1674877498000.0,Excited to try!! Gorgeous packaging! Arrived fast!,5.0,Blume
br_hk9sftd34b,1673985600000.0,1673485131000.0,Fast fulfillment time!!!!,5.0,Blume
br_rqrfgx7z7v,1671566400000.0,1671394413000.0,Customers love the product,5.0,Blume
br_gbqsjwf2se,1671566400000.0,1671317396000.0,Love these!,5.0,Blume
br_k7xfynhkd3,1671134400000.0,1670955756000.0,Fantastic as always!,5.0,Blume
br_9mk7w9x74p,1671048000000.0,1670869564000.0,Blume has great drink product.,5.0,Blume
br_bmdxd54xdn,1669838400000.0,1669657462000.0,Easy and great,5.0,Blume
br_prf99t8j8g,1668542400000.0,1668195524000.0,My fav seasonal drinks to have in our store<3 ,5.0,Blume
br_79ehnvg5px,1667937600000.0,1667577093000.0,extraordinary,5.0,Blume
br_8fkhhfk79p,1664564400000.0,1664396751000.0,I liked the shipping speed. ,5.0,Blume
br_dzq572zj2z,1663700400000.0,1663342330000.0,Amazing,5.0,Blume
br_ucz9tpvvj2,1663700400000.0,1663295670000.0,Great products,5.0,Blume
br_rzgv2mrcak,1663095600000.0,1662778219000.0,Arrived quicker than expected! Excited to showcase this product! ,5.0,Blume
br_xznj6qrhyt,1662577200000.0,1662416907000.0,Perfect,5.0,Blume
br_fmyp43fqjn,1661194800000.0,1660800366000.0,Amazing as always,5.0,Blume
br_npnsckx9md,1660676400000.0,1660336708000.0,"Looks amazing, taste isn’t great",2.0,Blume
br_9m28x7x7mx,1659553200000.0,1659358565000.0,I like the products,4.0,Blume
br_y45xz2h3xu,1658430000000.0,1658193893000.0,"Flawless order, as always!",5.0,Blume
br_5vtka2bfmy,1656356400000.0,1656005809000.0,These products are awesome ,5.0,Blume
br_2ydn3g2xe9,1656010800000.0,1655827441000.0,Everything is perfect! ,4.0,Blume
br_rrs3emrtn8,1653591600000.0,1653404713000.0,Love the taste!,5.0,Blume
br_sq4wurkpzp,1653418800000.0,1653152592000.0,Love these mugs!!,5.0,Blume
br_76t9nqe9sr,1653332400000.0,1652979660000.0,Amazing!,5.0,Blume
br_g45exqyf9d,1653073200000.0,1652852835000.0,Shipping was so quick and the packaging is beautiful!,5.0,Blume
br_dq6ycfwh7h,1652209200000.0,1651967154000.0,Amazing,5.0,Blume
br_jdxcafbr84,1651086000000.0,1650885583000.0,Drink the Rainbow ,5.0,Blume
