collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Men's Party Print Shirts ,1699987933000.0,1699987933000.0,57.0,0.0,0.0,0.0,Rodeo Clothing
Uniquely Designed Western Print Shirts ,1698186094000.0,1704910450000.0,60.0,0.0,0.0,0.0,Rodeo Clothing
Western Embroidery Jacket Collection ,1698185829000.0,1704826385000.0,12.0,0.0,0.0,0.0,Rodeo Clothing
RODEO CLOTHING NEW AZTEC COLLECTION ,1698185504000.0,1704910450000.0,21.0,0.0,0.0,0.0,Rodeo Clothing
AZTEC JACKETS ,1698184972000.0,1699987933000.0,11.0,0.0,0.0,0.0,Rodeo Clothing
AZTEC SHIRTS ,1698184858000.0,1704910450000.0,9.0,0.0,0.0,0.0,Rodeo Clothing
CLOSEOUT,1694557288000.0,1706137010000.0,32.0,0.0,0.0,0.0,Rodeo Clothing
PS500 - BEST OF THE EMBROIDERY ,1697145236000.0,1706136922000.0,7.0,0.0,0.0,0.0,Rodeo Clothing
Western Flannel shirts ,1689618015000.0,1699987933000.0,10.0,0.0,0.0,0.0,Rodeo Clothing
100% COTTON SHIRTS ,1685050117000.0,1699987933000.0,15.0,0.0,0.0,0.0,Rodeo Clothing
Western Short sleeve shirts,1683318232000.0,1699987933000.0,12.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Women's Shirts,1681856910000.0,1699987933000.0,20.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Jeans for Men,1681856410000.0,1704826352000.0,1.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Kids Collection,1681856361000.0,1704826273000.0,17.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Vest for Men,1681856291000.0,1699987933000.0,11.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Jackets for Men,1681856232000.0,1699987933000.0,5.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Print Shirts for Men,1681856164000.0,1704910450000.0,55.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Western Plaid Shirts for Men,1681856104000.0,1704826220000.0,5.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Women's Products,1681856000000.0,1699987933000.0,3.0,0.0,0.0,0.0,Rodeo Clothing
Rodeo Men's Western shirts,1681506171000.0,1699987933000.0,12.0,0.0,0.0,0.0,Rodeo Clothing
Women's Skinny & Slim Leg Jeans,1700674618000.0,1704394474000.0,18.0,0.0,0.0,0.0,Silver Jeans US
Women's Bootcut Jeans,1700674448000.0,1701301044000.0,22.0,0.0,0.0,0.0,Silver Jeans US
Women's Straight Leg Jeans,1700674080000.0,1701301027000.0,18.0,0.0,0.0,0.0,Silver Jeans US
Suki ,1700608347000.0,1704394474000.0,26.0,0.0,0.0,0.0,Silver Jeans US
Elyse,1700614011000.0,1700686133000.0,9.0,0.0,0.0,0.0,Silver Jeans US
Highly Desirable,1700614913000.0,1700686133000.0,3.0,0.0,0.0,0.0,Silver Jeans US
Boyfriend,1700614394000.0,1700686133000.0,7.0,0.0,0.0,0.0,Silver Jeans US
Girlfriend,1700615132000.0,1700686133000.0,3.0,0.0,0.0,0.0,Silver Jeans US
Avery,1700614124000.0,1700686133000.0,2.0,0.0,0.0,0.0,Silver Jeans US
Low Rise ,1700615713000.0,1701301044000.0,5.0,0.0,0.0,0.0,Silver Jeans US
Plus,1700616549000.0,1700686133000.0,27.0,0.0,0.0,0.0,Silver Jeans US
Gordie Loose Fit Straight Leg Jeans,1700684922000.0,1700686133000.0,3.0,0.0,0.0,0.0,Silver Jeans US
Craig Classic Fit Bootcut Jeans,1700685392000.0,1700686133000.0,3.0,0.0,0.0,0.0,Silver Jeans US
