tokens,publish_at_values,created_at_values,titles,ratings,brand
br_d3yd479wwy,1707940800000,1707767591000,Very pleased with our order!,5,Rodeo Clothing
br_bkxpd44j7n,1707854400000,1707438636000,It was good,5,Rodeo Clothing
br_3y7amw6ed5,1707336000000,1707149504000,Good ,4,Rodeo Clothing
br_ybdpb8tgr2,1707249600000,1706900052000,Excellent ,5,Rodeo Clothing
br_d6by85s8m9,1706731200000,1706536665000,"I absolutely love this brand, great quality!",5,Rodeo Clothing
br_urkexfjj92,1706299200000,1706103253000,"Great service, great products",5,Rodeo Clothing
br_zq4n92zusz,1705003200000,1704824095000,Great Products and Service,5,Rodeo Clothing
br_2fzzmevvhk,1704830400000,1704472447000,Absolutely amazing design,5,Rodeo Clothing
br_hqn996mqvu,1702670400000,1702491677000,In love with the jackets,5,Rodeo Clothing
br_ub8738whsj,1701720000000,1701303223000,Shirts were pressed and folded so neatly!!,5,Rodeo Clothing
br_uf5zm3mpd4,1701288000000,1701112439000,The Shirts are good looking,5,Rodeo Clothing
br_rqepb9tt3u,1701201600000,1701026576000,"Great service, great products",5,Rodeo Clothing
br_e2796hu4e9,1699387200000,1699191996000,We will definitely be ordering again! Thank you!,5,Rodeo Clothing
br_y5s8rb4b3p,1698951600000,1698774702000,Fantastic....again!,5,Rodeo Clothing
br_dqkcnebngg,1698260400000,1698093575000,All round fantastic...,5,Rodeo Clothing
br_vr6qvz9r6r,1697050800000,1696862466000,Excellent customer service,5,Rodeo Clothing
br_2hvxc7n9fz,1696964400000,1696508395000,Awesome !!,5,Rodeo Clothing
br_6cnhgt3wjy,1696359600000,1695955911000,Awesome ,5,Rodeo Clothing
br_yar3b73t8d,1695841200000,1695671101000,Great Quality,5,Rodeo Clothing
br_wn4mecrxgv,1695409200000,1695227035000,TOP QUALITY ,5,Rodeo Clothing
br_xgjg6cff9j,1694026800000,1693534741000,Beautiful Shirts!,5,Rodeo Clothing
br_zezywz7mb8,1692990000000,1692753512000,We love the shirts.,5,Rodeo Clothing
br_zrbt9g4vpc,1692298800000,1692116151000,exelent,5,Rodeo Clothing
br_eu5mabx6mt,1691521200000,1691206605000,Amazing quality,5,Rodeo Clothing
br_qn9ykrxr7f,1691521200000,1691155590000,Excelente,5,Rodeo Clothing
br_jx89refhdp,1691089200000,1690911435000,Excellent quality,5,Rodeo Clothing
br_7b7xkmz5f7,1686942000000,1686766378000,Awesome shirts!,5,Rodeo Clothing
br_jagg82dw7d,1686682800000,1686403183000,Beautiful Shirts!,5,Rodeo Clothing
br_nw35mbd385,1686337200000,1686145004000,Good customer service ,5,Rodeo Clothing
br_ydef59abv7,1686078000000,1685768732000,Came in like description. ,5,Rodeo Clothing
br_e7mxu4bhyr,1686078000000,1685749951000,Great products at a great price point,5,Rodeo Clothing
br_7zq7z7xyh2,1686078000000,1685744254000,10/10 Recommend. ,5,Rodeo Clothing
br_4qa5qpctk8,1686078000000,1685739548000,Awesome Shirts,5,Rodeo Clothing
br_gtxjed5byw,1684782000000,1684400218000,Very easy ,5,Rodeo Clothing
br_rhubcfkkjb,1682017200000,1681848237000,love them,5,Rodeo Clothing
br_u2g2v7z373,1681844400000,1681502486000,Great Quality,5,Rodeo Clothing
br_k8pm8fw4ef,1680807600000,1680622776000,So happy they came on size hangers and individual wrappers.  They are great quality for price and came fast.  ,5,Rodeo Clothing
