collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Easter Gifting,1664474260000.0,1710130280000.0,7.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Evening Ready Classics,1664473364000.0,1710130280000.0,2.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Get Cozy at Home!!,1664474283000.0,1710130280000.0,9.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Travel Ready,1664474260000.0,1710130280000.0,2.0,0.0,0.0,0.0,FRAAS - The Scarf Company
[NEW] FRAAS X JUMPER MAYBACH Collaboration,1668729721000.0,1710130280000.0,14.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Home Sustainability Edition,1664474348000.0,1710130280000.0,8.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Coastal Vibes Home Collection,1666018551000.0,1710130280000.0,5.0,0.0,0.0,0.0,FRAAS - The Scarf Company
Spring is here!,1709922295000.0,1709922295000.0,22.0,0.0,0.0,0.0,Shupaca Alpaca
CLOSEOUTS | IMMEDIATE SHIP ONLY,1705435330000.0,1712000342000.0,68.0,1.0,2000.0,1705478400000.0,Shupaca Alpaca
NEW Fantasy Plushies!,1705512608000.0,1709922295000.0,20.0,0.0,0.0,0.0,Shupaca Alpaca
Alpaca Throw Best Sellers,1664468931000.0,1709922295000.0,24.0,0.0,0.0,0.0,Shupaca Alpaca
NEW!  Alpaca Socks - Unisex,1688870127000.0,1709922295000.0,19.0,0.0,0.0,0.0,Shupaca Alpaca
Heirloom Vintage Rugs & Pillows & More,1664469732000.0,1709922295000.0,4.0,0.0,0.0,0.0,Shupaca Alpaca
Alpaca PLUSH Stuffies,1664468931000.0,1709922295000.0,12.0,0.0,0.0,0.0,Shupaca Alpaca
NEW! Brushed Throws and Blankets,1688938102000.0,1706114769000.0,8.0,0.0,0.0,0.0,Shupaca Alpaca
NEW! 100% Baby Alpaca Striped Throws & Scarves,1699943676000.0,1706114769000.0,10.0,0.0,0.0,0.0,Shupaca Alpaca
Brushed Alpaca Scarves *Signature Collection,1699903491000.0,1706251485000.0,45.0,0.0,0.0,0.0,Shupaca Alpaca
Beanie and Glove Best-sellers,1664468931000.0,1705955285000.0,27.0,0.0,0.0,0.0,Shupaca Alpaca
100% Baby Alpaca Throws,1664470404000.0,1705955285000.0,15.0,0.0,0.0,0.0,Shupaca Alpaca
100% Baby Alpaca Scarves,1664470233000.0,1705955285000.0,20.0,0.0,0.0,0.0,Shupaca Alpaca
Infinity Scarves,1664474067000.0,1705955285000.0,14.0,0.0,0.0,0.0,Shupaca Alpaca
Men's Accessories,1664474073000.0,1706251865000.0,43.0,0.0,0.0,0.0,Shupaca Alpaca
Star Wars Collection,1706058418000.0,1706111270000.0,3.0,0.0,0.0,0.0,Sackcloth & Ashes
Folk Collection,1700091006000.0,1706111270000.0,5.0,0.0,0.0,0.0,Sackcloth & Ashes
Legacy Collection,1698336084000.0,1706111270000.0,6.0,0.0,0.0,0.0,Sackcloth & Ashes
Smokey Bear,1696289480000.0,1706111270000.0,5.0,0.0,0.0,0.0,Sackcloth & Ashes
Seasons Collection Designed by Lauren Good Day,1693581578000.0,1706111270000.0,4.0,0.0,0.0,0.0,Sackcloth & Ashes
Camp Collection,1664472985000.0,1708015653000.0,8.0,0.0,0.0,0.0,Sackcloth & Ashes
Best Sellers,1664473203000.0,1706111270000.0,7.0,0.0,0.0,0.0,Sackcloth & Ashes
Herringbone Collection,1664472985000.0,1706111270000.0,3.0,0.0,0.0,0.0,Sackcloth & Ashes
Checkered Wave,1664473583000.0,1706111270000.0,6.0,0.0,0.0,0.0,Sackcloth & Ashes
Ridgeline Collection,1668526650000.0,1706111270000.0,8.0,0.0,0.0,0.0,Sackcloth & Ashes
Essentials Collection,1664472985000.0,1706111270000.0,5.0,0.0,0.0,0.0,Sackcloth & Ashes
Beach Collection,1664472985000.0,1706111270000.0,5.0,0.0,0.0,0.0,Sackcloth & Ashes
Vintage Plaid,1664474706000.0,1706111270000.0,6.0,0.0,0.0,0.0,Sackcloth & Ashes
Kids Collection,1674067060000.0,1706111270000.0,7.0,0.0,0.0,0.0,Sackcloth & Ashes
Mountain Collection,1664472985000.0,1706111270000.0,4.0,0.0,0.0,0.0,Sackcloth & Ashes
Air Plants,1703885098000.0,1703885098000.0,6.0,0.0,0.0,0.0,Mahalo Market
Assorted Pastel Throw blankets,1664467887000.0,1703885098000.0,1.0,0.0,0.0,0.0,Mahalo Market
Warehouse Sale - Over 65% Off MSRP,1693340805000.0,1711396586000.0,39.0,0.0,0.0,0.0,Trek Light
Hats - Best Sellers,1664471840000.0,1710352238000.0,7.0,0.0,0.0,0.0,Trek Light
Handwoven Blankets - Best Sellers,1664471803000.0,1711396831000.0,8.0,0.0,0.0,0.0,Trek Light
Baby and Kids - Best Sellers,1664471769000.0,1711396758000.0,7.0,0.0,0.0,0.0,Trek Light
