tokens,publish_at_values,created_at_values,titles,ratings,brand
br_5a3xdw7dg7,1708545600000.0,1708359156000.0,Great quality and quick shipment!,5.0,FRAAS - The Scarf Company
br_5r45w36n6e,1704225600000.0,1703792545000.0,A rush request was honored in a hurry. Always pleased with the high quality.,5.0,FRAAS - The Scarf Company
br_rvtqw6zdsp,1703016000000.0,1702832900000.0,The best scarves I have had in many years...great quality!,5.0,FRAAS - The Scarf Company
br_cnxbxcguax,1703016000000.0,1702744218000.0,Fraas is the best ! why bother to purchase scarves from another vendor,5.0,FRAAS - The Scarf Company
br_nmp5d84mbw,1702929600000.0,1702515814000.0,Always a great reorder line,5.0,FRAAS - The Scarf Company
br_mfmuu4k3qd,1702929600000.0,1702515785000.0,outstanding product/great value,5.0,FRAAS - The Scarf Company
br_a7nvg7jsy7,1702929600000.0,1702515757000.0,Superb quality product/Retails extremely well,5.0,FRAAS - The Scarf Company
br_85qvt6p5hq,1701460800000.0,1701276308000.0,Great scarves!,5.0,FRAAS - The Scarf Company
br_4mex5f6392,1697569200000.0,1697300440000.0,Pricing a little high for what they are,5.0,FRAAS - The Scarf Company
br_f7t8tar9an,1697050800000.0,1696637281000.0,Great all around ,5.0,FRAAS - The Scarf Company
br_q85ku2jh6d,1696359600000.0,1696076666000.0,Gorgeous!!,5.0,FRAAS - The Scarf Company
br_94a8wjzp74,1694199600000.0,1694035122000.0,Unique and beautifully made!,5.0,FRAAS - The Scarf Company
br_r3vc7svbje,1694026800000.0,1693572246000.0,Excellent ,5.0,FRAAS - The Scarf Company
br_m372uf4kbp,1691521200000.0,1691274322000.0,a great product and a great company,5.0,FRAAS - The Scarf Company
br_seds9f548q,1672862400000.0,1672697128000.0,Great Products,5.0,FRAAS - The Scarf Company
br_z6mw9pqfm8,1671566400000.0,1671219857000.0,Great products ,5.0,FRAAS - The Scarf Company
br_db25g67msc,1667851200000.0,1667502992000.0,Very pleased with this line and will be re-ordering soon.,5.0,FRAAS - The Scarf Company
br_6ny3u89m47,1667329200000.0,1666974144000.0,"Beautiful, high quality, gorgeous colors'!",5.0,FRAAS - The Scarf Company
br_5c7ag94kz6,1710788400000.0,1710429437000.0,AMAZING ALL THE WAY AROUND ,5.0,Shupaca Alpaca
br_cr5gqtmahf,1709668800000.0,1709258664000.0,💯  satisfied.  and ♥️,5.0,Shupaca Alpaca
br_f5qm85xmg2,1709582400000.0,1709238860000.0,"Great product, great price!",5.0,Shupaca Alpaca
br_b6p2z2834g,1709064000000.0,1708792449000.0,Great customer service and fast shipping! The items are fantastic quality and sell.,5.0,Shupaca Alpaca
br_hmmmy398hy,1708459200000.0,1707960770000.0,Gorgeous Scarves and Mittens,5.0,Shupaca Alpaca
br_5djkj94m4n,1706817600000.0,1706634446000.0,Beautiful scarves and gloves. They were also very responsive when one item was missing. ,5.0,Shupaca Alpaca
br_ayp3rxr4w8,1706644800000.0,1706391601000.0,always the best,5.0,Shupaca Alpaca
br_rnhswj9t85,1706040000000.0,1705766800000.0,Super fast shipping. Love the product,5.0,Shupaca Alpaca
br_zhxq63v7sm,1704484800000.0,1704320420000.0,Great products,5.0,Shupaca Alpaca
br_gzppep64hy,1704225600000.0,1703782217000.0,Beautiful ,5.0,Shupaca Alpaca
br_7xpac5u87y,1703880000000.0,1703703814000.0,Great to work with,5.0,Shupaca Alpaca
br_h6wz99jzqx,1703880000000.0,1703703088000.0,Beautiful ,5.0,Shupaca Alpaca
br_vq22j3pxza,1703707200000.0,1703279798000.0,Excellent ,5.0,Shupaca Alpaca
br_n3xcrzt3xr,1703620800000.0,1703175898000.0,EXCELLENT quality and customer service,5.0,Shupaca Alpaca
br_utdane4ugc,1703188800000.0,1702959402000.0,Quality product and great design!,5.0,Shupaca Alpaca
br_derdhvxypu,1703102400000.0,1702904199000.0,Always a best seller in the store,5.0,Shupaca Alpaca
br_bjyhqyqfew,1703102400000.0,1702872259000.0,Excellent quality,5.0,Shupaca Alpaca
br_v7n4nhxpuq,1703016000000.0,1702789665000.0,fast shipping ,5.0,Shupaca Alpaca
br_hzke59sucp,1703016000000.0,1702746081000.0,Beautiful L baby alpaca throws so soft,5.0,Shupaca Alpaca
br_4kuj79rcep,1702065600000.0,1701904839000.0,Beautiful quality socks!,5.0,Shupaca Alpaca
br_bn6za54f8v,1701892800000.0,1701717215000.0,Shupaca literally brings traffic to my website,5.0,Shupaca Alpaca
br_5jepu95rqk,1701892800000.0,1701653685000.0,Always the best!,5.0,Shupaca Alpaca
br_a7d4uakb62,1701720000000.0,1701319958000.0,"Great, ethical company with great products",5.0,Shupaca Alpaca
br_vnunmnvrks,1701288000000.0,1701116824000.0,Fabulous!,5.0,Shupaca Alpaca
br_ke9e2mf4az,1701288000000.0,1701116588000.0,Easy to reorder,5.0,Shupaca Alpaca
br_e68enfzsk3,1701115200000.0,1700772175000.0,Quality product and great design!,5.0,Shupaca Alpaca
br_xtbrd9aky4,1701115200000.0,1700691312000.0,So so soft,5.0,Shupaca Alpaca
