token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_e34k5a7z4v,o_kmqmc6ghg8,p_7jtsagb35c,bo_x7naxnnakd,Happiest Camper Key Tag,default,398,199,199,4,796,796,0,#X7NAXNNAKD,
oi_8qnkrxaz9k,o_kmqmc6ghg8,p_du8d4zr43n,bo_x7naxnnakd,Take Me To The River Key Tag,default,795,199,398,8,1592,3184,0,#X7NAXNNAKD,
oi_wpt98khz33,o_pkktbymze2,p_vsk3b5t295,bo_24mg3exhv6,Sunny Bath Towel,default,4800,1680,2400,64,107520,153600,0,#24MG3EXHV6,
oi_nycxmjvk6f,o_pkktbymze2,p_956bcs62hv,bo_24mg3exhv6,Everyday Fanny Pack -  Bloom,default,5800,2900,2900,4,11600,11600,0,#24MG3EXHV6,
oi_hyvc7rkbak,o_pkktbymze2,p_6hg4cm9fer,bo_24mg3exhv6,Double Hammock,Khaki & Green,8495,2974,4248,4,11894,16992,0,#24MG3EXHV6,
oi_dngc93b8tp,o_pkktbymze2,p_7jtsagb35c,bo_24mg3exhv6,Happiest Camper Key Tag,default,398,199,199,8,1592,1592,0,#24MG3EXHV6,
oi_s4kr5mfe3p,o_pkktbymze2,p_6r4e5p967d,bo_24mg3exhv6,Happy To Be Here Hat,default,3800,1900,1900,4,7600,7600,0,#24MG3EXHV6,
oi_4db9av2633,o_pkktbymze2,p_sssydfypyu,bo_24mg3exhv6,You Are My Sunshine Hat,default,3800,1900,1900,4,7600,7600,0,#24MG3EXHV6,
oi_hms44xkja4,o_pkktbymze2,p_dqbb87k6dr,bo_24mg3exhv6,Happiest Camper Baby & Kids Beanie,default,3400,1700,1700,4,6800,6800,0,#24MG3EXHV6,
oi_cn6v3d2g2r,o_pkktbymze2,p_bsc96u8jzb,bo_24mg3exhv6,These Are The Good Ol' Days Hat,default,3800,1900,1900,4,7600,7600,0,#24MG3EXHV6,
oi_9eds6enfbs,o_pkktbymze2,p_bc9btu53gg,bo_24mg3exhv6,Everyday Fanny Pack - Checkers,default,5800,2900,2900,4,11600,11600,0,#24MG3EXHV6,
oi_v9ex3py67g,o_pkktbymze2,p_ck5yd5ce2q,bo_24mg3exhv6,Happiest Camper Bear Baby & Kids Hat,Youth / Pink,3800,1900,1900,4,7600,7600,0,#24MG3EXHV6,
