tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_em6ms93zfk,Wander + Yoga Towels RESEND | 5.8.24,ONE_TIME,COMPLETED,1715222388000.0,742.0,636.0,98.0,1.0,1.0,199.0,0.0,0.0
bmc_bq7hgr3yad,Abandon Cart | 5.14.24,ONE_TIME,COMPLETED,1715707191000.0,39.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0
bmc_yt2zjjh5e6,All | Gifts for Her | 4/23/24,ONE_TIME,COMPLETED,1713970848000.0,1902.0,1322.0,572.0,7.0,6.0,2247.46,0.0,0.0
bmc_xgne3tqj3s,Kids,ONE_TIME,DRAFT,,,,,,,,,
bmc_qyry9554p7,Fanny Pack,ONE_TIME,DRAFT,,,,,,,,,
bmc_dbx9e5y2v8,Hats | 5.12.24,ONE_TIME,COMPLETED,1715576391000.0,1425.0,999.0,471.0,4.0,4.0,1768.8,0.0,0.0
bmc_ruc7gr8e84,Wander + Yoga Towels | 5.6.24,ONE_TIME,COMPLETED,1715097562000.0,1988.0,1332.0,594.0,11.0,11.0,3633.04,0.0,0.0
bmc_pckwvvn2zk,Eng. 60 | Best Sellers Collection | 4.23.24,ONE_TIME,COMPLETED,1714096828000.0,43.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0
bmc_emdk6ap4kn,Recapture Non-Engaged | 4.18.24,ONE_TIME,COMPLETED,1713496255000.0,1003.0,708.0,311.0,4.0,0.0,0.0,0.0,0.0
bmc_ktup9mk23n,Spring Sale Reminder - Ends Tomorrow,ONE_TIME,COMPLETED,1711638000000.0,1740.0,1189.0,544.0,8.0,2.0,1235.0,0.0,0.0
bmc_75jw49u4bg,Cypress Fanny Pack Restock (Copy 1),ONE_TIME,COMPLETED,1711558988000.0,804.0,532.0,250.0,5.0,3.0,1644.6,0.0,0.0
bmc_kp3w6j2jdd,Wander and Yoga Towels - Non-opens,ONE_TIME,DRAFT,,,,,,,,,
bmc_mr8dqvds9p,Untitled campaign 1,ONE_TIME,DRAFT,,,,,,,,,
bmc_s3sk55k2sx,Sock Offer & Low Stock Alert - Purchased Previously ,ONE_TIME,COMPLETED,1711033200000.0,795.0,544.0,257.0,2.0,7.0,1610.22,0.0,0.0
bmc_fu5x6avfn3,New Hat - Happy To Be Here (Black),ONE_TIME,COMPLETED,1710946800000.0,1730.0,1205.0,564.0,3.0,6.0,1938.38,0.0,0.0
bmc_xtsbux6u38,March 2024 - Amount in Cart - Discount Offer,ONE_TIME,COMPLETED,1710428400000.0,197.0,142.0,71.0,0.0,2.0,1763.78,0.0,0.0
bmc_vgvutzac2q,Feb 2024 - Amount in Cart - Discount Last Chance,ONE_TIME,COMPLETED,1710000000000.0,200.0,150.0,79.0,0.0,5.0,1557.5,0.0,0.0
bmc_s5fhftcak7,Warehouse Sale Reminder,ONE_TIME,COMPLETED,1709740800000.0,1715.0,1221.0,537.0,4.0,3.0,704.0,0.0,0.0
bmc_p5gm3kcd3n,Low Stock Enamel Mugs - Purchased,ONE_TIME,COMPLETED,1709654400000.0,100.0,81.0,34.0,0.0,2.0,416.0,0.0,0.0
bmc_77gsrus86h,Wood Key Tags - Purchased  ,ONE_TIME,COMPLETED,1709740800000.0,88.0,61.0,25.0,0.0,0.0,0.0,0.0,0.0
bmc_yj4kx24qh8,Ordered 60+ Days Ago - Extra Discount,ONE_TIME,COMPLETED,1709654400000.0,730.0,519.0,233.0,1.0,4.0,1388.0,0.0,0.0
bmc_tbynts2e6r,Fanny Pack Offer - Purchased Previously  ,ONE_TIME,COMPLETED,1709395200000.0,307.0,226.0,103.0,0.0,4.0,1755.0,0.0,0.0
bmc_u9buqznb5r,Blanket Restock (Previously Purchased) - Discount Offer,ONE_TIME,COMPLETED,1709222400000.0,201.0,146.0,80.0,0.0,1.0,152.0,0.0,0.0
bmc_yyzr6dbaja,Sock Offer - Purchased Previously ,ONE_TIME,COMPLETED,1709222400000.0,127.0,92.0,43.0,3.0,6.0,1620.0,1.0,248.0
bmc_ztban5dqac,Feb 2024 - Amount in Cart - Discount Offer ,ONE_TIME,COMPLETED,1709136000000.0,195.0,145.0,67.0,0.0,6.0,1698.0,0.0,0.0
bmc_jsvbwkqaem,Feb 2024 - Never Ordered - Discount Offer,ONE_TIME,COMPLETED,1709136000000.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
bmc_beeveztsay,Towel Highlight - Sale Reminder (Previously Purchased),ONE_TIME,COMPLETED,1709136000000.0,20.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
bmc_6k4958vz8t,Hat Restock - Sunshine + Stay Wild Kids,ONE_TIME,COMPLETED,1709049600000.0,201.0,136.0,66.0,2.0,4.0,1308.0,1.0,452.0
bmc_97hjtrht2y,Warehouse Sale Reminder - Feb 2024,ONE_TIME,COMPLETED,1708444800000.0,1700.0,1224.0,557.0,26.0,3.0,692.38,1.0,221.88
bmc_g966s4rwnt,Towel Highlight - Gear Up for Spring,ONE_TIME,COMPLETED,1708185600000.0,1698.0,1176.0,562.0,7.0,4.0,1141.88,0.0,0.0
bmc_dqqf3ffvyj,New Blankets Launch - Goldie + Northstar,ONE_TIME,COMPLETED,1707926400000.0,813.0,596.0,287.0,6.0,3.0,1080.0,0.0,0.0
bmc_6wuxknftka,Winter Market + Warehouse Sale Reminder,ONE_TIME,COMPLETED,1705507200000.0,1724.0,1238.0,531.0,17.0,9.0,4646.46,0.0,0.0
bmc_ft9gq3zukh,WM Reminder Last Day (Jan 2024),ONE_TIME,COMPLETED,1706198400000.0,1740.0,1052.0,381.0,9.0,2.0,342.0,2.0,342.0
bmc_3jdbakfmv8,Winter Market Launch - Ordered (Jan 2024),ONE_TIME,COMPLETED,1706025600000.0,790.0,397.0,133.0,3.0,3.0,1288.92,0.0,0.0
bmc_qd5ayzrk5x,Reorder Campaign - 10% Off,ONE_TIME,COMPLETED,1701792000000.0,703.0,517.0,234.0,3.0,3.0,596.0,0.0,0.0
bmc_995nf5vzje,Review Request - Placed Order,ONE_TIME,COMPLETED,1701273600000.0,391.0,291.0,140.0,0.0,3.0,828.0,0.0,0.0
bmc_3q9h7judqz,Hat Highlight + Sale Reminder,ONE_TIME,COMPLETED,1701705600000.0,759.0,573.0,268.0,4.0,7.0,1295.84,1.0,228.0
bmc_k5egjbzj8y,Enamel Mugs Highlight ,ONE_TIME,COMPLETED,1701532800000.0,1278.0,932.0,425.0,5.0,6.0,1561.84,0.0,0.0
bmc_tfpgq2sxus,Happy To Be Here Hat Restocked,ONE_TIME,COMPLETED,1701273600000.0,70.0,58.0,28.0,0.0,1.0,408.0,0.0,0.0
bmc_yyz9n35y4z,Perfect Stocking Stuffers ,ONE_TIME,COMPLETED,1701187200000.0,702.0,516.0,221.0,2.0,7.0,1758.0,0.0,0.0
bmc_b528d5sntu,Hello from Trek Light - Holiday Sale,ONE_TIME,COMPLETED,1700064000000.0,696.0,503.0,226.0,6.0,6.0,1945.5,0.0,0.0
bmc_xh2wb53r58,Holiday Sale Reminder 1,ONE_TIME,COMPLETED,1698850800000.0,685.0,560.0,230.0,3.0,8.0,1741.5,0.0,0.0
bmc_96h879sqhk,Holiday Sale Launch ,ONE_TIME,COMPLETED,1698356533000.0,1263.0,910.0,371.0,5.0,4.0,914.0,0.0,0.0
bmc_erscf96hs8,Holiday Sale Launch - Abandoned Carts,ONE_TIME,COMPLETED,1698353883000.0,42.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0
bmc_6yqpfejxt4,New Hats (Howlin' + Good Ol' Days) - Warehouse Sale Reminder ,ONE_TIME,COMPLETED,1695740400000.0,690.0,579.0,268.0,8.0,8.0,3672.0,1.0,280.0
bmc_u5ngfk8bze,Active Cart (7 Days) - 10/2/23,ONE_TIME,DRAFT,,,,,,,,,
bmc_g65kzxws9t,Active Cart (7 Days) - 9/21/23,ONE_TIME,COMPLETED,1695394800000.0,13.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
bmc_ec6utsaapj,New Mugs (Garden Buzz + Woodland Friends) - Warehouse Sale Reminder ,ONE_TIME,COMPLETED,1695135600000.0,1030.0,841.0,362.0,3.0,7.0,5040.68,0.0,0.0
bmc_a2gxvhdbuu,Warehouse Moving Sale Reminder ,ONE_TIME,COMPLETED,1694617200000.0,1184.0,962.0,395.0,27.0,10.0,4083.14,5.0,1890.0
bmc_qg6f9s3sj8,Howdy from the Habers,ONE_TIME,COMPLETED,1694012400000.0,1020.0,834.0,402.0,14.0,7.0,3112.5,2.0,1552.5
bmc_p5w8d52uhb,Warehouse Moving Sale 1,ONE_TIME,COMPLETED,1693494000000.0,1170.0,948.0,397.0,34.0,7.0,2842.7,1.0,795.0
bmc_ehrst46xht,Fanny Packs for Summer (Copy 1),ONE_TIME,COMPLETED,1689113240000.0,1118.0,721.0,325.0,11.0,11.0,6661.0,0.0,0.0
bmc_dq3ef9qw8e,Summer Market (7/20) - Amount In Cart,ONE_TIME,COMPLETED,1689870377000.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
bmc_8zv27p99ra,Summer Market Reminder (7/20),ONE_TIME,COMPLETED,1689870330000.0,1136.0,626.0,247.0,6.0,2.0,1106.92,2.0,505.0
bmc_3gmevkztdg,Summer Market Launch - Ordered ,ONE_TIME,COMPLETED,1689692400000.0,1130.0,693.0,224.0,10.0,7.0,4736.5,1.0,560.0
bmc_gmcnqrbr6j,Fanny Packs for Summer,ONE_TIME,COMPLETED,1687879613000.0,1107.0,757.0,320.0,7.0,5.0,2248.5,0.0,0.0
bmc_qauq75vbch,Canvas Flags,ONE_TIME,COMPLETED,1701122787000.0,702.0,437.0,192.0,0.0,8.0,1923.0,0.0,0.0
bmc_yjwfhetbvw,Hat Restock,ONE_TIME,COMPLETED,1685475893000.0,1085.0,472.0,197.0,3.0,1.0,823.5,0.0,0.0
bmc_rhtav6hkzk,Sonoma Blanket ,ONE_TIME,COMPLETED,1683051784000.0,906.0,741.0,339.0,7.0,8.0,3448.0,1.0,399.0
bmc_t7rbb8pkwa,Untitled campaign,ONE_TIME,COMPLETED,1681920591000.0,501.0,424.0,193.0,3.0,8.0,5898.0,1.0,201.0
bmc_gg2w6h5qu7,Towel Highlight,ONE_TIME,COMPLETED,1684255588000.0,1074.0,874.0,370.0,6.0,4.0,2065.5,0.0,0.0
bmc_huafc844sr,Dad/Grad,ONE_TIME,COMPLETED,1684867589000.0,1081.0,879.0,371.0,7.0,6.0,4360.0,0.0,0.0
bmc_b2zkfzuqhq,Enamel Mugs Highlight + Holiday Sale Reminder,ONE_TIME,COMPLETED,1699908791000.0,745.0,496.0,227.0,5.0,5.0,1229.5,0.0,0.0
bmc_umd5uce3y9,Fanny Pack Restock,ONE_TIME,COMPLETED,1682694000000.0,902.0,739.0,310.0,6.0,10.0,4928.99,3.0,1293.35
bmc_6bteyg8426,Earth Day,ONE_TIME,COMPLETED,1680547273000.0,1053.0,866.0,361.0,4.0,3.0,1703.35,0.0,0.0
bmc_2f4jmnnhet,7 Day Cart Modified,ONE_TIME,COMPLETED,1686675195000.0,12.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
bmc_rrzt3c9up4,Int'l Day of Happiness,ONE_TIME,COMPLETED,1678204800000.0,1032.0,847.0,344.0,7.0,3.0,1321.0,1.0,214.0
bmc_9qmy4f345p,New Blankets Launch,ONE_TIME,COMPLETED,1676585823000.0,1007.0,831.0,367.0,8.0,10.0,5226.11,0.0,0.0
bmc_t9drgjcktc,Sock Launch,ONE_TIME,COMPLETED,1675780693000.0,995.0,822.0,332.0,5.0,7.0,1992.6,2.0,436.0
bmc_cxf9gm2fua,WM - Amount In Cart Reminder,ONE_TIME,COMPLETED,1674767868000.0,134.0,123.0,62.0,0.0,1.0,808.64,0.0,0.0
bmc_uhesatebva,WM Reminder,ONE_TIME,COMPLETED,1674767883000.0,988.0,820.0,345.0,9.0,7.0,3174.64,1.0,284.0
bmc_axfbwxqy2h,Winter Market Launch - Ordered (Copy 1),ONE_TIME,COMPLETED,1674583756000.0,557.0,450.0,174.0,9.0,4.0,2294.55,3.0,2092.55
bmc_y3nuskcuuw,Winter Market Launch - Ordered,ONE_TIME,COMPLETED,1674583579000.0,426.0,366.0,171.0,5.0,9.0,8204.8,2.0,771.0
bmc_55fhgg6x8g,Hip Pack Launch,ONE_TIME,COMPLETED,1674498657000.0,981.0,817.0,339.0,11.0,20.0,7591.05,5.0,1385.0
bmc_dcyr5zkthy,Towel Launch,ONE_TIME,COMPLETED,1673995054000.0,980.0,821.0,346.0,13.0,14.0,5235.55,1.0,216.0
bmc_pzmjq8zuay,New Mugs/Reminder,ONE_TIME,COMPLETED,1669754918000.0,954.0,809.0,328.0,10.0,7.0,2487.32,0.0,0.0
