tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_5xewan8jxg,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714584025000,False,False,r_sse5ojc582,23544,McKenzie General Store & Obsidian Restaurant,http://mckenziegeneral.com,General or Mercantile Store
bo_szmwd8359y,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714583425000,True,True,r_b1cbcd10,5248,Williams Mercantile,http://www.williamsmercantile.com,Clothing Boutique
bo_td5cwkx66r,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714579602000,True,True,r_1hwf1qzkww,13087,Good Vibes Yoga,http://goodvibesogt.com,Fitness or Yoga Studio
bo_abeh4xx58t,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714542102000,True,True,r_fesyazhwr9,44476,Winding Waters River Expeditions,https://www.windingwatersrafting.com/,
bo_pnwd9hpgbk,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714518402000,True,True,r_az9egrq844,31969,Long Lost Print Co.,https://carolineclarkdesign.com/,Home Decor Store
bo_9hns43rr8j,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714516302000,False,False,r_bg81jb4kpv,53627,Hive Hot Yoga,,Fitness or Yoga Studio
bo_28fkebk8qq,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1714496432000,True,True,r_2h2ula3x,86514,the codfish cowboy,http://www.thecodfishcowboy.com/,Gift Store
bo_t65kszfeap,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1714437032000,False,False,r_kf8eq7d486,67612,Spirit of 1876,http://www.spiritof1876.com/,
bo_8kjmgybx49,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1714348094000,False,False,r_6yix5yqo,16401,Heritage Goods and Supply,https://www.heritagegoodsandsupply.com/,Clothing Boutique
bo_gsfnp8h44v,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1714348094000,False,False,r_6yix5yqo,16430,Heritage Goods and Supply,https://www.heritagegoodsandsupply.com/,Clothing Boutique
bo_6awqdgnens,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1714344194000,False,False,r_euuk7cqecg,47494,Black Fox Provisions,http://blackfoxprovisions.co/,General or Mercantile Store
bo_5bmp2cqn6n,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1714334894000,True,True,r_etvqpan865,13782,Seva Montessori Shop,https://www.instagram.com/invites/contact/?i=2y488nhymmb0&utm_content=mssqbog,
bo_2q4su9fym9,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1714249994000,True,True,r_wh7mraeetw,14240,Lava Yoga Studio,http://lavayogatopeka.com/,
bo_5kngykvv4p,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1714174394000,False,False,r_3s2m4vnu5y,49695,Northland Outfitters Campground & Canoe / Kayak Livery,http://northlandoutfittersup.com/,Gift Store
bo_jzfmq5k2by,NEW_ORDER,PROCESSING,FULFILLED,MARKETPLACE,1714159265000,True,True,r_pp7qrf4wfk,38104,Around the Lagoon,http://www.aroundthelagoon.com,Clothing Boutique
bo_kueb6s3a9f,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1714149545000,False,False,r_1tvuybrn,54330,Shannon Juliana,https://www.theclosetshoppersantacruz.com/,Clothing Boutique
bo_7wvmkrhcxm,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1714141145000,True,True,r_civ77tga7x,13181,Andy's on River Road,http://www.floatthefrio.com/,General or Mercantile Store
bo_ejtpjndseb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1714070115000,False,False,r_7twjwijj,25307,THE DAISY COLLECTIVE,https://maps.google.com/?cid=719612590143385305,
bo_u3gmaqfpg6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714063216000,True,True,r_j9gx44musr,18187,MPower Lifestyle,http://www.mpoweryoga.net/,Fitness or Yoga Studio
bo_wrwp8vtbq9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713994958000,False,False,r_mwgnafkf38,32555,North and Shore,https://www.instagram.com/northandshoremn/,Gift Store
bo_njcry5fva4,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1713965799000,False,False,r_ev2bp9ysaw,17890,Arrow Adventure,http://arrowadventuregearexchange.com/,
bo_gj6n4n2e83,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713893199000,True,True,r_bxqnn3yvkn,28860,The Studio,http://thestudiofiny.com,Fitness or Yoga Studio
bo_qvshycxb5u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713868248000,True,True,r_tacersw4te,11094,Ledges Ocean Sports,http://www.ledgesoceansports.com,
bo_baf7fa699w,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713821448000,True,True,r_eg13wwo22h,58697,Marley & Moose,https://marleyandmoose.com,Kids or Toy Store
bo_3xb2bnzzuz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713787508000,True,True,r_4h4xxf4gfw,6615,desert bloom,http://shopdesertbloom.com/,Home Decor Store
bo_qf2j7agr3h,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713741608000,False,False,r_b9o65dnq,46943,Desert Wild,,Gift Store
bo_zfmucr2z8y,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713462494000,False,False,r_eup35l68,31796,Leavenworth Boutique,http://leavenworthboutique.com/,Gift Store
bo_7f67g956u8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713417503000,True,True,r_e4qh6o3sw0,11969,Camino,http://www.shopcamino.com,Home Decor Store
bo_3bweyeznxw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713415403000,False,False,r_1tvuybrn,52993,Shannon Juliana,https://www.theclosetshoppersantacruz.com/,Clothing Boutique
bo_q8mvuy6dk2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713392903000,True,True,r_ae2cr8mhhy,7022,barReVA,http://barreva.com/,Fitness or Yoga Studio
bo_wbw2gn6tkf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713309834000,True,True,r_euuk7cqecg,27810,Black Fox Provisions,http://blackfoxprovisions.co/,General or Mercantile Store
bo_6g6wtq9beh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713303234000,True,True,r_510totdjhu,14066,Daily Magic,http://www.dailymagicshop.com/,Gift Store
bo_rb2p2454yx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713293334000,True,True,r_nph5jk628c,33255,Stay Gold Books,https://maps.google.com/?cid=10013458391866057838,
bo_4gvdx6q5pa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713285534000,False,False,r_fwc67s6sjd,19652,Grateful Angler,http://www.thegratefulangler.com/,
bo_hu97cv8wyu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713283734000,False,False,r_47upr3mr2v,28926,National Perk,,Cafe or Restaurant
bo_fxx27njybz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713214276000,True,True,r_wsr7hjzpa4,6493,Sevier Coffee Co.,https://www.seviercoffee.com/,Cafe or Restaurant
bo_x7naxnnakd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713129454000,False,False,r_d7a5y59kj3,2841,Zanne Merkel,http://wheregalswander.myshopify.com,Clothing Boutique
bo_24mg3exhv6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713119254000,False,False,r_1u3xeujf,197135,Palace Market,"https://maps.google.com/?q=11300+CA-1,+Point+Reyes+Station,+CA+94956,+USA&ftid=0x8085c6805b1d56e5:0x5a0bb78fc14cfb9b",Grocery or Liquor Store
bo_amygsz72yr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713040654000,True,True,r_8gr2btub2g,106197,Raton Adventure Centre,http://mossadventures.com/,
bo_b29zq2ven6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713040654000,True,True,r_3j57f3y65q,11516,Cuyuna Outfitters,http://www.cuyunaoutfitters.com/,
bo_jj9gbee9vj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713038854000,False,False,r_d60219by,19939,Distressed Vintage Furniture Co,,
bo_983m9k6w93,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1712974654000,False,False,r_1eeim2dot3,4898,wandering soul sundries,https://www.thewanderingsoulcabin.com/,Home Decor Store
bo_j65f4eccjd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712943757000,False,False,r_7mrwyfqdzq,18309,Cabin Road coffeehouse,https://cabinroadcoffeehouse.com/,
bo_ysm752eu6c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712942557000,False,False,r_sfhtt3w14s,65191,Vanilla Urban Threads,http://www.shopvanilla.com/,Clothing Boutique
bo_2qxtv46m9q,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712941657000,True,True,r_9q0yit3zl9,20037,The Shoe Box,http://www.theshoeboxwv.com/,Clothing Boutique
bo_zggz3cwftb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712941057000,True,True,r_pugs5tkf2s,20030,Hatchet West,,
bo_rek5tgbtvm,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1712796019000,False,False,r_y5qwev12ub,51213,Navydylan,http://www.navydylan.com/,Gift Store
bo_ntmuj4vavv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712787319000,False,False,r_ccu9rzn8qs,35784,Ana Villarreal,http://www.abbotspassage.com/,
bo_phb3srbzcd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712782819000,False,False,r_4w6svv5f,35916,CKS Main Street,http://cksmainstreet.com/,
bo_tg3qkktepk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712779219000,False,False,r_48yw15zm,23768,Color It Green,,
bo_dp6b35zmdp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712763019000,False,False,r_88eb0iofxk,29388,Aum Apparel,http://www.aumapparel.ca,Clothing Boutique
bo_nthu2ngk8a,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1712678372000,True,True,r_zjzah3v62j,6571,Tannersville Works,http://tannersvilleworks.com/,Gift Store
bo_x2ne74tucw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712615439000,False,False,r_bt7z5ysy,60984,TopSide Boutique,,Clothing Boutique
bo_h8zb78wyqs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712523388000,True,True,r_w6bqz3ge9s,15511,Real and Raw 30a Wellness,,Cafe or Restaurant
bo_sek73hda66,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712522488000,False,False,r_cos635lalu,34612,Esteban’s,http://Estebanssedona.com,Gift Store
bo_ph53cjw4mq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712424388000,True,True,r_vunhsqkqvk,18402,Plume and Furrow,http://plumeandfurrow.com/,Florist or Garden Store
bo_269fr9uz5z,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712369188000,True,True,r_ht62yxyjhs,14102,Ellensburg Yoga and Coffee House,https://clients.mindbodyonline.com/classic/ws?studioid=5731279&stype=-7&sView=day&sLoc=0,
bo_xnsvw49b2b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712345289000,True,True,r_dule8rlw,55775,Wild Carrot Herbals,http://www.wildcarrotherbals.com/,
bo_49qh88as8g,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712328695000,False,False,r_7qdk49py2k,12460,Cuchara Lokal,https://cucharalokalhotel.com/,Gift Store
bo_w5wm4ztmsc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712268095000,True,True,r_akp38xz84h,27879,Armature Works,http://armatureworks.com/,Gift Store
