product_token,name,category,sales_count,order_count,visit_count,date
p_9cwdgh6utn,Humboldt Handwoven Throw Blanket,Throw Blanket,4,3,6,2023-01-01
p_du8d4zr43n,Take Me To The River Key Tag,Keychains,4,1,7,2023-01-01
p_uyq3tqbkk3,Greyson Handwoven Throw Blanket,Throw Blanket,2,1,10,2023-01-01
p_u8cr6h496s,Peace Handwoven Throw Blanket,Throw Blanket,17,7,37,2023-01-01
p_hssrtswjy2,This Must Be The Place Canvas Flag,Flags & Windsocks,2,2,20,2023-01-01
p_u8bq2tdfc7,Napa Handwoven Throw Blanket,Throw Blanket,0,0,2,2023-01-01
p_u6npyrgca2,Positive Vibrations Handwoven Throw Blanket,Throw Blanket,11,6,43,2023-01-01
p_7vadmjpap5,Peace Blankestry - Blanket Wall Art,Tapestry & Textile,2,2,10,2023-01-01
p_tuzpkk62qx,Leather Blanket Carrier,Throw Blanket,10,4,20,2023-01-01
p_kfwtvhap6t,Arizona Blankestry - Blanket Wall Art,Tapestry & Textile,0,0,16,2023-01-01
p_spmq79854y,Newport Handwoven Throw Blanket,Throw Blanket,0,0,8,2023-01-01
p_bkncaccpe3,Ocelot Handwoven Throw Blanket,Throw Blanket,5,4,21,2023-01-01
p_43aqf67jr5,This Must Be The Place Hat - Beach,Flat Brim Cap,11,3,11,2023-01-01
p_6qp2pyd6j7,Take Me To The Mountains Trucker Hat,Trucker Hat,1,1,4,2023-01-01
p_2at9yzn87x,Take Me To The River Hat,Flat Brim Cap,7,3,3,2023-01-01
p_bzkn8wsrc6,Home Sweet Van Hat,Flat Brim Cap,0,0,2,2023-01-01
p_dkvqkknvrj,Lazy Daisy Handwoven Throw Blanket,Throw Blanket,2,2,23,2023-01-01
p_tj8ng6w86t,BE KIND Wood Keychain,Keychains,0,0,2,2023-01-01
p_nusbc4ptud,GOOD VIBES Wood Keychain,Keychains,0,0,1,2023-01-01
p_by9nhems4p,PEACE Wood Keychain,Keychains,0,0,1,2023-01-01
p_q2xn5f5gkh,WANDER Wood Keychain,Keychains,0,0,0,2023-01-01
p_7qrx3943ty,Stay Wild Canvas Flag,Flags & Windsocks,2,1,1,2023-01-01
