collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Hawks Bay - Spring/Summer 2024 Collection ,1709838845000,1709838846000,14,0,0,0,Hawks Bay
Jackets,1697863972000,1697863972000,20,0,0,0,Ron Tomson
Leather ,1697861698000,1709422805000,64,0,0,0,Ron Tomson
Merino Wool Suits,1697861297000,1697863972000,50,0,0,0,Ron Tomson
Shirts - Dress,1697860649000,1697863972000,50,0,0,0,Ron Tomson
Tuxedo Jackets,1697849799000,1703188853000,42,0,0,0,Ron Tomson
Shirts - Tuxedo,1697859696000,1697863972000,23,0,0,0,Ron Tomson
knitwear,1697862889000,1705094694000,61,0,0,0,Ron Tomson
Footwear - Dress Shoes,1697848579000,1697863972000,40,0,0,0,Ron Tomson
Footwear - Sneakers,1697846928000,1697863972000,23,0,0,0,Ron Tomson
Footwear - Boots,1697844780000,1697863972000,22,0,0,0,Ron Tomson
FW23-FREESTYLE-BLACK/WHITE/GREY,1694734723000,1694789167000,54,0,0,0,LindBergh
FW23-FREESTYLE-CAMEL/SAND,1694210975000,1695338213000,26,0,0,0,LindBergh
SS23-FREESTYLE-RED,1692211292000,1694734724000,10,0,0,0,LindBergh
SS23-FREESTYLE-ORANGE/GREEN,1689964275000,1694734724000,25,0,0,0,LindBergh
SS23-FREESTYLE-PINK,1689023889000,1694734724000,11,0,0,0,LindBergh
SS23-FREESTYLE-YELLOW,1689022540000,1694734724000,16,0,0,0,LindBergh
SS23-FREESTYLE-BLUE,1688323423000,1694734724000,44,0,0,0,LindBergh
Cutter & Buck Sustainable Jackets and Vests for B&T Men,1685122934000,1689790830000,5,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Jackets and Vests for Men,1685122815000,1689790852000,8,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Jackets and Vests for Women,1685122321000,1689790842000,9,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Pullovers and Hoodies for B&T Men,1685121853000,1689790880000,3,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Polos for Big and Tall Men,1685121655000,1692372489000,4,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Polos for Men,1664472894000,1692372456000,13,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Pullovers and Hoodies for Men,1664472898000,1689790867000,5,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Shirts and Polos for Women,1664473034000,1692372540000,7,0,0,0,Cutter & Buck
Cutter & Buck Sustainable Pullovers and Hoodies for Women,1664473034000,1689790906000,2,0,0,0,Cutter & Buck
Best Sellers - Core Assortment,1709141442000,1709141482000,21,0,0,0,True Classic
