tokens,publish_at_values,created_at_values,titles,ratings,brand
br_g2zt2ea89h,1707940800000.0,1707750193000.0,GREAT SELLER!!! SUPER FAST SHIPPING AND QUALITY! ,5.0,Hawks Bay
br_3ucngu3xuy,1707940800000.0,1707750122000.0,GREAT SELLER!!! SUPER FAST SHIPPING AND QUALITY! ,5.0,Hawks Bay
br_xkje46mpe2,1703707200000.0,1703436310000.0,great company to work with!,5.0,Hawks Bay
br_nh9jda4zhy,1699992000000.0,1699818478000.0,Definitely would order from this company again.  ,5.0,Hawks Bay
br_s2xv6dshmj,1697828400000.0,1697641570000.0,Great!,5.0,Hawks Bay
br_vqg24zmfut,1697655600000.0,1697493819000.0,FANTASTIC PRODUCTS AND COMPANY!,5.0,Hawks Bay
br_hqden4dzrv,1694545200000.0,1694225675000.0,Quality was better than the pictures ,5.0,Hawks Bay
br_5aqp9nk55w,1691521200000.0,1691258959000.0,GREAT PRODUCTS!,5.0,Hawks Bay
br_au2yfg4pmx,1686078000000.0,1685748421000.0,Half the order had to be sent back,3.0,Hawks Bay
br_kmw7t77vxg,1685559600000.0,1685059658000.0,Great quality and fast delivery ,5.0,Hawks Bay
br_ube6ycawr2,1679425200000.0,1679074965000.0,Awesome,5.0,Hawks Bay
br_3tg8kvhaf7,1674676800000.0,1674504065000.0,Great quality and fast shipping,5.0,Hawks Bay
br_7wgx2ygdw3,1673380800000.0,1673116334000.0,Awesome experience! Great quality products. Quick shipping. Will definitely purchase again. Thank you!,5.0,Hawks Bay
br_pk4tkabqye,1666292400000.0,1666130665000.0,Fast shipping! Great quality! ,5.0,Hawks Bay
br_cddbrxydkc,1666119600000.0,1665717595000.0,Super impressed with product ,5.0,Hawks Bay
br_ur35u597ur,1665601200000.0,1665209190000.0,quality is good,5.0,Hawks Bay
br_9r6rqwewwe,1663614000000.0,1663266453000.0,Great! ,5.0,Hawks Bay
br_9rg28g8yu7,1663614000000.0,1663258633000.0,Very helpful and shipped quickly,5.0,Hawks Bay
br_3vmyzjd6r8,1659466800000.0,1659061945000.0,Very Happy!,5.0,Hawks Bay
br_7k6nyu72y3,1657134000000.0,1656710897000.0,Very happy!,5.0,Hawks Bay
br_dydbyfpr6w,1657134000000.0,1656690140000.0,Great!,5.0,Hawks Bay
br_kx9pzvwjgh,1654628400000.0,1654440541000.0,Quality fabric,5.0,Hawks Bay
br_4h3w5ftq6e,1647028800000.0,1646848260000.0,Great shorts ,5.0,Hawks Bay
br_4v3ue6xvav,1646769600000.0,1646582136000.0,Nice mens jackets ,5.0,Hawks Bay
br_4brm2h8pk8,1704830400000.0,1704500902000.0,good quality ,5.0,Ron Tomson
br_rxzvz8md3y,1704225600000.0,1703799459000.0,Good quality ,5.0,Ron Tomson
br_gerfbnjxnp,1698174000000.0,1698010997000.0,Excited to carry this brand!,5.0,Ron Tomson
br_3mka9x2bbr,1696359600000.0,1696021681000.0,great service ,5.0,Ron Tomson
br_j6gmeutepe,1674072000000.0,1673886140000.0,Fast shipping! Great quality!,5.0,Ron Tomson
br_rn33y9mc7y,1674072000000.0,1673886090000.0,Excellent!,5.0,Ron Tomson
br_ngb7sek83u,1672948800000.0,1672785841000.0,love the product ..just as pictured with great quality ,5.0,Ron Tomson
br_sar9dthbwh,1672948800000.0,1672777020000.0,"Amazing shipping process, the best fashionable shoes at a great price ",5.0,Ron Tomson
br_pd5bwneran,1670875200000.0,1670525574000.0,Excellent brand!,5.0,Ron Tomson
br_wau74pfxfx,1667588400000.0,1667424717000.0,great products fast shipping!,5.0,Ron Tomson
br_wx4fmqs9hh,1666033200000.0,1665636231000.0,Great quality and style for modern look,5.0,Ron Tomson
br_36hugry7ks,1665169200000.0,1664995835000.0,Great ,5.0,Ron Tomson
br_kbk5wv2hjj,1663959600000.0,1663773391000.0,EXCELLENT,5.0,Ron Tomson
br_sfffgc9bbj,1663009200000.0,1662648679000.0,Good quality  Quick delivery,5.0,Ron Tomson
br_xq6bravd7x,1662577200000.0,1662391591000.0,Quality workmanship and design,5.0,Ron Tomson
br_6mjgpxhxfz,1660762800000.0,1660540072000.0,Awesome!,5.0,Ron Tomson
br_b9qcywxvy3,1659380400000.0,1659022377000.0,Top service and good quality! Gladly again 👍🏻,5.0,Ron Tomson
br_dy48wt5sv8,1655838000000.0,1655443924000.0,Good quality products! ,5.0,Ron Tomson
br_ctw4w6vmzp,1655838000000.0,1655430882000.0,"Love, Love, Love!!!",5.0,Ron Tomson
br_xvu48ycdyd,1654196400000.0,1654010710000.0,great quality!,5.0,Ron Tomson
br_6dc2qsvpvh,1651604400000.0,1651262374000.0,Love the pants but they run extremely small and that was not noted on the site or in the description.,3.0,Ron Tomson
br_eemqb2w24q,1648062000000.0,1647875995000.0,excellent,5.0,Ron Tomson
br_yy3k4xt5vb,1647028800000.0,1646849699000.0,Top service!,5.0,Ron Tomson
br_2cj5r2ebrj,1646769600000.0,1646455957000.0,Great product ,5.0,Ron Tomson
br_ucz62u8env,1643400000000.0,1643181145000.0,Great products and experience!,5.0,Ron Tomson
br_afxe43qdp8,1640116800000.0,1639953658000.0,Expensive not good value ,2.0,Ron Tomson
br_bkm7cn5vvk,1640116800000.0,1639736161000.0,Designer quality at great prices! ,4.0,Ron Tomson
br_5wmrsp65ny,1638993600000.0,1638828171000.0,Poor product quality ,3.0,Ron Tomson
br_5qvp3b84t6,1638993600000.0,1638819814000.0,unbelievable,5.0,Ron Tomson
br_9srr3senws,1638907200000.0,1638528149000.0,i recommend,4.0,Ron Tomson
br_k4vh95fuwr,1638216000000.0,1637758205000.0,pristine,5.0,Ron Tomson
br_kh7k9yk47k,1637956800000.0,1637669180000.0,All items were shipped fast and the jackets look amazing ,5.0,Ron Tomson
br_j5wjwgf4uw,1637697600000.0,1637409980000.0,Good Products,5.0,Ron Tomson
br_htnkwub7aa,1637697600000.0,1637351083000.0,Great quality and service,5.0,Ron Tomson
br_yvp7ehe67m,1637179200000.0,1637011455000.0,Great Company,5.0,Ron Tomson
br_s3a2gaqjpv,1637006400000.0,1636652729000.0,Great Job ,5.0,Ron Tomson
br_ec7gtfshu8,1637006400000.0,1636649309000.0,Loved The Jacket,4.0,Ron Tomson
br_y2x7pr4xx5,1636138800000.0,1635933515000.0,very good product,5.0,Ron Tomson
br_4zn4rt6hgf,1635188400000.0,1634835646000.0,excellent quality,5.0,Ron Tomson
br_dbt8y5g9nd,1634238000000.0,1633998197000.0,1 of my fave brands!,5.0,Ron Tomson
br_7gpzrdyhe3,1634151600000.0,1633820047000.0,Very fast shipment and good quality products. Will order again.,4.0,Ron Tomson
br_yhuq6w8cxp,1632423600000.0,1632194084000.0,Great as always,5.0,Ron Tomson
br_twzafbc5zr,1632337200000.0,1632166272000.0,Quality with attention to detail,5.0,Ron Tomson
br_cn3xupr6x9,1632250800000.0,1632008078000.0,Love the fit but the sizing is tricky,5.0,Ron Tomson
br_wa8p3yyvc4,1631559600000.0,1631173926000.0,COOL,5.0,Ron Tomson
br_ka6a9cctdf,1629226800000.0,1629010768000.0,EXCELLENT ON EVERY POINT,5.0,Ron Tomson
br_5ekxuc3mhn,1627671600000.0,1627491081000.0,Great!,5.0,Ron Tomson
