token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_3zbrqrzy8e,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,32 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_6knun64szt,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,42 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_2a37maw3cw,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,40 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_nysvfjecu3,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,30 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_xgsuadtysd,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,33 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_chyc9jgtxz,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,31 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_cn3y9qwy6h,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,34 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_dxe3tyedxb,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,36 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_wg9q4mmtgj,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,38 / 30L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_cfmaevcjpy,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,42 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_vyttawdknk,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,31 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_9k8ayt7j8e,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,32 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_68mpemkj2m,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,38 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_ccxrqy5mte,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,33 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_tn4ugauqka,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,30 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_3gnydptuwm,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,36 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_8ap6eytr76,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,34 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_qc7qfqh7ww,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,40 / 32L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_m3z5czjmtr,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,30 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_tdtxc6qywq,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,36 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_phzghbmx6d,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,34 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_ubzc49jw69,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,33 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_qhcprpkp9b,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,31 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_snwbz6wutf,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,40 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_6jc4nqefs4,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,42 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_h9755jpsm8,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,38 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_xmvcus2cy3,o_y2exfgsdxn,p_bn49najk97,bo_xvs79bcvmp,Gray Wash Straight Fit Comfort Jeans,32 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_42n5hwtp37,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,42 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_kz3ftya5pn,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,33 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_s9jrw3kuyk,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,32 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_bsz9tf53au,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,36 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_7u637xeyeh,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,34 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_tnuw8sqspm,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,31 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_9jh6x4tach,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,38 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
oi_awx3fq6kb7,o_y2exfgsdxn,p_d3c8r9bpvv,bo_xvs79bcvmp,Medium Indigo Wash Slim Authentic Stretch Jeans,30 / 34L,7999,3999,3999,1,3999,3999,0,#XVS79BCVMP,
