tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_tzy8c3zyvg,Screen Printers | T-Shirts | 4/23/2024,ONE_TIME,COMPLETED,1713924056000.0,402.0,363.0,144.0,5.0,0.0,0.0,0.0,0.0
bmc_qfc9tc7f4y,All Contacts | Jeans Fit | 05/06/2024_DRAFT,ONE_TIME,DRAFT,,,,,,,,,
bmc_vyrmrhu5mr,Abandoned Cart | Recapture | 05/02/2024,ONE_TIME,DRAFT,,,,,,,,,
bmc_dwbq2hrxqv,All | Chinos (Pants and Shorts) | 5/1/2024,ONE_TIME,RUNNING,,,,,,,,,
bmc_cc5gy22pgv,60 Day Engaged | Button Up Shirts | 4/22/2024 ,ONE_TIME,COMPLETED,1714098037000.0,34.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
bmc_4afxrftykp,15% Off Resend | 4.16.24,ONE_TIME,COMPLETED,1713294265000.0,332.0,318.0,59.0,2.0,0.0,0.0,0.0,0.0
bmc_2tn45cgr5p,15% Off | 4.14.24,ONE_TIME,COMPLETED,1713155423000.0,539.0,386.0,158.0,4.0,0.0,0.0,0.0,0.0
bmc_g8cnkw2cwm,Untitled campaign,ONE_TIME,COMPLETED,1712548811000.0,322.0,290.0,125.0,3.0,0.0,0.0,0.0,0.0
bmc_x55a36w2aq,Polos Feature w/ Tees | 4.2.24,ONE_TIME,COMPLETED,1712115108000.0,215.0,193.0,96.0,2.0,0.0,0.0,0.0,0.0
bmc_qz4smsrshv,Abandon Cart | 4.2.24,ONE_TIME,COMPLETED,1712152800000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmc_c6x9tgf8ez,Credit Expiration | 4.2.24,ONE_TIME,COMPLETED,1712152800000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmc_zg4uxeu2nr,Classic Tees | 3.26.24,ONE_TIME,COMPLETED,1711504839000.0,19.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0
bmc_kq6gxq7mx5,Credit Expiration Reminder | 3.22.24,ONE_TIME,COMPLETED,1711202400000.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
bmc_nwxajr928j,Summer time shorts!,ONE_TIME,COMPLETED,1710787401000.0,14.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
