tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_dxtqm4sasj,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1720985069000,False,False,r_e1wmiswc,12393,The  Leesburg Country Store,https://www.facebook.com/The-Leesburg-Country-Store-1583151251939349,Clothing Boutique,True
bo_wu3jccwqng,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720647888000,True,True,r_uaeqcvggn9,24625,Coast Cycle,http://www.coastcycle.com/,,False
bo_k4asd8zmbg,REPLACE_DAMAGED_OR_MISSING_ITEMS,PROCESSING,UNFULFILLED,MARKETPLACE,1720612935000,True,True,r_5tgrhsff5m,1396,Rule 32,https://www.facebook.com/Rule-32-100909001657850,Spa or Beauty Store,True
bo_4vdcpzx4dm,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1720567218000,False,False,r_tfjuyru677,112812,Ever + Wilde Boutique,http://www.everwildeboutique.com,Kids or Toy Store,False
bo_shz9zm8n52,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720451501000,True,True,r_hz57m54kxz,14239,Clay Lacy Inflight Service,,General or Mercantile Store,False
bo_kekcwme5xx,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1720398815000,True,True,r_bzsvxvwfdz,42023,Wilson Company Limited,http://Www.wilsoncompanystore.com,,False
bo_6mnywwwdvy,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720398815000,False,False,r_g9vstpjp3f,30923,The Swell Co.,http://www.theswellco.com,,True
bo_gcbzqr86jx,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720391015000,True,True,r_9v7290rdq3,20314,Tvc inc (beacon light chevron),,General or Mercantile Store,False
bo_k4rhcyyp5q,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720391015000,False,False,r_a6ixsyt80j,69069,Coastal Blues Boutique,http://coastalbluesboutique.com/,Clothing Boutique,False
bo_ra5ja6sz4h,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720228715000,False,False,r_qnqy7qq2rx,54704,37th Avenue,http://37thavetulsa.com/,Clothing Boutique,False
bo_2tgytg52yd,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720207415000,True,True,r_usdddu5xyx,23404,Threads And Home,,,False
bo_hr6eubxcca,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720201715000,False,False,r_nhm7k8rpen,74248,Rust & Refined,http://Rustandrefined.com,Clothing Boutique,False
