product_token,name,category,sales_count,order_count,visit_count,date
p_adhb2jnwk7,Military Green Tall Straight Hem Crew Neck T-Shirt,Screen Printed T-Shirts,0,0,0,2023-01-01
p_uwm4psyppk,Black Tall Straight Hem Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_mwv4sjthwt,Military Green Polo,Polos,0,0,0,2023-01-01
p_3dh3myqfyq,Charcoal Heather Gray Polo,Polos,0,0,0,2023-01-01
p_bhfd33ejhy,Indigo Polo,Polos,0,0,0,2023-01-01
p_k45z3pw892,Heather Military Green Polo,Polos,0,0,0,2023-01-01
p_s6hq3cbp99,Heather Indigo Polo,Polos,0,0,0,2023-01-01
p_rcg6tt8ugv,Heather Navy Polo,Polos,0,0,0,2023-01-01
p_6hvvy94kq4,White Polo,Polos,0,0,0,2023-01-01
p_rhexhysfzs,Navy Polo,Polos,0,0,0,2023-01-01
p_5rc5ezqwny,Heather Gray Polo,Polos,0,0,0,2023-01-01
p_gf9pckvcm8,Carbon Polo,Polos,0,0,0,2023-01-01
p_v9vmgr3m4t,Black Polo,Polos,0,0,0,2023-01-01
p_m6x758mjvq,White Tall Polo Shirt,Polos,0,0,0,2023-01-01
p_xa4dn5yc22,Navy Tall Polo Shirt,Polos,0,0,0,2023-01-01
p_d53y9qe93b,Black Tall Polo Shirt,Polos,0,0,0,2023-01-01
p_g32ada7z2e,Heather Military Green V-Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_4jt8bhmzh4,Heather Indigo V-Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_tmft42amrv,Heather Navy V-Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_xkytap8cnw,Indigo V-Neck,Shirt,0,0,0,2023-01-01
p_yjazyejt4q,Charcoal Heather Gray V-Neck,Shirt,0,0,0,2023-01-01
p_dgyvxnvaz7,Heather Gray V-Neck T-Shirt,Screen Printed T-Shirts,0,0,0,2023-01-01
p_7szwc3brf5,Military Green V-Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_f4b57xp8t5,Carbon V-Neck T-Shirt,Screen Printed T-Shirts,0,0,0,2023-01-01
p_2wu3jtehp2,Navy V-Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_s49r5jxnqq,White V-Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_s7yfamyjwt,Black V-Neck T-Shirt,Screen Printed T-Shirts,0,0,0,2023-01-01
p_955cnseek9,Light Heather Gray Crew Neck Long Sleeve,Sweatshirt,0,0,0,2023-01-01
