token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_3xbnbtnx9p,o_b6h27dun8k,p_a8z8vex5cr,bo_w47xbm6q9f,TUSHY Classic 3.0,Gold,12900,7740,7740,1,7740,7740,0,#W47XBM6Q9F,
oi_sfkhcz2q3v,o_b6h27dun8k,p_bp43y6t2u4,bo_w47xbm6q9f,TUSHY Toilet Brush,default,4900,2940,2940,1,2940,2940,0,#W47XBM6Q9F,
oi_dykara574a,o_b6h27dun8k,p_96g34f4pv7,bo_w47xbm6q9f,TUSHY Bathroom Spray,EVENING WOOD,2500,1500,1500,1,1500,1500,0,#W47XBM6Q9F,
oi_d5wuanrvbw,o_f6m69jq9en,p_a8z8vex5cr,bo_ygphaak8ee,TUSHY Classic 3.0,Bamboo,12900,7740,7740,2,13158,15480,15,#YGPHAAK8EE,
oi_j48fpcnjqb,o_xmfna76qe7,p_a8z8vex5cr,bo_m36qx7qxfn,TUSHY Classic 3.0,Bamboo,12900,7740,7740,4,26316,30960,15,#M36QX7QXFN,
oi_rvgtnehf5j,o_gjvjnrqmw6,p_gecufm4tyv,bo_hhhmx4frdk,TUSHY Spa 3.0,Bamboo,15900,9540,9540,4,38160,38160,0,#HHHMX4FRDK,
oi_dpy8qpsxkv,o_mhqnv5fknm,p_gecufm4tyv,bo_d9xmqjayy5,TUSHY Spa 3.0,Bamboo,15900,9540,9540,3,28620,28620,0,#D9XMQJAYY5,
oi_sbqakz22nk,o_sbp8d5cuv3,p_a8z8vex5cr,bo_mc2cjefsxk,TUSHY Classic 3.0,Bamboo,12900,7740,7740,2,15480,15480,0,#MC2CJEFSXK,
oi_gu2ac2x9jp,o_3udaw9jt2d,p_bp43y6t2u4,bo_32cbwg2s6m,TUSHY Toilet Brush,default,4900,2940,2940,1,2940,2940,0,#32CBWG2S6M,
oi_tycpz9ytvw,o_3udaw9jt2d,p_gecufm4tyv,bo_32cbwg2s6m,TUSHY Spa 3.0,Bamboo,15900,9540,9540,2,19080,19080,0,#32CBWG2S6M,
oi_cndgxmrt7w,o_3udaw9jt2d,p_3g4ffqupuj,bo_32cbwg2s6m,TUSHY Ottoman,Bamboo / Relaxed,6900,4140,4140,2,8280,8280,0,#32CBWG2S6M,
oi_zyk8p9jc8y,o_3udaw9jt2d,p_tz7z5h3fkc,bo_7gq6m4f755,TUSHY Stand & Squares,default,6400,3840,3840,2,7680,7680,0,#7GQ6M4F755,
oi_mrz5jychjc,o_yca8avr56d,p_a8z8vex5cr,bo_b5ggt4ca3s,TUSHY Classic 3.0,Bamboo,12900,7740,7740,6,46440,46440,0,#B5GGT4CA3S,
