token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_64vuyuanv5,bo_d3jbrk74sh,5,The Best!! Absolutely love Viori products! Works better than any other bar shampoos that I have tried. Packaging is nice! Smells great! Customers love it as well! ,0,Baker Creek Heirloom Seed Co,1724696155000,1724871600000.0
br_uu9fphwjpg,bo_bh7wj7c9cr,1,Thought I had found something unique. Amazon sells this product  I thought I had found something unique to sell my clients and marked up as listed. My clients found the products on Amazon and now that’s where they buy it. Why sale on here if you’re selling it on Amazon as well. For a few dollars more I’ll be doing the same. You don’t even have to have a minimum to buy. ,0,MA Head Spa,1724137715000,1724353200000.0
br_gbmu23hf4s,bo_ppt6nt92b6,5,Gorgeous scents Absolutely wonderful shampoos and conditioners and I love the bamboo holders too! ,0,Time Again Boutique,1722627078000,1722970800000.0
br_5z9prbyxw2,bo_3dnqfqjtwv,5,Great Product  I am selling that s because I have personally used it and love the products. I hope my customers will too! ,0,Hideaway Candleroom,1722276722000,1722452400000.0
br_xk7vxebtp4,bo_3ppcgvzw2f,5,I absolutely love this company.  Best shampoo/Conditioner bars I’ve ever used.  ,0,Hair by Laura Collins,1721839373000,1722020400000.0
br_yntpujwebz,bo_mrsrkdatyw,5,awesome ,0,Bangz etc.,1721754331000,1721934000000.0
br_4gn6v4987t,bo_yqz43ppkua,1,Bad service  ,0,Wylde Hair LLC,1719676852000,1719946800000.0
br_ahnaf8a47j,bo_2ztudsur38,5,Love this product so much won’t use anything else  ,0,ashley hughes,1719142463000,1719342000000.0
br_etaj4gykvh,bo_f2exbr8226,4,"Love this brand Customers and I both love this brand. I have repeat buyers every 5 weeks or so. Absolutely love that they offer trial size products now. It is the best way to hook a customer!
I am finding that the product can break down and crumble apart after 3 weeks. ",0,Brass Velvet Trading Co.,1719091272000,1719342000000.0
br_kq646krna6,bo_xz8y8gmnax,5,I always love the beautiful packaging and the wonderful smells of the bars! Shipping is always fast. My clients love the Viori bars and the nice accessories to go with them. My salon and my bathroom at home always smell so good!,0,The Wash House Salon & Soapery,1718165086000,1718391600000.0
br_czs63uxvm6,bo_cjxh2apaph,5,Best soap Top Quality! ,0,shopgrandcentral,1717536226000,1717700400000.0
br_753cjthz5h,bo_8g5sd2bted,5,"Beautiful Products! These have been so popular! They have flown off the shelves. Beautiful packaging, makes a great gift item.",0,Golden Harvest,1716657904000,1717009200000.0
br_23qc87vyeh,bo_g4q6hnhjbv,5,Speed Delivery ,0,Brands4les LLC,1715992628000,1716318000000.0
br_vgvp7tzr6f,bo_dpkxa535s8,5,Thank you for the great service ,0,Brands4les LLC,1715992587000,1716318000000.0
br_psn4dgdq7m,bo_xedqxm899r,5,Great Products top quality ,0,Brands4les LLC,1715992545000,1716318000000.0
br_qsvn59dusp,bo_r6cnvczx32,5,Great service  ,0,Diamond D,1713217952000,1713380400000.0
br_udfk5ywctg,bo_xwn3cj2str,5,Amazing and I cannot wait to sell out in my store.  ,0,Denter,1712461855000,1712689200000.0
br_9pm7kvzkgc,bo_g2k2cce2xr,5,amazing! they do not leave the hair waxy like others i have tried and i love how soft my hair is i can also go 2 to 3 days without having to wash my hair!,0,Amazing Grace Salon LLC,1711741085000,1712084400000.0
br_sztz3uw23s,bo_kdqqjg4pdq,5,Fast and Arrived in perfect shape! ,0,shopgrandcentral,1711577363000,1711738800000.0
br_mgqmwsqge7,bo_v3rbmst8q7,5,Incredible products ,0,Elevate Hair Studio,1711381826000,1711566000000.0
br_mrtfncqajg,bo_4dt69g6497,5,"loving these bars and scents are great, a special addition into clients washing routines! Packaging! ",0,abl hair,1711213545000,1711479600000.0
br_yaswsuxur3,bo_cwzgs5k9bc,5,"as always can't get enough of their products.. Will continue to purchase as long as I can 
❤️",0,SOLO,1708320080000,1708545600000.0
br_8xaq92jtjm,bo_fmp8gnpucg,5,Beautiful packaging beautiful product! I used this product prior to stocking so I could give my honest review and it’s amazing!! My hair feels amazing and the scent is wonderful. ,0,Chevey’s Notcho Rancho LLC,1706532687000,1706731200000.0
br_6k4kqd9ap7,bo_39955w4jyg,5,sold before it even hit the shelf only product my customers will use! love everything about them ,0,SOLO,1706150180000,1706558400000.0
br_jq9wfakb65,bo_9jn2fexm57,5,Beautiful products  My customers love these gorgeous shampoos and conditioners ,0,Lemonie Boutique,1706110121000,1706299200000.0
br_v5guxm5jvb,bo_932yubh2ey,5,Great Product! ,0,Scottsworld L.L.C,1705906090000,1706126400000.0
br_ncchs82p5f,bo_9qu5n5tddf,5,Excellent  I've been using Viori products for almost a year and I love the bars!! I've gotten my clients hooked as well!,0,The Wash House Salon & Soapery,1705339227000,1705521600000.0
br_e4vj828nb8,bo_e7j9nx5n93,5,beautiful products ,0,The Write Moment @ The Tides Estate,1704989369000,1705435200000.0
br_nhxed5477w,bo_3fzk595y3z,5,Great! ,0,Salon 21,1704933934000,1705435200000.0
br_zkmvdeeurx,bo_byy86ap45r,5,Thank you so much good customer service  ,0,Brands4les LLC,1704606655000,1704830400000.0
br_pf8pjj2wdm,bo_tyma6pm38c,5,Great Product! ,0,Scottsworld L.L.C,1704420623000,1704830400000.0
