tokens,publish_at_values,created_at_values,titles,ratings,brand
br_4gn6v4987t,1719946800000,1719676852000,Bad service ,1,Viori Beauty
br_ahnaf8a47j,1719342000000,1719142463000,Love this product so much won’t use anything else ,5,Viori Beauty
br_etaj4gykvh,1719342000000,1719091272000,Love this brand,4,Viori Beauty
br_kq646krna6,1718391600000,1718165086000,I always love the beautiful packaging and the wonderful smells of the bars!,5,Viori Beauty
br_czs63uxvm6,1717700400000,1717536226000,Best soap Top Quality!,5,Viori Beauty
br_753cjthz5h,1717009200000,1716657904000,Beautiful Products!,5,Viori Beauty
br_23qc87vyeh,1716318000000,1715992628000,Speed Delivery,5,Viori Beauty
br_vgvp7tzr6f,1716318000000,1715992587000,Thank you for the great service,5,Viori Beauty
br_psn4dgdq7m,1716318000000,1715992545000,Great Products top quality,5,Viori Beauty
br_qsvn59dusp,1713380400000,1713217952000,Great service ,5,Viori Beauty
br_udfk5ywctg,1712689200000,1712461855000,Amazing and I cannot wait to sell out in my store. ,5,Viori Beauty
br_9pm7kvzkgc,1712084400000,1711741085000,amazing!,5,Viori Beauty
br_sztz3uw23s,1711738800000,1711577363000,Fast and Arrived in perfect shape!,5,Viori Beauty
br_mgqmwsqge7,1711566000000,1711381826000,Incredible products,5,Viori Beauty
br_mrtfncqajg,1711479600000,1711213545000,"loving these bars and scents are great, a special addition into clients washing routines! Packaging!",5,Viori Beauty
br_yaswsuxur3,1708545600000,1708320080000,as always,5,Viori Beauty
br_8xaq92jtjm,1706731200000,1706532687000,Beautiful packaging beautiful product!,5,Viori Beauty
br_6k4kqd9ap7,1706558400000,1706150180000,sold before it even hit the shelf,5,Viori Beauty
br_jq9wfakb65,1706299200000,1706110121000,Beautiful products ,5,Viori Beauty
br_v5guxm5jvb,1706126400000,1705906090000,Great Product!,5,Viori Beauty
br_ncchs82p5f,1705521600000,1705339227000,Excellent ,5,Viori Beauty
br_e4vj828nb8,1705435200000,1704989369000,beautiful products,5,Viori Beauty
br_nhxed5477w,1705435200000,1704933934000,Great!,5,Viori Beauty
br_zkmvdeeurx,1704830400000,1704606655000,Thank you so much good customer service ,5,Viori Beauty
br_pf8pjj2wdm,1704830400000,1704420623000,Great Product!,5,Viori Beauty
br_psadbphsxp,1704312000000,1704134968000,The best you can buy,5,Viori Beauty
br_w3xgwh37fa,1704312000000,1703902316000,We love the brand thank you!,5,Viori Beauty
br_m3vtwnf6k4,1702670400000,1702449105000,Amazing product ,5,Viori Beauty
br_dynag875p6,1701720000000,1701316433000,I love love love these shampoo bars! ,5,Viori Beauty
br_egguq6kgtz,1698865200000,1698698107000,Unexpected,5,Viori Beauty
br_ugpd6ufez7,1698692400000,1698339490000,Beautiful Products & Ships Quickly ,5,Viori Beauty
br_8gxnm3dbxx,1698174000000,1697915824000,LOVE IT!,5,Viori Beauty
br_qh7fdqyafs,1698087600000,1697752441000,Love your products ,5,Viori Beauty
br_aa7nudduch,1697050800000,1696778676000,amazing ,5,Viori Beauty
br_ak2gyp6hku,1696446000000,1696264720000,Love their products!,5,Viori Beauty
br_nmuk3x4dhv,1696446000000,1696251644000,Awesome,5,Viori Beauty
br_4n45v2yryh,1694545200000,1694324955000,Flying off the shelf!,5,Viori Beauty
br_nfpkpsh4wp,1694199600000,1694022121000,Great products everytime!,5,Viori Beauty
br_dhacphc3hz,1692990000000,1692810878000,Always on Point ,5,Viori Beauty
br_bgfh7htu24,1692212400000,1692026824000,Absolutely love!!!,5,Viori Beauty
br_t7ga98zf3b,1692126000000,1691783931000,Viori is the BEST!,5,Viori Beauty
br_ycmpw6ug6j,1692039600000,1691694959000,amazing products ,5,Viori Beauty
br_tdsxxwkje8,1691694000000,1691528432000,"very nice, thank you",5,Viori Beauty
br_egr4skm3fg,1691002800000,1690820559000,"Thank you so much, recommended ",5,Viori Beauty
br_63jb9r6ggp,1690830000000,1690465808000,Exquisitely beautiful & effective products and packaging,5,Viori Beauty
br_xag2dgfkme,1690484400000,1690324064000,Absolutely amazed at the quality!  Beautiful product,5,Viori Beauty
br_ez6z2jgy5d,1689620400000,1689213541000,AMAZING products killer packaging ,5,Viori Beauty
br_gfh3pp9d3m,1689188400000,1689011306000,Great product smells amazing!,5,Viori Beauty
br_xm8j3s7v8f,1688670000000,1688474788000,Incredible hair products ,5,Viori Beauty
br_ytu5u5w8yy,1688670000000,1688421929000,Best shampoo and conditioner ever!!! ,5,Viori Beauty
br_ggbcgdpe45,1686855600000,1686699393000,"I love the products, but products were poorly packed for was shipping, some boxes were damaged. ",3,Viori Beauty
br_mnq73fvfgg,1686250800000,1686095656000,Box was ripped open ,3,Viori Beauty
br_f7xu2am3nu,1686250800000,1686076862000,A dew blemishes on boxes with shipping nothing too crazy,5,Viori Beauty
br_fnc54njmhy,1686078000000,1685909582000,Thank you,5,Viori Beauty
br_dtmhhptvef,1685991600000,1685657925000,I’ve been in the beauty industry over 20 years and this is by far the best shampoo and conditioner dry shampoo out there !! ,5,Viori Beauty
br_hszm8ptdfb,1685646000000,1685471212000,Super fast...like speed of light fast!,5,Viori Beauty
br_qf9hd87xyu,1684782000000,1684436305000,I appreciated getting deals and coupon codes for this. ,5,Viori Beauty
br_dkpuquj652,1719946800000,1719587248000,always great,5,Luxiny Products - Luxurious Bath and Body
br_k7jgpysszx,1718132400000,1717861066000,Absolutely Fabulous!!!,5,Luxiny Products - Luxurious Bath and Body
br_jz4knyssfb,1717614000000,1717416220000,From ordering to delivery this company is top notch!,5,Luxiny Products - Luxurious Bath and Body
br_4g9xybp4bm,1711047600000,1710862125000,Wonderful!,5,Luxiny Products - Luxurious Bath and Body
br_vcgjpgwgga,1709064000000,1708708924000,Theses are great items,5,Luxiny Products - Luxurious Bath and Body
br_u6mpvm6kng,1706558400000,1706199911000,Wonderful!,5,Luxiny Products - Luxurious Bath and Body
br_6yszt9sgn4,1706212800000,1706027360000,Kids love these baby bombs! Great gift!,5,Luxiny Products - Luxurious Bath and Body
br_n2prsgth3c,1701806400000,1701509439000,"Easy ordering, products sell set well. ",5,Luxiny Products - Luxurious Bath and Body
br_9cbumkh4hj,1701288000000,1701111850000,My customers love the color burst,5,Luxiny Products - Luxurious Bath and Body
br_vtaqmv7cne,1699905600000,1699547293000,Everyone loves our steamers,5,Luxiny Products - Luxurious Bath and Body
br_pn8z7pgck2,1699560000000,1699376827000,Excellent Products!,5,Luxiny Products - Luxurious Bath and Body
br_3y252xv637,1697223600000,1697023254000,"Wonderful products, wonderful service!",5,Luxiny Products - Luxurious Bath and Body
br_grtyzc99pm,1690916400000,1690647235000,Natural products,5,Luxiny Products - Luxurious Bath and Body
br_6atavztprz,1689188400000,1689019144000,Great Products. ,5,Luxiny Products - Luxurious Bath and Body
br_ky64pkz3pa,1687201200000,1686792862000,Smells and looks wonderful and excited  to try new products  I don’t normally order. ,5,Luxiny Products - Luxurious Bath and Body
br_etwtrs77a4,1684954800000,1684750296000,Nice products,5,Luxiny Products - Luxurious Bath and Body
br_ufazk86uuj,1683745200000,1683559941000,Amazingly expediate and love the product.,5,Luxiny Products - Luxurious Bath and Body
br_mq8bbypm3y,1683054000000,1682884828000,Always a pleasure - Thank you,5,Luxiny Products - Luxurious Bath and Body
br_4j7knmabj6,1683054000000,1682800923000,Great!,5,Luxiny Products - Luxurious Bath and Body
br_wga8dppqcs,1681412400000,1681228154000,The bag was exactly what I needed! :) ,5,Luxiny Products - Luxurious Bath and Body
br_jat7padh5w,1680548400000,1680197460000,High-quality products. ,5,Luxiny Products - Luxurious Bath and Body
br_m8brrxkwvj,1680548400000,1680191088000,Love all of the options!,5,Luxiny Products - Luxurious Bath and Body
br_myhyq2j367,1680548400000,1680190432000,great,5,Luxiny Products - Luxurious Bath and Body
br_w3ztxjqxrf,1680548400000,1680190397000,Great products,5,Luxiny Products - Luxurious Bath and Body
br_f3sqm3tzqd,1679943600000,1679550449000,AMAZING ,5,Luxiny Products - Luxurious Bath and Body
br_kge2ectd7a,1679425200000,1679149905000,"Their communication is second to none. Their product is clean and packaged impeccably. Everyone in the company is a delight to work with so friendly! They stand behind their product when things are damaged. But the best part is, My customers love their product!",5,Luxiny Products - Luxurious Bath and Body
br_hcjadghcmy,1679425200000,1679085650000,Great experience.,5,Luxiny Products - Luxurious Bath and Body
br_acxdfcjn2r,1679425200000,1679081680000,Great products and experience,5,Luxiny Products - Luxurious Bath and Body
br_kgx6b56fy4,1679425200000,1679034886000,These are amazing!!,5,Luxiny Products - Luxurious Bath and Body
br_kvpyjdkp58,1679079600000,1678891473000,Love the bunny bath bombs ,5,Luxiny Products - Luxurious Bath and Body
br_7mdkfx2d6q,1677873600000,1677637890000,Super cute items!,5,Luxiny Products - Luxurious Bath and Body
br_x2p3sack59,1676664000000,1676498634000,Great Addition,5,Luxiny Products - Luxurious Bath and Body
br_qk52szvggg,1675972800000,1675787667000,Great products,5,Luxiny Products - Luxurious Bath and Body
br_6hczsukany,1674590400000,1674327831000,Great,5,Luxiny Products - Luxurious Bath and Body
br_rj56xz9b3u,1673467200000,1673263942000,Love all products. Paint your own bath bombs are amazing. ,5,Luxiny Products - Luxurious Bath and Body
br_2qudtvkvuc,1670356800000,1670013004000,Great products - Great Company,5,Luxiny Products - Luxurious Bath and Body
br_nf9hfstfg9,1669838400000,1669607251000,great product,5,Luxiny Products - Luxurious Bath and Body
br_th3aqs2tt7,1669838400000,1669598496000,I am excited to pair these bathbombs with my goat milk pie themed soaps!,5,Luxiny Products - Luxurious Bath and Body
br_c8ufec5pcw,1668024000000,1667789145000,Great product,5,Luxiny Products - Luxurious Bath and Body
br_b9ymn3d3ch,1665601200000,1665347202000,"Great product, our customers like these!",5,Luxiny Products - Luxurious Bath and Body
br_dp5naswe6f,1665514800000,1665074648000,Wonderful all around,5,Luxiny Products - Luxurious Bath and Body
br_r7udmb9d7p,1665169200000,1664999708000,always amazing products ,5,Luxiny Products - Luxurious Bath and Body
br_fdhe2wwb5r,1663959600000,1663788520000,amazing products ,5,Luxiny Products - Luxurious Bath and Body
br_g2q8x57rbf,1663873200000,1663702612000,Great Products,5,Luxiny Products - Luxurious Bath and Body
br_ebb4cmw7k9,1663614000000,1663257879000,great,5,Luxiny Products - Luxurious Bath and Body
br_nxfqsxq45b,1663095600000,1662799948000,Great bath bombs!,5,Luxiny Products - Luxurious Bath and Body
br_adrf3vfa2u,1662145200000,1661955441000,Fast Delivery ,5,Luxiny Products - Luxurious Bath and Body
br_snbjx2dex4,1660935600000,1660760337000,Excited about the product,4,Luxiny Products - Luxurious Bath and Body
br_9wrbsye96v,1660762800000,1660594776000,Bath Bombs!!!,5,Luxiny Products - Luxurious Bath and Body
br_9uff8fhwq8,1660244400000,1660065241000,Nice People.  The bath bombs are a perfect stocking stuffer!,5,Luxiny Products - Luxurious Bath and Body
br_2nas887a3z,1660071600000,1659676655000,Smell Amazing and Kids LOVE them!!!,5,Luxiny Products - Luxurious Bath and Body
br_wfveskhxcz,1659121200000,1658919281000,The products smell amazing and are beautifully packaged. We love this addition to our retail space!,5,Luxiny Products - Luxurious Bath and Body
br_kehn6as94m,1657652400000,1657318832000,very well pleased,5,Luxiny Products - Luxurious Bath and Body
br_rt7nzhzwja,1657220400000,1657027348000,Cute holders,5,Luxiny Products - Luxurious Bath and Body
br_m7k5jrfwgj,1657220400000,1657027309000,Love them,5,Luxiny Products - Luxurious Bath and Body
br_wa2ymc8pgq,1653678000000,1653504048000,Such fun bath items!,5,Luxiny Products - Luxurious Bath and Body
br_rm3af8dw2c,1653591600000,1653420053000,Great products,5,Luxiny Products - Luxurious Bath and Body
br_eyu75z493h,1652900400000,1652714281000,These are beautiful ,5,Luxiny Products - Luxurious Bath and Body
br_sxszsdd2d6,1652900400000,1652702755000,"everything is great, and they are sooo cute !!!",5,Luxiny Products - Luxurious Bath and Body
br_p5j4cpsmh8,1651172400000,1650960007000,Amazing!,5,Luxiny Products - Luxurious Bath and Body
br_bcsuqtqd6m,1650999600000,1650763046000,amazing,5,Luxiny Products - Luxurious Bath and Body
br_nkdngsqcd6,1650308400000,1649955027000,Exactly as expected and quick delivery,5,Luxiny Products - Luxurious Bath and Body
br_kf5n3tbygk,1650049200000,1649886321000,The items were exactly as pictured. Awesome products!,5,Luxiny Products - Luxurious Bath and Body
br_q3skvvq4wc,1649271600000,1649043087000,I LOVE THIS PRODUCT SMELLED SO GOOD,5,Luxiny Products - Luxurious Bath and Body
br_998n8ywxsg,1649185200000,1648942386000,Excellent and luxurious!,5,Luxiny Products - Luxurious Bath and Body
br_q6zfw4pcgw,1649098800000,1648756395000,Adorable!!,5,Luxiny Products - Luxurious Bath and Body
br_fgvuk8yqkt,1648666800000,1648482179000,Very Cute,5,Luxiny Products - Luxurious Bath and Body
br_uqf5pxebt2,1648494000000,1648163254000,These are amazing! ,5,Luxiny Products - Luxurious Bath and Body
br_r8huamzc3d,1647975600000,1647636391000,They gave me their word that I would be happy with their product.  They were right :),5,Luxiny Products - Luxurious Bath and Body
br_s39ngq7gu9,1647975600000,1647632036000,the product is amazing my clients  loves it.,5,Luxiny Products - Luxurious Bath and Body
br_p74re9b6t9,1647975600000,1647598927000,PERFECT,5,Luxiny Products - Luxurious Bath and Body
br_nwtyq24rpg,1647457200000,1647285298000,Adorable bath products!,5,Luxiny Products - Luxurious Bath and Body
br_ghkv7rsk4v,1647370800000,1647185473000,Top! Incredible scents ,5,Luxiny Products - Luxurious Bath and Body
br_7ghnyn3uhj,1647370800000,1647129431000,Luxiny Shower Steamers are the bomb (smile).   I purchased all the scents.  They smells wonderful,5,Luxiny Products - Luxurious Bath and Body
br_d65arkxf8z,1645646400000,1645463605000,Awesome Products and excellent service!,5,Luxiny Products - Luxurious Bath and Body
br_9wp8hhmh2w,1645646400000,1645199815000,Big fives all around!,5,Luxiny Products - Luxurious Bath and Body
br_7t9xp54pfd,1645560000000,1645101833000,very good.,5,Luxiny Products - Luxurious Bath and Body
br_vn53qdsp6a,1644523200000,1644360918000,The soap savers are the best!,5,Luxiny Products - Luxurious Bath and Body
br_evs39wmyky,1644523200000,1644356937000,"Yummy scents, small batch charm.",5,Luxiny Products - Luxurious Bath and Body
br_b8qncwvrtz,1644264000000,1643881823000,Perfect. ,5,Luxiny Products - Luxurious Bath and Body
br_rgnxfjkcj6,1643400000000,1643229793000,Beautiful Products,5,Luxiny Products - Luxurious Bath and Body
br_6td3vacgj5,1639512000000,1639203614000,Thank you so much! Everything looks and smells fantastic. ,5,Luxiny Products - Luxurious Bath and Body
br_vn2pyvsbmf,1638302400000,1637889076000,"Fast responds, amazing product.",5,Luxiny Products - Luxurious Bath and Body
br_yhwn893f6j,1637697600000,1637436211000,Great! ,5,Luxiny Products - Luxurious Bath and Body
br_7jp9xagqvm,1637697600000,1637284809000,Amazing,5,Luxiny Products - Luxurious Bath and Body
br_pnm3qs8k5j,1637006400000,1636554867000,"Well packaged,  no damage, no mess",5,Luxiny Products - Luxurious Bath and Body
br_th2ycww2et,1637006400000,1636537802000,Perfect thank you very much ,5,Luxiny Products - Luxurious Bath and Body
br_ukuswehgn4,1636488000000,1636164639000,This soap smells heavenly.,5,Luxiny Products - Luxurious Bath and Body
br_jsvkus56xt,1635793200000,1635442957000,Excellence!,5,Luxiny Products - Luxurious Bath and Body
br_g99kmaatsm,1635274800000,1634869398000,Excellent ,5,Luxiny Products - Luxurious Bath and Body
br_tpt4u2ntjd,1634670000000,1634475573000,Lovely products....,5,Luxiny Products - Luxurious Bath and Body
br_hep8ha29ew,1633460400000,1633203448000,Looking forward to customer responses.,5,Luxiny Products - Luxurious Bath and Body
br_2yyd5cnj5z,1630609200000,1630442543000,Excellent,5,Luxiny Products - Luxurious Bath and Body
br_89vq32ae4t,1720033200000,1719852161000,Smells Great and leaves hair so soft ,5,Simpl Bars
br_ejgcxpxk23,1713812400000,1713454377000,Everything good! ,5,Simpl Bars
br_gjruff36mu,1712343600000,1712107787000,Fantastic zero waste hair care!,5,Simpl Bars
br_2ax5rsed2w,1709582400000,1709232496000,"Fast shipping, good product.  Will be getting more for sure.  ",5,Simpl Bars
br_3vygzs53ty,1708459200000,1708041368000,Love these so much!,5,Simpl Bars
br_qyxbnrjmgg,1707163200000,1706808699000,Great product ,5,Simpl Bars
br_kus3anrjfa,1705953600000,1705608192000,Great products & Fantastic Customer Service,5,Simpl Bars
br_4w8u6xtzfr,1701979200000,1701809036000,Wonderful Company,5,Simpl Bars
br_vd3prdjwa3,1720033200000,1719870967000,Extremely fast fulfillment and response.,5,Tangie LLC
br_aatfj7zek5,1719601200000,1719420052000,the ultimate product for reducing waste!,5,Tangie LLC
br_kvmc6pjfnq,1717095600000,1716922625000,"Fast shipping, great packaging, smells amazing!",5,Tangie LLC
br_fvq4jft6bx,1717009200000,1716840905000,Love these products!!,5,Tangie LLC
br_vpwrn6kxbm,1717009200000,1716840878000,Love these products!!,5,Tangie LLC
br_w7p94k9dps,1715713200000,1715487454000,My customers love the shampoo and conditioner bars!,5,Tangie LLC
br_tbzm54eunu,1715194800000,1715033149000,Awesome!!,5,Tangie LLC
br_eg7wj6ud85,1715194800000,1715033053000,Fabulous!,5,Tangie LLC
br_zagtqbsp92,1715194800000,1715032972000,Terrific!,5,Tangie LLC
br_rebyxfgdbw,1713294000000,1712881041000,Customer Favorite,5,Tangie LLC
br_k4ezbxqx5q,1710961200000,1710766378000,Lovely,5,Tangie LLC
br_mk7kz8k2mb,1710529200000,1710343721000,Incredible ,5,Tangie LLC
br_srjk86x6ar,1710356400000,1710179272000,Amazing products that are so natural they are great for sensitive skin. Adorable packaging too!,5,Tangie LLC
br_chhppnztz4,1709755200000,1709569916000,Always great!,5,Tangie LLC
br_vzuk4r6fdz,1709236800000,1709066124000,Great eco friendly products! ,5,Tangie LLC
br_rmytpbchrh,1708113600000,1707936514000,"First time ordering and was very impressed with the communication, efficient packaging and turn around time.",5,Tangie LLC
br_7beus5usst,1707249600000,1706892628000,"Excellent communication, packaging and shipment speed - will order again",5,Tangie LLC
br_pumpe4w8pz,1707163200000,1706751742000,We love Tangie! We love the products and they always get shipped quickly.  The staff are also quick to respond if we have any questions.  Their products sell really well for us too.,5,Tangie LLC
br_ue9p3ch83v,1706904000000,1706744035000,Love Everything About These!,5,Tangie LLC
br_z6v7szpkzy,1702411200000,1702075483000,Love!!,5,Tangie LLC
br_j5xv8sx2zt,1702324800000,1701972814000,Amazing all around!!! ,5,Tangie LLC
br_8qa2x4ke2u,1699905600000,1699521468000,Great product! The lather from the shampoo is superb. Our VIP loves it!!! Will order more.,5,Tangie LLC
br_x66wfqhpkc,1699646400000,1699418504000,Love love these products. ,5,Tangie LLC
br_kxdgmr5j69,1698778800000,1698611985000,A must have!,5,Tangie LLC
br_zp36p447hz,1698087600000,1697731132000,Wonderful products and they smell amazing!,5,Tangie LLC
br_9g4d7yv5mp,1694458800000,1694120053000,These are great!,5,Tangie LLC
br_977fm8u6w7,1693335600000,1692996952000,Great product line! ,5,Tangie LLC
br_fpaepvn55d,1691521200000,1691207606000,absolutely flawless ,5,Tangie LLC
br_2xe7tu7ajh,1690311600000,1690038332000,Incredible!!!!,5,Tangie LLC
br_jpfzmaq8bq,1690225200000,1689822264000,amazing!,5,Tangie LLC
br_jv4bkfxfyq,1689966000000,1689780558000,The very best!,5,Tangie LLC
br_84f2z9p9jm,1683918000000,1683740110000,Great shampoo and conditioner bars! ,5,Tangie LLC
br_rkg6999d7b,1683831600000,1683651271000,Love it!,5,Tangie LLC
br_ggmttf4tm3,1682103600000,1681921838000,Wonderful soaps!!,5,Tangie LLC
br_e85eay5fw7,1681844400000,1681492752000,Amazing!,5,Tangie LLC
br_nu969mwxnb,1678478400000,1678252019000,Always beyond expectations thank you! Our clients love it,5,Tangie LLC
br_vdk46vjfuc,1677873600000,1677677578000,Amazing!,5,Tangie LLC
br_nn5q5uzxsm,1677528000000,1677110450000,Love love lov,5,Tangie LLC
br_dzac656w8e,1677268800000,1677104807000,"Very helpful with questions, quick response and quick shipping. ",5,Tangie LLC
br_tsqxraase9,1677096000000,1676751029000,Customer favorite.,5,Tangie LLC
br_xhzpqvwtgm,1676318400000,1675960904000,"Fast shipping, fun product ",5,Tangie LLC
br_6btzg82aht,1675108800000,1674760509000,Wonderful shampoo and conditioner bars!!,5,Tangie LLC
br_dh5v75w6zb,1674072000000,1673888779000,Always good working with Tangie,5,Tangie LLC
br_hzhmg5wtyv,1673553600000,1673386945000,A Customer Favorite!,5,Tangie LLC
br_6esr5d2kgk,1670875200000,1670517709000,Great customer service! ,5,Tangie LLC
br_frcbnpf4yp,1669665600000,1669215980000,Amazing shampoo and conditioner bars! ,5,Tangie LLC
br_4r6a6t5mhb,1669233600000,1669060665000,Customer favorite!,5,Tangie LLC
br_xc4tn6h2vp,1667415600000,1667206534000,Always great,5,Tangie LLC
br_ce89qztnwh,1666378800000,1666198133000,Excellent product.,5,Tangie LLC
br_xqhqgu45bn,1663700400000,1663369145000,Customers LOVE these,5,Tangie LLC
br_5syv39pn3p,1660762800000,1660589773000,So great!,5,Tangie LLC
br_zt3d7tnrz4,1659985200000,1659619753000,Love Product!,5,Tangie LLC
br_33ugy8qche,1659726000000,1659500151000,Extremely satisfied - exceeded my expectations!,5,Tangie LLC
br_jpfxeyc9rk,1659639600000,1659420953000,Great Products! ,5,Tangie LLC
br_u9k87fpydx,1659034800000,1658858925000,Wonderful shampoo and conditioner bars!,5,Tangie LLC
br_yxwr9nzfmb,1657134000000,1656886526000,These are mine and my customers favorite shampoo and conditioner bar.,5,Tangie LLC
br_nzwdg59v8p,1654887600000,1654662599000,dish soap is so good,5,Tangie LLC
br_wg92pg8h9e,1651518000000,1651187533000,Amazing!,5,Tangie LLC
br_kvx69gsz4n,1650394800000,1650060204000,Really awesome product made with sustainable ingredients,5,Tangie LLC
br_v8tq8quh3n,1649790000000,1649440199000,great products,5,Tangie LLC
br_kycg7b4ffn,1648666800000,1648485944000,Amazing Products!,5,Tangie LLC
br_hhnwfk5b4g,1646337600000,1646107234000,LOVE.,5,Tangie LLC
br_kfwffqb3c3,1644609600000,1644426345000,"Zero plastic when ordering, the bars smell great, and fast shipping time",5,Tangie LLC
br_mbde8k7sab,1644350400000,1644158450000,Quality service,5,Tangie LLC
br_6nxve9w6b2,1642536000000,1642101847000,Wonderful shampoos and conditioners!,5,Tangie LLC
br_ytuf3e7rzx,1640635200000,1640269739000,Smells amazing!,5,Tangie LLC
br_633hajpq9b,1640376000000,1640190555000,We love Tangie shampoo and conditioner bars!,5,Tangie LLC
br_kn9u6s36gk,1639425600000,1639021117000,Top Quality ,5,Tangie LLC
br_uga6e6n6xq,1639166400000,1638924602000,Eco-friendly from start to finish,5,Tangie LLC
br_v3grk8v97w,1638820800000,1638408338000,Wonderful products! ,5,Tangie LLC
br_zy82zgwc5x,1638216000000,1637810304000,Thrilled by Tangie's products!,5,Tangie LLC
br_kcdqsajeqz,1638216000000,1637805539000,Extremely satisfied - exceeded my expectations!,5,Tangie LLC
br_gtdjrvfka4,1637611200000,1637204977000,Great Product Shipped within 2 days!,5,Tangie LLC
br_uagra5jq9s,1635274800000,1635088428000,Lovely product!,5,Tangie LLC
br_jecjrh56cx,1635274800000,1634939525000,So good!,5,Tangie LLC
