token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_ca7nhh4xeh,o_z9cutm9jca,p_k9364hfybs,bo_c5hjvmude2, Shampoo Bar | Hamish & Co | Citron & Ginger,default,1800,900,900,1,900,900,0,#C5HJVMUDE2,
oi_t2azu742jq,o_z9cutm9jca,p_tb8ea4emj7,bo_c5hjvmude2,Bamboo Bar Holder | Shampoo & Conditioner Bars,default,1000,500,500,2,1000,1000,0,#C5HJVMUDE2,
oi_5un94zewmc,o_z9cutm9jca,p_kmny6ruh2b,bo_c5hjvmude2,Rice Water Shampoo Bar | Tea Tree Mint EO | All Hair,default,1800,900,900,1,900,900,0,#C5HJVMUDE2,
oi_k69yph8jz2,o_z9cutm9jca,p_hnxbtek7xd,bo_c5hjvmude2, Rice Water Shampoo Bar | Purple Toning | All Hair,default,2200,1100,1100,1,1100,1100,0,#C5HJVMUDE2,
oi_9y5sw92gtn,o_z9cutm9jca,p_ajkmfpmzfw,bo_c5hjvmude2,Shampoo Bar | Hamish & Co | Charred Patchouli ,default,1800,900,900,1,900,900,0,#C5HJVMUDE2,
oi_s7d7nj2bza,o_z9cutm9jca,p_x7dj43aq7q,bo_c5hjvmude2,Dry Shampoo | Vanilla Coconut | All Hair Types | Color Safe,default,2000,1000,1000,2,2000,2000,0,#C5HJVMUDE2,
oi_cp7nzt2kzw,o_z9cutm9jca,p_x7jjvrvsjt,bo_c5hjvmude2,Pet Shampoo Bar | Pawson & Co | Peony Vanilla ,default,1200,600,600,3,1800,1800,0,#C5HJVMUDE2,
oi_83rsxkbsmz,o_z9cutm9jca,p_huyhdw2mvj,bo_c5hjvmude2,Pet Shampoo Bar | Pawson & Co | Lavender & Jasmine,default,1200,600,600,1,600,600,0,#C5HJVMUDE2,
oi_u938dmu3v2,o_z9cutm9jca,p_xkge99cw6z,bo_c5hjvmude2,Dry Shampoo | Magnolia & Peony | All Hair Types | Color-Safe,default,2000,1000,1000,2,2000,2000,0,#C5HJVMUDE2,
oi_stknpt9cvt,o_z9cutm9jca,p_tw9f7jn637,bo_c5hjvmude2,Body Wash Soap Bar | Native Essence™ | Unscented,default,1000,500,500,1,500,500,0,#C5HJVMUDE2,
oi_dp5pqfmzb4,o_z9cutm9jca,p_r8r5ujvxqe,bo_c5hjvmude2,Sugar Scrub Bar | Coconut Bliss | Limited Edition,default,1600,800,800,1,800,800,0,#C5HJVMUDE2,
oi_bhf2nk59b6,o_z9cutm9jca,p_z5p6tq8qqc,bo_c5hjvmude2,Rice Water Shampoo Bar | Adv. Repair | Coconut Bliss ,default,2200,1100,1100,1,1100,1100,0,#C5HJVMUDE2,
oi_pggty3g258,o_b5fyvz29br,p_uqpme48k2x,bo_h84vb8pvzp,Bundle | Shampoo Bar & Conditioner Bar | Citrus Yao ,Citrus Yao,3600,1950,1950,6,11700,11700,0,#H84VB8PVZP,
oi_4hufakwc7b,o_8232mu7sx4,p_e7atdr7pgh,bo_28pj89mvnp,Bundle | Travel Size Shampoo Bas & Conditioner Bars | Asstd.,default,2900,1450,1450,3,4350,4350,0,#28PJ89MVNP,
oi_yanytfwrmw,o_8232mu7sx4,p_x7jjvrvsjt,bo_28pj89mvnp,Pet Shampoo Bar | Pawson & Co | Peony Vanilla ,default,1200,600,600,3,1800,1800,0,#28PJ89MVNP,
oi_j3hjttvwkq,o_8232mu7sx4,p_qf3fgnw4pm,bo_28pj89mvnp,Pet Shampoo Bar | Pawson & Co. | Cherry Blossom,default,1200,600,600,3,1800,1800,0,#28PJ89MVNP,
oi_efq6kfvqbs,o_8232mu7sx4,p_ajkmfpmzfw,bo_28pj89mvnp,Shampoo Bar | Hamish & Co | Charred Patchouli ,default,1800,900,900,2,1800,1800,0,#28PJ89MVNP,
oi_ufbnuypeyg,o_8232mu7sx4,p_abteerxynh,bo_28pj89mvnp,Shampoo & Conditioner Bars w/ Holder | Hidden Waterfall™,Hidden Waterfall,3900,1950,1950,2,3900,3900,0,#28PJ89MVNP,
oi_zdp6uu78dj,o_8232mu7sx4,p_z6xkjqxdc7,bo_28pj89mvnp,Rice Water Conditioner Bar | Adv. Repair | Coconut Bliss,default,2200,1100,1100,1,1100,1100,0,#28PJ89MVNP,
oi_7y2x4cjvrw,o_8232mu7sx4,p_r8r5ujvxqe,bo_28pj89mvnp,Sugar Scrub Bar | Coconut Bliss | Limited Edition,default,1600,800,800,3,2400,2400,0,#28PJ89MVNP,
oi_2yu8cybx8c,o_8232mu7sx4,p_tb8ea4emj7,bo_28pj89mvnp,Bamboo Bar Holder | Shampoo & Conditioner Bars,default,1000,500,500,4,2000,2000,0,#28PJ89MVNP,
oi_r884hcns5e,o_8232mu7sx4,p_uqpme48k2x,bo_28pj89mvnp,Bundle | Shampoo Bar & Conditioner Bar | Citrus Yao ,Citrus Yao,3600,1950,1950,2,3900,3900,0,#28PJ89MVNP,
oi_u4xnsjphea,o_8232mu7sx4,p_uqhec5k275,bo_28pj89mvnp,Bundle | Shampoo Bar & Conditioner Bar | Terrace Garden,Terrace Garden,3600,1950,1950,2,3900,3900,0,#28PJ89MVNP,
oi_a9cs6datyf,o_8232mu7sx4,p_z5p6tq8qqc,bo_28pj89mvnp,Rice Water Shampoo Bar | Adv. Repair | Coconut Bliss ,default,2200,1100,1100,1,1100,1100,0,#28PJ89MVNP,
oi_gnheg4v5h6,o_8232mu7sx4,p_k9364hfybs,bo_28pj89mvnp, Shampoo Bar | Hamish & Co | Citron & Ginger,default,1800,900,900,2,1800,1800,0,#28PJ89MVNP,
oi_v2uzpxhu9y,o_8232mu7sx4,p_ssffr4rc9t,bo_28pj89mvnp,Conditioner Bar | Hamish & Co | Aged Sandalwood ,default,1800,900,900,2,1800,1800,0,#28PJ89MVNP,
oi_vuzfsemv4u,o_8232mu7sx4,p_u5vvnd8563,bo_28pj89mvnp,Shampoo Bar | Hamish & Co | Aged Sandalwood ,default,1800,900,900,2,1800,1800,0,#28PJ89MVNP,
oi_akru4ba34j,o_8232mu7sx4,p_huyhdw2mvj,bo_28pj89mvnp,Pet Shampoo Bar | Pawson & Co | Lavender & Jasmine,default,1200,600,600,3,1800,1800,0,#28PJ89MVNP,
oi_z2feqpp86p,o_8232mu7sx4,p_9sy4267dce,bo_28pj89mvnp,Rice Water Shampoo Bar | Chamomile Rose EO | Dry Hair,default,1800,900,900,1,900,900,0,#28PJ89MVNP,
oi_gxn9uuwe7e,o_8232mu7sx4,p_gtuf79jbvc,bo_28pj89mvnp,Rice Water Conditioner Bar | Chamomile Rose EO | Dry Hair,default,1800,900,900,1,900,900,0,#28PJ89MVNP,
